datadate,acoq,actq,aoq,apq,atq,capxq,ceqq,cheq,cogsq,count,countq,dcpstkq,dcq,dcvtq,dlcq,dlttq,dmq,dpq,drcq,drltq,drq,dvtq,ebitdaq,ebitq,empq,fatbq,fatlq,gdwliaq,ibq,intanq,invtq,lcoq,lctq,loq,ltq,niq,nopiq,oancfq,obq,piq,ppegtq,ppentq,pstkq,pstkqq,rectq,revtq,scstkcq,spiq,txdiq,txfedq,txfoq,txpq,txtq,xadq,xintq,xrdq,xsgaq
2002-03-31,,,,,13564763655.4413,-105452634.217478,731069440.893051,,,1,1,,,,407319998.45902,203659999.22951,,37003762.2709042,,9639230.96848353,9639230.96848353,,,,6486,,,106083222.92356,87989227.6077071,653155005.5250412,,,,844513649.30008,12594092934.392197,87989227.6077071,,1508783593.38412,,195341103.995101,,261214545.534197,,,,,,8772944.26296488,283114.826287276,,97926525.5058181,,97926525.5058181,,,,
2002-08-29,,,,,21497538666.0757,-40225643.3692758,762277363.695198,,,1,2,,,,900231003.832,450115501.916,,67008388.6441093,,11265139.1331772,11265139.1331772,32529341.2626949,,,61467,,,199299721.063032,60716360.5017942,1217471704.5988512,,,,1405618138.52582,20220531366.26664,60716360.5017942,,404801224.610174,,187508814.350195,,337391122.416618,,,,,,57256947.2447166,3208951.64604796,,102057996.113473,,102057996.113473,,,,
2002-09-30,,,,,21497538666.0757,-40225643.3692758,762277363.695198,,,1,3,,,,900231003.832,450115501.916,,67008388.6441093,,11265139.1331772,11265139.1331772,32529341.2626949,,,61467,,,199299721.063032,60716360.5017942,1217471704.5988512,,,,1405618138.52582,20220531366.26664,60716360.5017942,,404801224.610174,,187508814.350195,,337391122.416618,,,,,,57256947.2447166,3208951.64604796,,102057996.113473,,102057996.113473,,,,
2002-12-31,,,,,21497538666.0757,-40225643.3692758,762277363.695198,,,1,4,,,,900231003.832,450115501.916,,67008388.6441093,,11265139.1331772,11265139.1331772,32529341.2626949,,,61467,,,199299721.063032,60716360.5017942,1217471704.5988512,,,,1405618138.52582,20220531366.26664,60716360.5017942,,404801224.610174,,187508814.350195,,337391122.416618,,,,,,57256947.2447166,3208951.64604796,,102057996.113473,,102057996.113473,,,,
2003-03-31,,,,,21497538666.0757,-40225643.3692758,762277363.695198,,,2,5,,,,900231003.832,450115501.916,,67008388.6441093,,11265139.1331772,11265139.1331772,32529341.2626949,,,61467,,,199299721.063032,60716360.5017942,1217471704.5988512,,,,1405618138.52582,20220531366.26664,60716360.5017942,,404801224.610174,,187508814.350195,,337391122.416618,,,,,,57256947.2447166,3208951.64604796,,102057996.113473,,102057996.113473,,,,
2003-04-03,,,,,23556960850.7463,-61202568.108823,919924023.04931,,,2,5,,,,1335608675.798224,667804337.899112,,70354481.8628377,,10911671.641791,10911671.641791,36834384.281126,,,3449,,,185889981.957302,78175989.986775,1136836823.0682027,,,,1479071618.26941,22067986115.152126,78175989.986775,,764299140.374079,,222286544.209333,,351741136.31211,,,,,,39693257.8877763,-916038.352541092,,111601617.041375,,111601617.041375,,,,
2003-06-04,,,,,23556960850.7463,-61202568.108823,919924023.04931,,,2,5,,,,1335608675.798224,667804337.899112,,70354481.8628377,,10911671.641791,10911671.641791,36834384.281126,,,3449,,,185889981.957302,78175989.986775,1136836823.0682027,,,,1479071618.26941,22067986115.152126,78175989.986775,,764299140.374079,,222286544.209333,,351741136.31211,,,,,,39693257.8877763,-916038.352541092,,111601617.041375,,111601617.041375,,,,
2003-06-30,,,,,23556960850.7463,-61202568.108823,919924023.04931,,,2,5,,,,1335608675.798224,667804337.899112,,70354481.8628377,,10911671.641791,10911671.641791,36834384.281126,,,3449,,,185889981.957302,78175989.986775,1136836823.0682027,,,,1479071618.26941,22067986115.152126,78175989.986775,,764299140.374079,,222286544.209333,,351741136.31211,,,,,,39693257.8877763,-916038.352541092,,111601617.041375,,111601617.041375,,,,
2003-08-05,,,,,23556960850.7463,-61202568.108823,919924023.04931,,,2,6,,,,1335608675.798224,667804337.899112,,70354481.8628377,,10911671.641791,10911671.641791,36834384.281126,,,3449,,,185889981.957302,78175989.986775,1136836823.0682027,,,,1479071618.26941,22067986115.152126,78175989.986775,,764299140.374079,,222286544.209333,,351741136.31211,,,,,,39693257.8877763,-916038.352541092,,111601617.041375,,111601617.041375,,,,
2003-09-30,,,,,23556960850.7463,-61202568.108823,919924023.04931,,,2,7,,,,1335608675.798224,667804337.899112,,70354481.8628377,,10911671.641791,10911671.641791,36834384.281126,,,3449,,,185889981.957302,78175989.986775,1136836823.0682027,,,,1479071618.26941,22067986115.152126,78175989.986775,,764299140.374079,,222286544.209333,,351741136.31211,,,,,,39693257.8877763,-916038.352541092,,111601617.041375,,111601617.041375,,,,
