datadate,apq,rectq,xadq,obq,fatbq,capxq,dmq,cheq,oancfq,cogsq,drcq,drltq,dpq,ebitq,ebitdaq,empq,gdwliaq,dvtq,txpq,xintq,intanq,nopiq,scstkcq,niq,ibq,piq,acoq,lcoq,aoq,loq,ppegtq,ppentq,pstkqq,xrdq,revtq,fatlq,xsgaq,spiq,txfedq,txdiq,txtq,atq,lctq,actq,dlcq,ceqq,invtq,ltq,pstkq,dcvtq,dcpstkq,txfoq,dlttq,drq,dcq,count
2000-03-31,,145404965.0892168,,,,58932247.2200672,,314717093.354021,111469873.286786,1351227049.39229,,,46288337.2123093,,,12655,81458753.5557279,27685802.9480217,,18093871.2179984,83929402.63770358,8138608.740625809,,73102146.3666925,73102146.3666925,112632531.678304,,,,59222911.8179467,407366433.92811,218579777.605379,,6031290.40599948,1696391259.37419,,278384018.619085,33499094.9056116,,29502456.6847686,39457719.1621412,1009550814.58495,165170157.745022,599786397.724334,383313938.453582,669473235.065943,113068528.575123,339205585.72536856,,,,39457719.1621412,109071890.35428,,,1
2000-06-30,,145404965.0892168,,,,58932247.2200672,,314717093.354021,111469873.286786,1351227049.39229,,,46288337.2123093,,,12655,81458753.5557279,27685802.9480217,,18093871.2179984,83929402.63770358,8138608.740625809,,73102146.3666925,73102146.3666925,112632531.678304,,,,59222911.8179467,407366433.92811,218579777.605379,,6031290.40599948,1696391259.37419,,278384018.619085,33499094.9056116,,29502456.6847686,39457719.1621412,1009550814.58495,165170157.745022,599786397.724334,383313938.453582,669473235.065943,113068528.575123,339205585.72536856,,,,39457719.1621412,109071890.35428,,,1
2000-11-08,,145404965.0892168,,,,58932247.2200672,,314717093.354021,111469873.286786,1351227049.39229,,,46288337.2123093,,,12655,81458753.5557279,27685802.9480217,,18093871.2179984,83929402.63770358,8138608.740625809,,73102146.3666925,73102146.3666925,112632531.678304,,,,59222911.8179467,407366433.92811,218579777.605379,,6031290.40599948,1696391259.37419,,278384018.619085,33499094.9056116,,29502456.6847686,39457719.1621412,1009550814.58495,165170157.745022,599786397.724334,383313938.453582,669473235.065943,113068528.575123,339205585.72536856,,,,39457719.1621412,109071890.35428,,,1
2001-02-06,,307367792.1801956,,,,38571923.0769231,,87088725.0318742,46954035.2741181,741390720.356991,,,46811965.5758606,,,12397,181494039.524012,26282894.1776456,,10229018.2745431,184264398.6400341,8595216.74458138,-74444521.8869528,56969949.001275,56969949.001275,81050762.8559286,,,,94618419.039524,631002564.81088,371015016.999575,,18753200.1699957,969909830.00425,,168636731.831704,4191056.09859753,,12857307.6923077,22944256.2685933,1216969035.27412,310706430.089248,585966470.463238,680087645.558861,607490029.749256,173538136.421589,598113429.6642586,,,,22944256.2685933,184690607.734807,,,1
2001-05-30,,307367792.1801956,,,,38571923.0769231,,87088725.0318742,46954035.2741181,741390720.356991,,,46811965.5758606,,,12397,181494039.524012,26282894.1776456,,10229018.2745431,184264398.6400341,8595216.74458138,-74444521.8869528,56969949.001275,56969949.001275,81050762.8559286,,,,94618419.039524,631002564.81088,371015016.999575,,18753200.1699957,969909830.00425,,168636731.831704,4191056.09859753,,12857307.6923077,22944256.2685933,1216969035.27412,310706430.089248,585966470.463238,680087645.558861,607490029.749256,173538136.421589,598113429.6642586,,,,22944256.2685933,184690607.734807,,,2
2001-08-29,,307367792.1801956,,,,38571923.0769231,,87088725.0318742,46954035.2741181,741390720.356991,,,46811965.5758606,,,12397,181494039.524012,26282894.1776456,,10229018.2745431,184264398.6400341,8595216.74458138,-74444521.8869528,56969949.001275,56969949.001275,81050762.8559286,,,,94618419.039524,631002564.81088,371015016.999575,,18753200.1699957,969909830.00425,,168636731.831704,4191056.09859753,,12857307.6923077,22944256.2685933,1216969035.27412,310706430.089248,585966470.463238,680087645.558861,607490029.749256,173538136.421589,598113429.6642586,,,,22944256.2685933,184690607.734807,,,2
2001-10-29,,307367792.1801956,,,,38571923.0769231,,87088725.0318742,46954035.2741181,741390720.356991,,,46811965.5758606,,,12397,181494039.524012,26282894.1776456,,10229018.2745431,184264398.6400341,8595216.74458138,-74444521.8869528,56969949.001275,56969949.001275,81050762.8559286,,,,94618419.039524,631002564.81088,371015016.999575,,18753200.1699957,969909830.00425,,168636731.831704,4191056.09859753,,12857307.6923077,22944256.2685933,1216969035.27412,310706430.089248,585966470.463238,680087645.558861,607490029.749256,173538136.421589,598113429.6642586,,,,22944256.2685933,184690607.734807,,,2
2002-02-05,148357484.399525,277034894.3378895,,,,42256213.3915241,,73586365.376517,86552835.8408943,973406759.886681,592376.823245664,,59435141.2656483,,,16179,192456647.907814,22839417.5184717,5792128.93840205,16257452.8157421,194694515.90674207,5528850.350292866,-74705299.375981,33897118.2190575,33897118.2190575,47850883.3888442,,52260799.7396731,,88264146.663604,631868611.462042,348383391.715478,,32580725.2785116,1234776578.23207,,180609111.4429,-27380973.1633552,,5660489.64434746,13163929.4054592,1166455784.61774,280918253.5125,545579054.209257,558216426.4384971,506153085.639907,159810102.982275,651153768.0410398,,,,13163929.4054592,277758910.455189,592376.823245664,,2
2002-05-20,148357484.399525,277034894.3378895,,,,42256213.3915241,,73586365.376517,86552835.8408943,973406759.886681,592376.823245664,,59435141.2656483,,,16179,192456647.907814,22839417.5184717,5792128.93840205,16257452.8157421,194694515.90674207,5528850.350292866,-74705299.375981,33897118.2190575,33897118.2190575,47850883.3888442,,52260799.7396731,,88264146.663604,631868611.462042,348383391.715478,,32580725.2785116,1234776578.23207,,180609111.4429,-27380973.1633552,,5660489.64434746,13163929.4054592,1166455784.61774,280918253.5125,545579054.209257,558216426.4384971,506153085.639907,159810102.982275,651153768.0410398,,,,13163929.4054592,277758910.455189,592376.823245664,,3
2002-07-23,148357484.399525,277034894.3378895,,,,42256213.3915241,,73586365.376517,86552835.8408943,973406759.886681,592376.823245664,,59435141.2656483,,,16179,192456647.907814,22839417.5184717,5792128.93840205,16257452.8157421,194694515.90674207,5528850.350292866,-74705299.375981,33897118.2190575,33897118.2190575,47850883.3888442,,52260799.7396731,,88264146.663604,631868611.462042,348383391.715478,,32580725.2785116,1234776578.23207,,180609111.4429,-27380973.1633552,,5660489.64434746,13163929.4054592,1166455784.61774,280918253.5125,545579054.209257,558216426.4384971,506153085.639907,159810102.982275,651153768.0410398,,,,13163929.4054592,277758910.455189,592376.823245664,,3
2002-11-05,148357484.399525,277034894.3378895,,,,42256213.3915241,,73586365.376517,86552835.8408943,973406759.886681,592376.823245664,,59435141.2656483,,,16179,192456647.907814,22839417.5184717,5792128.93840205,16257452.8157421,194694515.90674207,5528850.350292866,-74705299.375981,33897118.2190575,33897118.2190575,47850883.3888442,,52260799.7396731,,88264146.663604,631868611.462042,348383391.715478,,32580725.2785116,1234776578.23207,,180609111.4429,-27380973.1633552,,5660489.64434746,13163929.4054592,1166455784.61774,280918253.5125,545579054.209257,558216426.4384971,506153085.639907,159810102.982275,651153768.0410398,,,,13163929.4054592,277758910.455189,592376.823245664,,3
2002-12-31,148357484.399525,277034894.3378895,,,,42256213.3915241,,73586365.376517,86552835.8408943,973406759.886681,592376.823245664,,59435141.2656483,56539009.3354036,,16179,192456647.907814,22839417.5184717,5792128.93840205,16257452.8157421,194694515.90674207,5528850.350292866,-74705299.375981,33897118.2190575,33897118.2190575,47850883.3888442,,52260799.7396731,,88264146.663604,631868611.462042,348383391.715478,,32580725.2785116,1234776578.23207,,180609111.4429,-27380973.1633552,,5660489.64434746,13163929.4054592,1166455784.61774,280918253.5125,545579054.209257,558216426.4384971,506153085.639907,159810102.982275,651153768.0410398,,,,13163929.4054592,277758910.455189,592376.823245664,,3
