datadate,acoq,actq,aoq,apq,atq,capxq,ceqq,cheq,cogsq,count,countq,dcpstkq,dcq,dcvtq,dlcq,dlttq,dmq,dpq,drcq,drltq,drq,dvtq,ebitdaq,ebitq,empq,fatbq,fatlq,gdwliaq,ibq,intanq,invtq,lcoq,lctq,loq,ltq,niq,nopiq,oancfq,obq,piq,ppegtq,ppentq,pstkq,pstkqq,rectq,revtq,scstkcq,spiq,txdiq,txfedq,txfoq,txpq,txtq,xadq,xintq,xrdq,xsgaq
2004-02-02,,623381.463706568,59833.4887039786,553807.639632174,4888256.8794669,,546850.257224735,119666.977407957,,1,1,,,,5298742.44150582,2649371.22075291,,,,,,,,,,551024.686669199,,2576318.7054748,-595551.93407681,15507309.647941617,,403528.179631484,1126400.21176444,565635.189724821,4341406.622242166,-595551.93407681,-135668.956945068,,,-577462.739817468,2170007.57288034,1568889.73287758,,,437619.3534279369,736091.058707086,,-104360.736111591,,,,147496.507037715,,,,,485625.292039268
2004-10-25,,787725.690890481,59833.4887039786,1008101.33060389,5033808.30530779,-235781.839450212,463525.66164644,111862.406784618,,1,3,,,,4480524.78432519,1707408.83170054,,,,,,,,,,551024.686669199,,2164905.98040649,27463.2256177804,13639845.44524052,,198271.092264951,2700773.79733879,10047.5215674806,4551527.270068719,27463.2256177804,-153392.162596871,148703.319198713,,48228.103523907,2170007.57288034,1420719.54964176,,,675863.284105863,1091830.67699956,669.834771165375,-290038.455914607,,,,46218.5992104109,,,,,391853.341131744
2004-11-24,,787725.690890481,59833.4887039786,1008101.33060389,5033808.30530779,-235781.839450212,463525.66164644,111862.406784618,,1,4,,,,4480524.78432519,1707408.83170054,,,,,,,,,,551024.686669199,,2164905.98040649,27463.2256177804,13639845.44524052,,198271.092264951,2700773.79733879,10047.5215674806,4551527.270068719,27463.2256177804,-153392.162596871,148703.319198713,,48228.103523907,2170007.57288034,1420719.54964176,,,675863.284105863,1091830.67699956,669.834771165375,-290038.455914607,,,,46218.5992104109,,,,,391853.341131744
2005-03-30,,787725.690890481,59833.4887039786,1008101.33060389,5033808.30530779,-235781.839450212,463525.66164644,111862.406784618,,2,5,,,,4480524.78432519,1707408.83170054,,,,,,,,,,551024.686669199,,2164905.98040649,27463.2256177804,13639845.44524052,,198271.092264951,2700773.79733879,10047.5215674806,4551527.270068719,27463.2256177804,-153392.162596871,148703.319198713,,48228.103523907,2170007.57288034,1420719.54964176,,,675863.284105863,1091830.67699956,669.834771165375,-290038.455914607,,,,46218.5992104109,,,,,391853.341131744
2005-06-30,,787725.690890481,59833.4887039786,1008101.33060389,5033808.30530779,-235781.839450212,463525.66164644,111862.406784618,,2,6,,,,4480524.78432519,1707408.83170054,,,,,,,,,,551024.686669199,,2164905.98040649,27463.2256177804,13639845.44524052,,198271.092264951,2700773.79733879,10047.5215674806,4551527.270068719,27463.2256177804,-153392.162596871,148703.319198713,,48228.103523907,2170007.57288034,1420719.54964176,,,675863.284105863,1091830.67699956,669.834771165375,-290038.455914607,,,,46218.5992104109,,,,,391853.341131744
2005-09-30,,787725.690890481,59833.4887039786,1008101.33060389,5033808.30530779,-235781.839450212,463525.66164644,111862.406784618,,2,7,,,,4480524.78432519,1707408.83170054,,,,,,,,,,551024.686669199,,2164905.98040649,27463.2256177804,13639845.44524052,,198271.092264951,2700773.79733879,10047.5215674806,4551527.270068719,27463.2256177804,-153392.162596871,148703.319198713,,48228.103523907,2170007.57288034,1420719.54964176,,,675863.284105863,1091830.67699956,669.834771165375,-290038.455914607,,,,46218.5992104109,,,,,391853.341131744
2005-12-31,,21432088.5232016,310737.249682376,6625458.57583641,51670876.0118579,-6947679.59344183,21644875.9876581,13035427.6241757,1973857.05124327,2,8,,,,22833108.20981305,7721820.65460705,,643091.003690483,,,,,,,52.0,620798.983604574,,2425777.09480307,28371.6619275213,33600829.42706752,258722.536148587,1430066.86429911,18421314.7800835,20265.4728053724,29984793.56282893,28371.6619275213,78359.8281807732,-5044076.18125718,,-463403.811482848,9421418.30721762,8285200.79859641,,,8137938.362877365,2719626.45048097,18451712.9892915,-39179.9140903866,-630256.204247081,,-492450.989170549,234403.96878214,-492450.989170549,,-149964.498759756,,949099.643051606
2006-03-31,,21432088.5232016,310737.249682376,6625458.57583641,51670876.0118579,-6947679.59344183,21644875.9876581,13035427.6241757,1973857.05124327,3,9,,,,22833108.20981305,7721820.65460705,,643091.003690483,,,,,,,52.0,620798.983604574,,2425777.09480307,28371.6619275213,33600829.42706752,258722.536148587,1430066.86429911,18421314.7800835,20265.4728053724,29984793.56282893,28371.6619275213,78359.8281807732,-5044076.18125718,,-463403.811482848,9421418.30721762,8285200.79859641,,,8137938.362877365,2719626.45048097,18451712.9892915,-39179.9140903866,-630256.204247081,,-492450.989170549,234403.96878214,-492450.989170549,,-149964.498759756,,949099.643051606
2006-06-30,,21432088.5232016,310737.249682376,6625458.57583641,51670876.0118579,-6947679.59344183,21644875.9876581,13035427.6241757,1973857.05124327,3,10,,,,22833108.20981305,7721820.65460705,,643091.003690483,,,,,,,52.0,620798.983604574,,2425777.09480307,28371.6619275213,33600829.42706752,258722.536148587,1430066.86429911,18421314.7800835,20265.4728053724,29984793.56282893,28371.6619275213,78359.8281807732,-5044076.18125718,,-463403.811482848,9421418.30721762,8285200.79859641,,,8137938.362877365,2719626.45048097,18451712.9892915,-39179.9140903866,-630256.204247081,,-492450.989170549,234403.96878214,-492450.989170549,,-149964.498759756,,949099.643051606
2006-11-15,,21432088.5232016,310737.249682376,6625458.57583641,51670876.0118579,-6947679.59344183,21644875.9876581,13035427.6241757,1973857.05124327,3,12,,,,22833108.20981305,7721820.65460705,,643091.003690483,,,,,,,52.0,620798.983604574,,2425777.09480307,28371.6619275213,33600829.42706752,258722.536148587,1430066.86429911,18421314.7800835,20265.4728053724,29984793.56282893,28371.6619275213,78359.8281807732,-5044076.18125718,,-463403.811482848,9421418.30721762,8285200.79859641,,,8137938.362877365,2719626.45048097,18451712.9892915,-39179.9140903866,-630256.204247081,,-492450.989170549,234403.96878214,-492450.989170549,,-149964.498759756,,949099.643051606
