datadate,acoq,actq,aoq,apq,atq,capxq,ceqq,cheq,cogsq,count,countq,dcpstkq,dcq,dcvtq,dlcq,dlttq,dmq,dpq,drcq,drltq,drq,dvtq,ebitdaq,ebitq,empq,fatbq,fatlq,gdwliaq,ibq,intanq,invtq,lcoq,lctq,loq,ltq,niq,nopiq,oancfq,obq,piq,ppegtq,ppentq,pstkq,pstkqq,rectq,revtq,scstkcq,spiq,txdiq,txfedq,txfoq,txpq,txtq,xadq,xintq,xrdq,xsgaq
2003-03-31,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,96710532.349699,1473657005.59654,499426432.375138,466173481.217671,3995979336.04681,-174638263.546171,515166269.736284,271145217.332316,2201766452.81099,1,1,,,,3732012941.7451,1276373305.52022,,161078859.747308,,,,13548689.137624,,,10829.0,1305479682.77792,,,43501524.633257,35411955.3972696,372752349.868566,253080298.48215,1928140791.40168,180150956.754007,3392513543.0340004,43501524.633257,-2860814.55100484,229116958.61952,,100899964.894429,5087230081.9978,2136412376.57933,,,697594092.003731,2751176779.86941,,-22222207.4111761,,,,12798662.8508437,,,-54291188.5016535,,407982156.02476
2003-08-07,96710532.349699,1473657005.59654,499426432.375138,466173481.217671,3995979336.04681,-174638263.546171,515166269.736284,271145217.332316,2201766452.81099,1,2,,,,3732012941.7451,1276373305.52022,,161078859.747308,,,,13548689.137624,,,10829.0,1305479682.77792,,,43501524.633257,35411955.3972696,372752349.868566,253080298.48215,1928140791.40168,180150956.754007,3392513543.0340004,43501524.633257,-2860814.55100484,229116958.61952,,100899964.894429,5087230081.9978,2136412376.57933,,,697594092.003731,2751176779.86941,,-22222207.4111761,,,,12798662.8508437,,,-54291188.5016535,,407982156.02476
2003-09-30,96710532.349699,1473657005.59654,499426432.375138,466173481.217671,3995979336.04681,-174638263.546171,515166269.736284,271145217.332316,2201766452.81099,1,3,,,,3732012941.7451,1276373305.52022,,161078859.747308,,,,13548689.137624,,,10829.0,1305479682.77792,,,43501524.633257,35411955.3972696,372752349.868566,253080298.48215,1928140791.40168,180150956.754007,3392513543.0340004,43501524.633257,-2860814.55100484,229116958.61952,,100899964.894429,5087230081.9978,2136412376.57933,,,697594092.003731,2751176779.86941,,-22222207.4111761,,,,12798662.8508437,,,-54291188.5016535,,407982156.02476
2003-11-18,96710532.349699,1473657005.59654,499426432.375138,466173481.217671,3995979336.04681,-174638263.546171,515166269.736284,271145217.332316,2201766452.81099,1,3,,,,3732012941.7451,1276373305.52022,,161078859.747308,,,,13548689.137624,,,10829.0,1305479682.77792,,,43501524.633257,35411955.3972696,372752349.868566,253080298.48215,1928140791.40168,180150956.754007,3392513543.0340004,43501524.633257,-2860814.55100484,229116958.61952,,100899964.894429,5087230081.9978,2136412376.57933,,,697594092.003731,2751176779.86941,,-22222207.4111761,,,,12798662.8508437,,,-54291188.5016535,,407982156.02476
2003-12-31,96710532.349699,1473657005.59654,499426432.375138,466173481.217671,3995979336.04681,-174638263.546171,515166269.736284,271145217.332316,2201766452.81099,1,4,,,,3732012941.7451,1276373305.52022,,161078859.747308,,,,13548689.137624,,,10829.0,1305479682.77792,,,43501524.633257,35411955.3972696,372752349.868566,253080298.48215,1928140791.40168,180150956.754007,3392513543.0340004,43501524.633257,-2860814.55100484,229116958.61952,,100899964.894429,5087230081.9978,2136412376.57933,,,697594092.003731,2751176779.86941,,-22222207.4111761,,,,12798662.8508437,,,-54291188.5016535,,407982156.02476
2004-02-10,96710532.349699,1473657005.59654,499426432.375138,466173481.217671,3995979336.04681,-174638263.546171,515166269.736284,271145217.332316,2201766452.81099,1,4,,,,3732012941.7451,1276373305.52022,,161078859.747308,,,,13548689.137624,,,10829.0,1305479682.77792,,,43501524.633257,35411955.3972696,372752349.868566,253080298.48215,1928140791.40168,180150956.754007,3392513543.0340004,43501524.633257,-2860814.55100484,229116958.61952,,100899964.894429,5087230081.9978,2136412376.57933,,,697594092.003731,2751176779.86941,,-22222207.4111761,,,,12798662.8508437,,,-54291188.5016535,,407982156.02476
2004-03-30,96710532.349699,1473657005.59654,499426432.375138,466173481.217671,3995979336.04681,-174638263.546171,515166269.736284,271145217.332316,2201766452.81099,2,5,,,,3732012941.7451,1276373305.52022,,161078859.747308,,,,13548689.137624,,,10829.0,1305479682.77792,,,43501524.633257,35411955.3972696,372752349.868566,253080298.48215,1928140791.40168,180150956.754007,3392513543.0340004,43501524.633257,-2860814.55100484,229116958.61952,,100899964.894429,5087230081.9978,2136412376.57933,,,697594092.003731,2751176779.86941,,-22222207.4111761,,,,12798662.8508437,,,-54291188.5016535,,407982156.02476
2004-03-31,96710532.349699,1473657005.59654,499426432.375138,466173481.217671,3995979336.04681,-174638263.546171,515166269.736284,271145217.332316,2201766452.81099,2,5,,,,3732012941.7451,1276373305.52022,,161078859.747308,,,,13548689.137624,,,10829.0,1305479682.77792,,,43501524.633257,35411955.3972696,372752349.868566,253080298.48215,1928140791.40168,180150956.754007,3392513543.0340004,43501524.633257,-2860814.55100484,229116958.61952,,100899964.894429,5087230081.9978,2136412376.57933,,,697594092.003731,2751176779.86941,,-22222207.4111761,,,,12798662.8508437,,,-54291188.5016535,,407982156.02476
2004-08-09,88373481.200844,1336749593.32438,439580764.91463625,447812672.837138,3635229247.45828,-150616891.041627,445666348.35987,155486397.180127,2140088183.38768,2,6,,,,3276917785.63208,1147478074.04566,,161956552.081335,,,,13548689.137624,264447029.036208,-3669441.14045828,11397.0,1260011997.12258,,,-70859889.2192595,33327793.8806829,398244530.308843,295543163.91713,1756317051.79359,189115611.931709,3100207201.611358,-70859889.2192595,-10539336.65835416,194016299.539613,,-49178374.160752,5015892743.5258,1959786533.47401,,,666415561.001343,2657560258.87205,,-129231599.942452,,,,27808673.7962785,,,-45322265.777863,,406123048.244773
