datadate,acoq,actq,aoq,apq,atq,capxq,ceqq,cheq,cogsq,count,countq,dcpstkq,dcq,dcvtq,dlcq,dlttq,dmq,dpq,drcq,drltq,drq,dvtq,ebitdaq,ebitq,empq,fatlq,gdwliaq,ibq,intanq,invtq,lcoq,lctq,loq,ltq,niq,nopiq,oancfq,obq,piq,ppegtq,ppentq,pstkq,pstkqq,rectq,revtq,scstkcq,spiq,txdiq,txfedq,txfoq,txpq,txtq,xadq,xintq,xrdq,xsgaq
2003-04-30,,,,,,,,,,1,1,,,,,,,,,,,,190107656.475,68164219.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-31,,68700007.37412,,35300004.07316,872200096.12818,-104282318.85159,159400017.79541,10300001.32141,445268947.8833,1,2,,,,1139600125.81115,564500062.44733,18900002.01776,122490364.396152,,,,,147073250.0884,29434207.6558,6078.0,,152000016.73064,-32326544.84444,608000066.92256,11600001.02656,13300001.65162,102800011.19007,16900001.79762,712800078.33277,-32326544.84444,-2628966.0793,162022202.04551,,-41089764.90023,1050000115.5735,651500072.02342,,,33300003.85302,525306358.10156,97369.129060951,-48100349.7708121,-9055327.32842,,-8763220.05579,500000.36785,-8763220.05579,,-37195000.43099,,41966087.34375
2003-10-31,,68700007.37412,,35300004.07316,872200096.12818,-104282318.85159,159400017.79541,10300001.32141,445268947.8833,1,3,,,,1139600125.81115,564500062.44733,18900002.01776,122490364.396152,,,,,147073250.0884,29434207.6558,6078.0,,152000016.73064,-32326544.84444,608000066.92256,11600001.02656,13300001.65162,102800011.19007,16900001.79762,712800078.33277,-32326544.84444,-2628966.0793,162022202.04551,,-41089764.90023,1050000115.5735,651500072.02342,,,33300003.85302,525306358.10156,97369.129060951,-48100349.7708121,-9055327.32842,,-8763220.05579,500000.36785,-8763220.05579,,-37195000.43099,,41966087.34375
2004-01-22,,68700007.37412,,35300004.07316,872200096.12818,-104282318.85159,159400017.79541,10300001.32141,445268947.8833,1,3,,,,1139600125.81115,564500062.44733,18900002.01776,122490364.396152,,,,,147073250.0884,29434207.6558,6078.0,,152000016.73064,-32326544.84444,608000066.92256,11600001.02656,13300001.65162,102800011.19007,16900001.79762,712800078.33277,-32326544.84444,-2628966.0793,162022202.04551,,-41089764.90023,1050000115.5735,651500072.02342,,,33300003.85302,525306358.10156,97369.129060951,-48100349.7708121,-9055327.32842,,-8763220.05579,500000.36785,-8763220.05579,,-37195000.43099,,41966087.34375
2004-01-31,,68700007.37412,,35300004.07316,872200096.12818,-104282318.85159,159400017.79541,10300001.32141,445268947.8833,1,4,,,,1139600125.81115,564500062.44733,18900002.01776,122490364.396152,,,,,147073250.0884,29434207.6558,6078.0,,152000016.73064,-32326544.84444,608000066.92256,11600001.02656,13300001.65162,102800011.19007,16900001.79762,712800078.33277,-32326544.84444,-2628966.0793,162022202.04551,,-41089764.90023,1050000115.5735,651500072.02342,,,33300003.85302,525306358.10156,97369.129060951,-48100349.7708121,-9055327.32842,,-8763220.05579,500000.36785,-8763220.05579,,-37195000.43099,,41966087.34375
2004-04-30,,68700007.37412,,35300004.07316,872200096.12818,-104282318.85159,159400017.79541,10300001.32141,445268947.8833,2,5,,,,1139600125.81115,564500062.44733,18900002.01776,122490364.396152,,,,,147073250.0884,29434207.6558,6078.0,,152000016.73064,-32326544.84444,608000066.92256,11600001.02656,13300001.65162,102800011.19007,16900001.79762,712800078.33277,-32326544.84444,-2628966.0793,162022202.04551,,-41089764.90023,1050000115.5735,651500072.02342,,,33300003.85302,525306358.10156,97369.129060951,-48100349.7708121,-9055327.32842,,-8763220.05579,500000.36785,-8763220.05579,,-37195000.43099,,41966087.34375
2004-07-05,,66900004.2816,,33300002.1312,745300047.6992,-79569463.09312,131800008.4352,9900000.6336,396503559.61664,2,5,,,,953200061.0048,468800030.0032,6400000.4096,109707983.20893,,,,,147073250.0884,29434207.6558,5833.0,,142900009.1456,-33401897.44864,571600036.5824,15100000.9664,1500000.096,92900005.9456,24100001.5424,613500039.264,-33401897.44864,-3071438.96864,83312778.86176,,-31770195.44384,908700058.1568,535500034.272,,,30700001.9648,477032847.35232,97369.129060951,-44727839.1735564,1919649.28512,,1631702.0048,600000.0384,1631702.0048,,-32058143.2864,,41272459.63008
2004-07-31,,66900004.2816,,33300002.1312,745300047.6992,-79569463.09312,131800008.4352,9900000.6336,396503559.61664,2,6,,,,953200061.0048,468800030.0032,6400000.4096,109707983.20893,,,,,147073250.0884,29434207.6558,5833.0,,142900009.1456,-33401897.44864,571600036.5824,15100000.9664,1500000.096,92900005.9456,24100001.5424,613500039.264,-33401897.44864,-3071438.96864,83312778.86176,,-31770195.44384,908700058.1568,535500034.272,,,30700001.9648,477032847.35232,97369.129060951,-44727839.1735564,1919649.28512,,1631702.0048,600000.0384,1631702.0048,,-32058143.2864,,41272459.63008
2004-09-20,,66900004.2816,,33300002.1312,745300047.6992,-79569463.09312,131800008.4352,9900000.6336,396503559.61664,2,6,,,,953200061.0048,468800030.0032,6400000.4096,109707983.20893,,,,,147073250.0884,29434207.6558,5833.0,,142900009.1456,-33401897.44864,571600036.5824,15100000.9664,1500000.096,92900005.9456,24100001.5424,613500039.264,-33401897.44864,-3071438.96864,83312778.86176,,-31770195.44384,908700058.1568,535500034.272,,,30700001.9648,477032847.35232,97369.129060951,-44727839.1735564,1919649.28512,,1631702.0048,600000.0384,1631702.0048,,-32058143.2864,,41272459.63008
2004-10-31,,66900004.2816,,33300002.1312,745300047.6992,-79569463.09312,131800008.4352,9900000.6336,396503559.61664,2,7,,,,953200061.0048,468800030.0032,6400000.4096,109707983.20893,,,,,137663497.566,32777023.23,5833.0,,142900009.1456,-33401897.44864,571600036.5824,15100000.9664,1500000.096,92900005.9456,24100001.5424,613500039.264,-33401897.44864,-3071438.96864,83312778.86176,,-31770195.44384,908700058.1568,535500034.272,,,30700001.9648,477032847.35232,97369.129060951,-44727839.1735564,1919649.28512,,1631702.0048,600000.0384,1631702.0048,,-32058143.2864,,41272459.63008
