datadate,acoq,actq,aoq,apq,atq,capxq,ceqq,cheq,cogsq,count,countq,dcpstkq,dcq,dcvtq,dlcq,dlttq,dmq,dpq,drcq,drltq,drq,dvtq,ebitdaq,ebitq,empq,fatlq,gdwliaq,ibq,intanq,invtq,lcoq,lctq,loq,ltq,niq,nopiq,oancfq,obq,piq,ppegtq,ppentq,pstkq,pstkqq,rectq,revtq,scstkcq,spiq,txdiq,txfedq,txfoq,txpq,txtq,xadq,xintq,xrdq,xsgaq
2003-03-31,,36476047.7989798,28990072.9265067,9976087.66295107,147981239.750614,-21401809.2764028,42927407.5193652,5331395.33345929,55900491.214812,1,1,,,,135232279.2367277,56479041.753259,,15938806.7258643,,,,,,,861,,,-39746682.5996599,5491669.46911015,10927308.1428302,11962574.8157944,44212858.2089552,4363235.31078783,105055135.273002,-39746682.5996599,385700.3589646704,5595261.28849424,,-63596907.3304364,224140772.624221,76196018.0426979,,,19484383.33648211,84163466.8430002,,-56264691.3848479,,,,,,,-3524727.94256565,20363284.9990554,13797257.6043831
2003-06-30,,36476047.7989798,28990072.9265067,9976087.66295107,147981239.750614,-21401809.2764028,42927407.5193652,5331395.33345929,55900491.214812,1,1,,,,135232279.2367277,56479041.753259,,15938806.7258643,,,,,,,861,,,-39746682.5996599,5491669.46911015,10927308.1428302,11962574.8157944,44212858.2089552,4363235.31078783,105055135.273002,-39746682.5996599,385700.3589646704,5595261.28849424,,-63596907.3304364,224140772.624221,76196018.0426979,,,19484383.33648211,84163466.8430002,,-56264691.3848479,,,,,,,-3524727.94256565,20363284.9990554,13797257.6043831
2003-09-30,,36476047.7989798,28990072.9265067,9976087.66295107,147981239.750614,-21401809.2764028,42927407.5193652,5331395.33345929,55900491.214812,1,3,,,,135232279.2367277,56479041.753259,,15938806.7258643,,,,,,,861,,,-39746682.5996599,5491669.46911015,10927308.1428302,11962574.8157944,44212858.2089552,4363235.31078783,105055135.273002,-39746682.5996599,385700.3589646704,5595261.28849424,,-63596907.3304364,224140772.624221,76196018.0426979,,,19484383.33648211,84163466.8430002,,-56264691.3848479,,,,,,,-3524727.94256565,20363284.9990554,13797257.6043831
2004-03-19,,57299593.6465584,32054863.8440336,6937030.94911457,176957737.656224,-16390850.5657433,46927181.415428,10526803.4687174,56916082.992461,1,4,,,,153235770.7449688,62804099.505368,,14513481.3159981,,,,,,,808,,,391970.447937775,8072758.27218607,17234715.0013215,19077540.0928851,53642142.7762325,13583608.976376,130029851.257976,391970.447937775,143816.49528652098,9116837.82865342,,-266483.505972084,244635383.396473,78492787.1823594,,,29418933.079934068,94715851.8369351,73318.2132833247,-56264691.3848479,,,,,,,-3863305.85377519,21783969.1389878,15071122.7266434
2004-03-31,,57299593.6465584,32054863.8440336,6937030.94911457,176957737.656224,-16390850.5657433,46927181.415428,10526803.4687174,56916082.992461,2,5,,,,153235770.7449688,62804099.505368,,14513481.3159981,,,,,,,808,,,391970.447937775,8072758.27218607,17234715.0013215,19077540.0928851,53642142.7762325,13583608.976376,130029851.257976,391970.447937775,143816.49528652098,9116837.82865342,,-266483.505972084,244635383.396473,78492787.1823594,,,29418933.079934068,94715851.8369351,73318.2132833247,-56264691.3848479,,,,,,,-3863305.85377519,21783969.1389878,15071122.7266434
2004-07-27,,57299593.6465584,32054863.8440336,6937030.94911457,176957737.656224,-16390850.5657433,46927181.415428,10526803.4687174,56916082.992461,2,6,,,,153235770.7449688,62804099.505368,,14513481.3159981,,,,,,,808,,,391970.447937775,8072758.27218607,17234715.0013215,19077540.0928851,53642142.7762325,13583608.976376,130029851.257976,391970.447937775,143816.49528652098,9116837.82865342,,-266483.505972084,244635383.396473,78492787.1823594,,,29418933.079934068,94715851.8369351,73318.2132833247,-56264691.3848479,,,,,,,-3863305.85377519,21783969.1389878,15071122.7266434
2004-11-14,,57299593.6465584,32054863.8440336,6937030.94911457,176957737.656224,-16390850.5657433,46927181.415428,10526803.4687174,56916082.992461,2,7,,,,153235770.7449688,62804099.505368,,14513481.3159981,,,,,,,808,,,391970.447937775,8072758.27218607,17234715.0013215,19077540.0928851,53642142.7762325,13583608.976376,130029851.257976,391970.447937775,143816.49528652098,9116837.82865342,,-266483.505972084,244635383.396473,78492787.1823594,,,29418933.079934068,94715851.8369351,73318.2132833247,-56264691.3848479,,,,,,,-3863305.85377519,21783969.1389878,15071122.7266434
2005-02-16,,63362747.7391976,23067983.7845899,15245082.0532288,176382440.229402,-14862735.8759169,79527298.1411934,12242851.8106756,64596008.5144461,2,8,,,,75679100.4785987,25680800.4528384,,15602692.3410659,,,,,,,819,,,2638259.29742262,7915484.63196714,20113811.8415879,20777440.4192144,60340022.0453652,10836439.8091029,96857262.3073064,2638259.29742262,602142.2237889284,27496414.7402958,,12591274.482422,259668886.83108,81898409.8322871,,,30732575.82331173,113448683.487669,29531118.334531,90462.6815081958,9837109.87431701,,9953015.18499939,,9953015.18499939,,-2624831.24313624,21767582.7379096,15630961.9290372
2005-04-26,,63362747.7391976,23067983.7845899,15245082.0532288,176382440.229402,-14862735.8759169,79527298.1411934,12242851.8106756,64596008.5144461,3,9,,,,75679100.4785987,25680800.4528384,,15602692.3410659,,,,,,,819,,,2638259.29742262,7915484.63196714,20113811.8415879,20777440.4192144,60340022.0453652,10836439.8091029,96857262.3073064,2638259.29742262,602142.2237889284,27496414.7402958,,12591274.482422,259668886.83108,81898409.8322871,,,30732575.82331173,113448683.487669,29531118.334531,90462.6815081958,9837109.87431701,,9953015.18499939,,9953015.18499939,,-2624831.24313624,21767582.7379096,15630961.9290372
2005-07-27,,63362747.7391976,23067983.7845899,15245082.0532288,176382440.229402,-14862735.8759169,79527298.1411934,12242851.8106756,64596008.5144461,3,10,,,,75679100.4785987,25680800.4528384,,15602692.3410659,,,,,,,819,,,2638259.29742262,7915484.63196714,20113811.8415879,20777440.4192144,60340022.0453652,10836439.8091029,96857262.3073064,2638259.29742262,602142.2237889284,27496414.7402958,,12591274.482422,259668886.83108,81898409.8322871,,,30732575.82331173,113448683.487669,29531118.334531,90462.6815081958,9837109.87431701,,9953015.18499939,,9953015.18499939,,-2624831.24313624,21767582.7379096,15630961.9290372
