datadate,acoq,actq,aoq,apq,atq,capxq,ceqq,cheq,cogsq,count,countq,dcpstkq,dcq,dcvtq,dlcq,dlttq,dmq,dpq,drcq,drltq,drq,dvtq,ebitdaq,ebitq,empq,fatlq,gdwliaq,ibq,intanq,invtq,lcoq,lctq,loq,ltq,niq,nopiq,oancfq,obq,piq,ppegtq,ppentq,pstkq,pstkqq,rectq,revtq,scstkcq,spiq,txdiq,txfedq,txfoq,txpq,txtq,xadq,xintq,xrdq,xsgaq
2009-05-27,31442192.5888651,152336945.248179,107610665.2129547,1624672.56538209,800103453.963462,12423966.6764513,276863318.935995,97862629.8206623,25325778.2250737,1,1,,,,745724707.5103791,351980532.841308,,,,,,51033832.3478844,,,12,,47115504.3960806,-165812170.643407,141346513.18824178,,49791435.6802393,111624562.139193,,523240135.027467,-161607135.768301,10034742.3155953,15099897.96061,,-205760001.95692,,,,,14335346.165136067,74065955.1865364,,-56385694.9162019,-40807952.0834207,,-39947831.3135125,,-39947831.3135125,,31251054.6399966,,2675931.28415873
2009-08-28,31442192.5888651,152336945.248179,107610665.2129547,1624672.56538209,800103453.963462,12423966.6764513,276863318.935995,97862629.8206623,25325778.2250737,1,2,,,,745724707.5103791,351980532.841308,,,,,,51033832.3478844,,,12,,47115504.3960806,-165812170.643407,141346513.18824178,,49791435.6802393,111624562.139193,,523240135.027467,-161607135.768301,10034742.3155953,15099897.96061,,-205760001.95692,,,,,14335346.165136067,74065955.1865364,,-56385694.9162019,-40807952.0834207,,-39947831.3135125,,-39947831.3135125,,31251054.6399966,,2675931.28415873
2009-11-19,31442192.5888651,152336945.248179,107610665.2129547,1624672.56538209,800103453.963462,12423966.6764513,276863318.935995,97862629.8206623,25325778.2250737,1,2,,,,745724707.5103791,351980532.841308,,,,,,51033832.3478844,,,12,,47115504.3960806,-165812170.643407,141346513.18824178,,49791435.6802393,111624562.139193,,523240135.027467,-161607135.768301,10034742.3155953,15099897.96061,,-205760001.95692,,,,,14335346.165136067,74065955.1865364,,-56385694.9162019,-40807952.0834207,,-39947831.3135125,,-39947831.3135125,,31251054.6399966,,2675931.28415873
2010-04-01,19053656.3018954,92964118.4218061,66023134.627498016,3013136.34541602,631163442.707439,9659760.6367749,198423890.511367,70276974.1739678,21269197.7323484,1,4,,,,684425058.695528,338977838.859303,,,,,,11432193.7811373,,,12,,37841447.6321365,-54059210.9030522,113524342.89640951,,24282334.0777644,47235343.2972571,,432739552.196072,-54059210.9030522,-2038298.1160167204,34828311.2867205,,-59287888.6789212,,,,,2924514.68819791,66732107.8852431,,-5849029.37639581,-5228677.77586898,,-5228677.77586898,,-5228677.77586898,,18521926.3585867,,1683811.48714425
2010-06-17,19053656.3018954,92964118.4218061,66023134.627498016,3013136.34541602,631163442.707439,9659760.6367749,198423890.511367,70276974.1739678,21269197.7323484,2,5,,,,684425058.695528,338977838.859303,,,,,,11432193.7811373,,,12,,37841447.6321365,-54059210.9030522,113524342.89640951,,24282334.0777644,47235343.2972571,,432739552.196072,-54059210.9030522,-2038298.1160167204,34828311.2867205,,-59287888.6789212,,,,,2924514.68819791,66732107.8852431,,-5849029.37639581,-5228677.77586898,,-5228677.77586898,,-5228677.77586898,,18521926.3585867,,1683811.48714425
2010-08-26,19053656.3018954,92964118.4218061,66023134.627498016,3013136.34541602,631163442.707439,9659760.6367749,198423890.511367,70276974.1739678,21269197.7323484,2,5,,,,684425058.695528,338977838.859303,,,,,,11432193.7811373,,,12,,37841447.6321365,-54059210.9030522,113524342.89640951,,24282334.0777644,47235343.2972571,,432739552.196072,-54059210.9030522,-2038298.1160167204,34828311.2867205,,-59287888.6789212,,,,,2924514.68819791,66732107.8852431,,-5849029.37639581,-5228677.77586898,,-5228677.77586898,,-5228677.77586898,,18521926.3585867,,1683811.48714425
2010-10-25,19053656.3018954,92964118.4218061,66023134.627498016,3013136.34541602,631163442.707439,9659760.6367749,198423890.511367,70276974.1739678,21269197.7323484,2,6,,,,684425058.695528,338977838.859303,,,,,,11432193.7811373,,,12,,37841447.6321365,-54059210.9030522,113524342.89640951,,24282334.0777644,47235343.2972571,,432739552.196072,-54059210.9030522,-2038298.1160167204,34828311.2867205,,-59287888.6789212,,,,,2924514.68819791,66732107.8852431,,-5849029.37639581,-5228677.77586898,,-5228677.77586898,,-5228677.77586898,,18521926.3585867,,1683811.48714425
2011-04-28,19053656.3018954,520539749.849508,66023134.627498016,3001464.78496422,520539749.849508,8318345.26118654,168768077.051702,514108039.596014,22896888.5024413,2,8,,,,304948822.152364,338977838.859303,,,,,,75551156.444385,,,18,,37841447.6321365,-29585867.1660758,113524342.89640951,,23925962.1430005,351771672.797806,,351771672.797806,-29585867.1660758,8061076.8510467475,23840206.0062872,,-65174663.9020801,,,,,5488392.74964886,70577300.5150157,,-36617870.3765634,-36446358.1031369,,-35588796.7360043,,-35588796.7360043,,18694837.8034914,,7460783.89405391
2011-05-18,19053656.3018954,520539749.849508,66023134.627498016,3001464.78496422,520539749.849508,8318345.26118654,168768077.051702,514108039.596014,22896888.5024413,2,8,,,,304948822.152364,338977838.859303,,,,,,75551156.444385,,,18,,37841447.6321365,-29585867.1660758,113524342.89640951,,23925962.1430005,351771672.797806,,351771672.797806,-29585867.1660758,8061076.8510467475,23840206.0062872,,-65174663.9020801,,,,,5488392.74964886,70577300.5150157,,-36617870.3765634,-36446358.1031369,,-35588796.7360043,,-35588796.7360043,,18694837.8034914,,7460783.89405391
2011-08-25,19053656.3018954,520539749.849508,66023134.627498016,3001464.78496422,520539749.849508,8318345.26118654,168768077.051702,514108039.596014,22896888.5024413,3,9,,,,304948822.152364,338977838.859303,,,,,,75551156.444385,,,18,,37841447.6321365,-29585867.1660758,113524342.89640951,,23925962.1430005,351771672.797806,,351771672.797806,-29585867.1660758,8061076.8510467475,23840206.0062872,,-65174663.9020801,,,,,5488392.74964886,70577300.5150157,,-36617870.3765634,-36446358.1031369,,-35588796.7360043,,-35588796.7360043,,18694837.8034914,,7460783.89405391
