datadate,acoq,actq,aoq,apq,atq,capxq,ceqq,cheq,cogsq,count,countq,dcpstkq,dcq,dcvtq,dlcq,dlttq,dmq,dpq,drcq,drltq,drq,dvtq,ebitdaq,ebitq,empq,fatlq,gdwliaq,ibq,intanq,invtq,lcoq,lctq,loq,ltq,niq,nopiq,oancfq,obq,piq,ppegtq,ppentq,pstkq,pstkqq,rectq,revtq,scstkcq,spiq,txdiq,txfedq,txfoq,txpq,txtq,xadq,xintq,xrdq,xsgaq
2001-07-31,,1422000.0,,,31584000.0,,16282000.0,114000.0,1287000.0,1,1,,,,21413000.0,7119000.0,,,,,,1496000.0,,,,,,5346000.0,,,1008000.0,8183000.0,,15302000.0,5346000.0,,1164000.0,,5346000.0,,,,,376000.0,6848000.0,,,,,,,,,,,
2001-10-31,,1422000.0,,,31584000.0,,16282000.0,114000.0,1287000.0,1,2,,,,21413000.0,7119000.0,,,,,,1496000.0,,,,,,5346000.0,,,1008000.0,8183000.0,,15302000.0,5346000.0,,1164000.0,,5346000.0,,,,,376000.0,6848000.0,,,,,,,,,,,
2002-01-31,,1422000.0,,,31584000.0,,16282000.0,114000.0,1287000.0,1,3,,,,21413000.0,7119000.0,,,,,,1496000.0,,,,,,5346000.0,,,1008000.0,8183000.0,,15302000.0,5346000.0,,1164000.0,,5346000.0,,,,,376000.0,6848000.0,,,,,,,,,,,
2002-06-10,,611000.0,,,36526000.0,,19600000.0,1000.0,2180000.0,1,4,,,,22469000.0,7735000.0,,,,,,1536000.0,,,,,,4854000.0,,,2192000.0,9191000.0,,16926000.0,4854000.0,,1183000.0,,4854000.0,,,,,416000.0,7263000.0,,,,,,,,,,,
2002-08-29,,611000.0,,,36526000.0,,19600000.0,1000.0,2180000.0,2,5,,,,22469000.0,7735000.0,,,,,,1536000.0,,,,,,4854000.0,,,2192000.0,9191000.0,,16926000.0,4854000.0,,1183000.0,,4854000.0,,,,,416000.0,7263000.0,,,,,,,,,,,
2002-11-28,,611000.0,,,36526000.0,,19600000.0,1000.0,2180000.0,2,6,,,,22469000.0,7735000.0,,,,,,1536000.0,,,,,,4854000.0,,,2192000.0,9191000.0,,16926000.0,4854000.0,,1183000.0,,4854000.0,,,,,416000.0,7263000.0,,,,,,,,,,,
2003-02-27,,611000.0,,,36526000.0,,19600000.0,1000.0,2180000.0,2,7,,,,22469000.0,7735000.0,,,,,,1536000.0,,,,,,4854000.0,,,2192000.0,9191000.0,,16926000.0,4854000.0,,1183000.0,,4854000.0,,,,,416000.0,7263000.0,,,,,,,,,,,
2003-05-29,,941000.0,,,31001000.0,,14214000.0,309000.0,1289000.0,2,8,,,,24285000.0,8397000.0,,,,,,1575000.0,,,,,,-3811000.0,,,899000.0,8390000.0,,16787000.0,-3811000.0,,372000.0,,-3811000.0,,,,,476000.0,-2280000.0,,,,,,,,,,,
2003-09-03,,941000.0,,,31001000.0,,14214000.0,309000.0,1289000.0,3,9,,,,24285000.0,8397000.0,,,,,,1575000.0,,,,,,-3811000.0,,,899000.0,8390000.0,,16787000.0,-3811000.0,,372000.0,,-3811000.0,,,,,476000.0,-2280000.0,,,,,,,,,,,
2003-11-25,,941000.0,,,31001000.0,,14214000.0,309000.0,1289000.0,3,10,,,,24285000.0,8397000.0,,,,,,1575000.0,,,,,,-3811000.0,,,899000.0,8390000.0,,16787000.0,-3811000.0,,372000.0,,-3811000.0,,,,,476000.0,-2280000.0,,,,,,,,,,,
