datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt,dr,dc,count
1996-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1998-06-19,,,,,2870248.67601779,,,104859834.717756,,,,2870248.67601779,,,388.0,,6771194.55354088,,,,,11055172.6034896,13708148.1491618,13708148.1491618,14260678.2894287,,,,98344133.4245638,,79479175.77831,,,,,,1292422.0047896,,,,3173468077.39993,,,2002754337.680461,198567284.762231,,2974900377.20151,,,,,977748196.619911,,,2
1999-01-21,,,,,2593283.82235166,,,6482549.23917,,,,3421761.18674918,,,394.0,,8053662.79577721,,,,,11055172.6034896,15955892.9595923,15955892.9595923,17015481.1721878,,,,101764049.311977,88283463.5893702,64294157.5464143,,,,,,2373178.25263924,,,,3539183106.07936,,,2165134027.9359303,218678405.198398,,3320504700.88096,,,,,1044411053.14161,,,3
2000-01-31,,,,,1754845.17670733,,,-69859865.5515029,,,,2493481.82618539,,,351.0,,7931402.59086907,,,,,12931583.9517042,15110562.0676644,15110562.0676644,16036579.1724311,,,,82227753.112816,55794668.7209156,53495564.9603823,,,,,,701704.81700415,,,,3093452662.4324,,,1951140976.355176,233771501.94944,,2859681549.23909,,,,,967426630.360961,,,4
2000-02-03,,,,,1754845.17670733,,,-69859865.5515029,,,,2493481.82618539,,,351.0,,7931402.59086907,,,,,12931583.9517042,15110562.0676644,15110562.0676644,16036579.1724311,,,,82227753.112816,55794668.7209156,53495564.9603823,,,,,,701704.81700415,,,,3093452662.4324,,,1951140976.355176,233771501.94944,,2859681549.23909,,,,,967426630.360961,,,4
2001-03-06,,,,,1754845.17670733,,,-69859865.5515029,,,,2493481.82618539,,,351.0,,7931402.59086907,,,,,12931583.9517042,15110562.0676644,15110562.0676644,16036579.1724311,,,,82227753.112816,55794668.7209156,53495564.9603823,,,,,,701704.81700415,,,,3093452662.4324,,,1951140976.355176,233771501.94944,,2859681549.23909,,,,,967426630.360961,,,5
2001-06-07,,,,,2300164.36024845,,,-230189187.130435,,,,2848316.9068323,,,385.0,,9393341.36645963,,,,,12931583.9517042,19633827.5776398,19633827.5776398,20876721.9503106,,,,95971959.7639751,79600470.3726708,56317275.689441,,,,,,364189.229813665,,,,3490002134.34783,,,2574031338.93167,265289637.130435,,3224712497.21739,,,,,1270292033.59006,,,5
2002-02-19,,,,,2388376.96155237,,,-53147707.4966855,,,,2922995.43811016,,,386.0,,9374472.82150175,,,,,12931583.9517042,21685202.9347957,21685202.9347957,23715924.2798602,,,,85991931.4390744,58638114.9210558,55715119.4829456,,,,,,1176989.51428227,,,,3717452584.99458,,,2708330371.32096,278525451.030493,,3438927133.96408,,,,,1333718515.52971,,,6
2002-05-29,,,,,2388376.96155237,,,-53147707.4966855,,,,2922995.43811016,,,386.0,,9374472.82150175,,,,,12931583.9517042,21685202.9347957,21685202.9347957,23715924.2798602,,,,85991931.4390744,58638114.9210558,55715119.4829456,,,,,,1176989.51428227,,,,3717452584.99458,,,2708330371.32096,278525451.030493,,3438927133.96408,,,,,1333718515.52971,,,6
2003-02-13,,,,,1674514.90008688,,,83665074.1746308,,,,2245270.11294527,,,395.0,,10165734.5786273,,,,,12931583.9517042,24657973.4361425,24657973.4361425,27015596.9374457,,,,96712448.4578627,62440620.2867072,60195350.1737619,,,,,,469637.163336229,,,,4002100947.71938,,,2815699051.56385,319456636.185925,,3682643862.1199,,,,,1381050096.76368,,,7
2003-05-09,,,,,1674514.90008688,,,83665074.1746308,,,,2245270.11294527,,,395.0,,10165734.5786273,,,,,12931583.9517042,24657973.4361425,24657973.4361425,27015596.9374457,,,,96712448.4578627,62440620.2867072,60195350.1737619,,,,,,469637.163336229,,,,4002100947.71938,,,2815699051.56385,319456636.185925,,3682643862.1199,,,,,1381050096.76368,,,7
2004-01-23,,,,,1674514.90008688,,,83665074.1746308,,,,2245270.11294527,,,395.0,,10165734.5786273,,,,,12931583.9517042,24657973.4361425,24657973.4361425,27015596.9374457,,,,96712448.4578627,62440620.2867072,60195350.1737619,,,,,,469637.163336229,,,,4002100947.71938,,,2815699051.56385,319456636.185925,,3682643862.1199,,,,,1381050096.76368,,,8
2004-02-17,,,,,7595924.69155713,,,88736407.9832271,,,,5117549.31053947,,,394.0,,10642515.1681316,,,,,16826935.7471172,26427422.1191839,26427422.1191839,28402624.5141521,,,,97130905.2415128,68151935.3681155,63034386.057576,,,,,,4068293.61341827,,,,4060014294.89557,,,2683973489.17023,356349457.463108,,3703665740.7951,,,,,1314961748.08483,,,8
2005-01-24,,,,,13012053.5061511,,,165199532.54833,,,,6374335.07908612,,,396.0,,11224253.1458699,,,,,16826935.7471172,27274605.3427065,27274605.3427065,29389459.112478,,,,105847125.711775,70784618.3128295,70784618.3128295,,,,,,4162831.07205624,,,,4060768421.51142,,,2413277180.30755,379451579.824253,,3681317299.74517,,,,,1185957958.69947,,,9
2005-02-01,,,,,13012053.5061511,,,165199532.54833,,,,6374335.07908612,,,396.0,,11224253.1458699,,,,,16826935.7471172,27274605.3427065,27274605.3427065,29389459.112478,,,,105847125.711775,70784618.3128295,70784618.3128295,,,,,,4162831.07205624,,,,4060768421.51142,,,2413277180.30755,379451579.824253,,3681317299.74517,,,,,1185957958.69947,,,9
2006-01-20,,,,,7940975.28740008,,,-18926610.384469,,,,9844385.30643319,,,383.0,,12114499.231062,,,9108765.77084127,,-554258.134754473,24769101.5607156,24769101.5607156,29582698.5458698,,,,91802929.3795204,86346605.2835934,58742073.0414922,,,,,,-38041.6596878569,,2444397.80738485,4813596.98515417,4032992744.63647,,,2393925371.87667,386885448.405025,,3646107738.57632,,,,4813596.98515417,1176882882.45147,,,10
2006-05-18,,,,,7940975.28740008,,,-18926610.384469,,,,9844385.30643319,28855325.3052072,38607713.6035213,383.0,,12114499.231062,,,9108765.77084127,,-554258.134754473,24769101.5607156,24769101.5607156,29582698.5458698,,,,91802929.3795204,86346605.2835934,58742073.0414922,,,,,,-38041.6596878569,,2444397.80738485,4813596.98515417,4032992744.63647,,,2393925371.87667,386885448.405025,,3646107738.57632,,,,4813596.98515417,1176882882.45147,,,10
2007-01-19,,,,,4435205.35128037,,,103502231.483913,,,,13606464.1825345,28855325.3052072,38607713.6035213,379.0,,12079597.0781353,,,5031035.48916612,,-1600612.60669731,22686379.1529875,22686379.1529875,27185692.8102429,,,,82654880.7944846,84200184.2744583,50378653.2829941,,,,,,41062.8365068943,,1960959.94747209,4499313.65725542,3834779108.76559,,,2170077889.49442,379411810.144452,,3455366879.61261,,,,4499313.65725542,1080281940.84045,,,11
2007-03-06,,,,,4435205.35128037,,,103502231.483913,,,,13606464.1825345,21536172.2235842,38607713.6035213,379.0,,12079597.0781353,,,5031035.48916612,,-1600612.60669731,22686379.1529875,22686379.1529875,27185692.8102429,,,,82654880.7944846,84200184.2744583,50378653.2829941,,,,,,41062.8365068943,,1960959.94747209,4499313.65725542,3834779108.76559,,,2170077889.49442,379411810.144452,,3455366879.61261,,,,4499313.65725542,1080281940.84045,,,11
2008-01-18,,,,,2564812.08645787,,,80084812.7481253,,,,9878749.36038818,21536172.2235842,38607713.6035213,376.0,,16658832.3334804,,,5031035.48916612,,-3518282.09086899,31833896.426996,31833896.426996,37448923.5112484,,,,95803065.8138509,96047100.7940009,51617621.1292457,,,,,,221365.063961182,,2524806.35200706,5615027.08425232,4181089542.61138,,,2310411176.00352,421571983.987649,,3759516669.60741,,,,5615027.08425232,1155205588.00176,,,12
