Instrument,TR.ACCOUNTSPAYABLE,TR.ACCOUNTSPAYABLE.CALCDATE,TR.ACCTSRECEIVTRADENET,TR.ACCTSRECEIVTRADENET.CALCDATE,TR.ADVERTISINGEXPENSE,TR.ADVERTISINGEXPENSE.CALCDATE,TR.BACKLOGVALUEACTUAL,TR.BACKLOGVALUEACTUAL.CALCDATE,TR.BUILDINGSGROSS,TR.BUILDINGSGROSS.CALCDATE,TR.CAPITALEXPENDITURES,TR.CAPITALEXPENDITURES.CALCDATE,TR.CAPITALLEASEOBLIGATIONS,TR.CAPITALLEASEOBLIGATIONS.CALCDATE,TR.CASHANDSTINVESTMENTS,TR.CASHANDSTINVESTMENTS.CALCDATE,TR.CASHFROMOPERATINGACT,TR.CASHFROMOPERATINGACT.CALCDATE,TR.COSTOFREVENUETOTAL,TR.COSTOFREVENUETOTAL.CALCDATE,TR.DEFERREDREVENUECURRENT,TR.DEFERREDREVENUECURRENT.CALCDATE,TR.DEFERREDREVENUELT,TR.DEFERREDREVENUELT.CALCDATE,TR.DEPRDEPLETIONANDAMORT,TR.DEPRDEPLETIONANDAMORT.CALCDATE,TR.EBITACTVALUE,TR.EBITACTVALUE.CALCDATE,TR.EBITDAACTVALUE,TR.EBITDAACTVALUE.CALCDATE,TR.EMPLOYEES,TR.EMPLOYEES.CALCDATE,TR.GOODWILLNET,TR.GOODWILLNET.CALCDATE,TR.GROSSDIVIDENDSCMNSTOCK,TR.GROSSDIVIDENDSCMNSTOCK.CALCDATE,TR.INCOMETAXESPAYABLE,TR.INCOMETAXESPAYABLE.CALCDATE,TR.INTEXPENSENETNONOPER,TR.INTEXPENSENETNONOPER.CALCDATE,TR.INTANGIBLESNET,TR.INTANGIBLESNET.CALCDATE,TR.INTERESTINCOMENONOPERATING,TR.INTERESTINCOMENONOPERATING.CALCDATE,TR.INVENTORYACTVALUE,TR.INVENTORYACTVALUE.CALCDATE,TR.ISSUANCERETIREMENTOFSTOCKNET,TR.ISSUANCERETIREMENTOFSTOCKNET.CALCDATE,TR.LEASEEXPENSETOTAL,TR.LEASEEXPENSETOTAL.CALCDATE,TR.MINORITYINTERESTBSSTMT,TR.MINORITYINTERESTBSSTMT.CALCDATE,TR.NETINCOME,TR.NETINCOME.CALCDATE,TR.NETINCOMEBEFOREEXTRAITEMS,TR.NETINCOMEBEFOREEXTRAITEMS.CALCDATE,TR.NETINCOMEBEFORETAXES,TR.NETINCOMEBEFORETAXES.CALCDATE,TR.OTHERCURRENTASSETS,TR.OTHERCURRENTASSETS.CALCDATE,TR.OTHERCURRENTLIABTOTAL,TR.OTHERCURRENTLIABTOTAL.CALCDATE,TR.OTHERLTASSETSTOTAL,TR.OTHERLTASSETSTOTAL.CALCDATE,TR.OTHERLIABILITIESTOTAL,TR.OTHERLIABILITIESTOTAL.CALCDATE,TR.OTHERNONOPERATINGINCOME,TR.OTHERNONOPERATINGINCOME.CALCDATE,TR.PPTYPLANTEQPMTTTLGROSS,TR.PPTYPLANTEQPMTTTLGROSS.CALCDATE,TR.PROPERTYPLANTEQUIPMENTTOTALNET,TR.PROPERTYPLANTEQUIPMENTTOTALNET.CALCDATE,TR.RECEIVABLESOTHER,TR.RECEIVABLESOTHER.CALCDATE,TR.REDEEMABLEPREFERREDTTL,TR.REDEEMABLEPREFERREDTTL.CALCDATE,TR.RESEARCHANDDEVELOPMENT,TR.RESEARCHANDDEVELOPMENT.CALCDATE,TR.REVENUE,TR.REVENUE.CALCDATE,TR.RIGHTOFUSEASSETSCAPLEASEGROSSSUPP,TR.RIGHTOFUSEASSETSCAPLEASEGROSSSUPP.CALCDATE,TR.RIGHTOFUSEASSETSOPERLEASEGROSSSUPP,TR.RIGHTOFUSEASSETSOPERLEASEGROSSSUPP.CALCDATE,TR.SGAEXPENSETOTAL,TR.SGAEXPENSETOTAL.CALCDATE,TR.SPECIALITEMSMM,TR.SPECIALITEMSMM.CALCDATE,TR.TAXCURDOM,TR.TAXCURDOM.CALCDATE,TR.TAXDEFTOT,TR.TAXDEFTOT.CALCDATE,TR.TAXOTHINCTOT,TR.TAXOTHINCTOT.CALCDATE,TR.TOTALASSETSREPORTED,TR.TOTALASSETSREPORTED.CALCDATE,TR.TOTALCURRLIABILITIES,TR.TOTALCURRLIABILITIES.CALCDATE,TR.TOTALCURRENTASSETS,TR.TOTALCURRENTASSETS.CALCDATE,TR.TOTALDEBTOUTSTANDING,TR.TOTALDEBTOUTSTANDING.CALCDATE,TR.TOTALEQUITY,TR.TOTALEQUITY.CALCDATE,TR.TOTALINVENTORY,TR.TOTALINVENTORY.CALCDATE,TR.TOTALLIABILITIES,TR.TOTALLIABILITIES.CALCDATE,TR.TOTALLONGTERMDEBT,TR.TOTALLONGTERMDEBT.CALCDATE,TR.TTLPREFERREDSHARESOUT,TR.TTLPREFERREDSHARESOUT.CALCDATE,TR.WARRANTSCONVERTED,TR.WARRANTSCONVERTED.CALCDATE
7201q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOGNq.L^K07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7751q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCA.L^K19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISPq.L^K07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8316q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMWGq.L^K07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYS.L^J21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFL.L^J16,33400000.0,1999-05-02,95300000.0,1999-05-02,,,,,,,-10900000.0,1999-05-02,,,35000000.0,1999-05-02,95100000.0,1999-05-02,545400000.0,1999-05-02,,,,,4100000.0,1999-05-02,,,,,5624,1999-05-02,,,24500000.0,1999-05-02,52500000.0,1999-05-02,-14300000.0,1999-05-02,,,2500000.0,1999-05-02,,,0.0,1999-05-02,,,300000.0,1999-05-02,66600000.0,1999-05-02,66600000.0,1999-05-02,100400000.0,1999-05-02,,,88300000.0,1999-05-02,,,4300000.0,1999-05-02,,,157100000.0,1999-05-02,83200000.0,1999-05-02,3100000.0,1999-05-02,,,1000000.0,1999-05-02,705000000.0,1999-05-02,,,,,36400000.0,1999-05-02,-10000000.0,1999-05-02,24500000.0,1999-05-02,-1000000.0,1999-05-02,33800000.0,1999-05-02,428300000.0,1999-05-02,152000000.0,1999-05-02,345100000.0,1999-05-02,194500000.0,1999-05-02,43900000.0,1999-05-02,146600000.0,1999-05-02,384400000.0,1999-05-02,193000000.0,1999-05-02,27946270,1999-05-02,,
PFL.L^J16,33400000.0,1999-08-01,95300000.0,1999-08-01,,,,,,,-10900000.0,1999-08-01,,,35000000.0,1999-08-01,95100000.0,1999-08-01,545400000.0,1999-08-01,,,,,4100000.0,1999-08-01,,,,,5624,1999-08-01,,,24500000.0,1999-08-01,52500000.0,1999-08-01,-14300000.0,1999-08-01,,,2500000.0,1999-08-01,,,0.0,1999-08-01,,,300000.0,1999-08-01,66600000.0,1999-08-01,66600000.0,1999-08-01,100400000.0,1999-08-01,,,88300000.0,1999-08-01,,,4300000.0,1999-08-01,,,157100000.0,1999-08-01,83200000.0,1999-08-01,3100000.0,1999-08-01,,,1000000.0,1999-08-01,705000000.0,1999-08-01,,,,,36400000.0,1999-08-01,-10000000.0,1999-08-01,24500000.0,1999-08-01,-1000000.0,1999-08-01,33800000.0,1999-08-01,428300000.0,1999-08-01,152000000.0,1999-08-01,345100000.0,1999-08-01,194500000.0,1999-08-01,43900000.0,1999-08-01,146600000.0,1999-08-01,384400000.0,1999-08-01,193000000.0,1999-08-01,27946270,1999-08-01,,
PFL.L^J16,33400000.0,1999-10-31,95300000.0,1999-10-31,,,,,,,-10900000.0,1999-10-31,,,35000000.0,1999-10-31,95100000.0,1999-10-31,545400000.0,1999-10-31,,,,,4100000.0,1999-10-31,,,,,5624,1999-10-31,,,24500000.0,1999-10-31,52500000.0,1999-10-31,-14300000.0,1999-10-31,,,2500000.0,1999-10-31,,,0.0,1999-10-31,,,300000.0,1999-10-31,66600000.0,1999-10-31,66600000.0,1999-10-31,100400000.0,1999-10-31,,,88300000.0,1999-10-31,,,4300000.0,1999-10-31,,,157100000.0,1999-10-31,83200000.0,1999-10-31,3100000.0,1999-10-31,,,1000000.0,1999-10-31,705000000.0,1999-10-31,,,,,36400000.0,1999-10-31,-10000000.0,1999-10-31,24500000.0,1999-10-31,-1000000.0,1999-10-31,33800000.0,1999-10-31,428300000.0,1999-10-31,152000000.0,1999-10-31,345100000.0,1999-10-31,194500000.0,1999-10-31,43900000.0,1999-10-31,146600000.0,1999-10-31,384400000.0,1999-10-31,193000000.0,1999-10-31,27946270,1999-10-31,,
LVMHq.L^K07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGM.L^K20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYOEq.L^K07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDL.L^K20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWEGq.L^K07,2027720466.24309,1998-09-30,3056517557.6245,1998-09-30,,,,,,,-1519867285.40783,1998-09-30,,,6854507472.46319,1998-09-30,3233074578.85341,1998-09-30,12143162275.6623,1998-09-30,174543062.811853,1998-09-30,,,1472538920.44791,1998-09-30,,,,,145467,1998-09-30,692801695.468587,1998-09-30,,1998-09-30,,,-235633134.796002,1998-09-30,165480249.935084,1998-09-30,485699638.2476,1998-09-30,,,335323998.524566,1998-09-30,,,2705417473.58373,1998-09-30,655543464.75298,1998-09-30,655543464.75298,1998-09-30,1694746007.95586,1998-09-30,,,1531279716.43784,1998-09-30,,,19998607081.4043,1998-09-30,-520608250.809971,1998-09-30,33149084225.3327,1998-09-30,8923849745.99218,1998-09-30,,,,,,,21860175978.2399,1998-09-30,,,,,4340751708.23632,1998-09-30,,1998-09-30,,,,1998-09-30,,1998-09-30,31840346913.98,1998-09-30,3951722074.0076,1998-09-30,15892145869.0193,1998-09-30,401784704.203439,1998-09-30,4034630028.84323,1998-09-30,2080419044.82282,1998-09-30,27805045565.6644,1998-09-30,9062812.87676931,1998-09-30,,,,
RWEGq.L^K07,2027720466.24309,1998-12-31,3056517557.6245,1998-12-31,,,,,,,-1519867285.40783,1998-12-31,,,6854507472.46319,1998-12-31,3233074578.85341,1998-12-31,12143162275.6623,1998-12-31,174543062.811853,1998-12-31,,,1472538920.44791,1998-12-31,,,,,145467,1998-12-31,692801695.468587,1998-12-31,,1998-12-31,,,-235633134.796002,1998-12-31,165480249.935084,1998-12-31,485699638.2476,1998-12-31,,,335323998.524566,1998-12-31,,,2705417473.58373,1998-12-31,655543464.75298,1998-12-31,655543464.75298,1998-12-31,1694746007.95586,1998-12-31,,,1531279716.43784,1998-12-31,,,19998607081.4043,1998-12-31,-520608250.809971,1998-12-31,33149084225.3327,1998-12-31,8923849745.99218,1998-12-31,,,,,,,21860175978.2399,1998-12-31,,,,,4340751708.23632,1998-12-31,,1998-12-31,,,,1998-12-31,,1998-12-31,31840346913.98,1998-12-31,3951722074.0076,1998-12-31,15892145869.0193,1998-12-31,401784704.203439,1998-12-31,4034630028.84323,1998-12-31,2080419044.82282,1998-12-31,27805045565.6644,1998-12-31,9062812.87676931,1998-12-31,,,,
RWEGq.L^K07,2027720466.24309,1999-03-31,3056517557.6245,1999-03-31,,,,,,,-1519867285.40783,1999-03-31,,,6854507472.46319,1999-03-31,3233074578.85341,1999-03-31,12143162275.6623,1999-03-31,174543062.811853,1999-03-31,,,1472538920.44791,1999-03-31,,,,,145467,1999-03-31,692801695.468587,1999-03-31,,1999-03-31,,,-235633134.796002,1999-03-31,165480249.935084,1999-03-31,485699638.2476,1999-03-31,,,335323998.524566,1999-03-31,,,2705417473.58373,1999-03-31,655543464.75298,1999-03-31,655543464.75298,1999-03-31,1694746007.95586,1999-03-31,,,1531279716.43784,1999-03-31,,,19998607081.4043,1999-03-31,-520608250.809971,1999-03-31,33149084225.3327,1999-03-31,8923849745.99218,1999-03-31,,,,,,,21860175978.2399,1999-03-31,,,,,4340751708.23632,1999-03-31,,1999-03-31,,,,1999-03-31,,1999-03-31,31840346913.98,1999-03-31,3951722074.0076,1999-03-31,15892145869.0193,1999-03-31,401784704.203439,1999-03-31,4034630028.84323,1999-03-31,2080419044.82282,1999-03-31,27805045565.6644,1999-03-31,9062812.87676931,1999-03-31,,,,
RWEGq.L^K07,2336922567.28778,1999-10-15,3460746004.14079,1999-10-15,,,,,,,-1748753291.92547,1999-10-15,,,6301813664.59627,1999-10-15,3236900331.26294,1999-10-15,11949814161.4907,1999-10-15,262575569.358178,1999-10-15,,,1482239089.02692,1999-10-15,,,,,155576,1999-10-15,850088405.797101,1999-10-15,364323602.484472,1999-10-15,,,-156888902.691511,1999-10-15,188397971.014493,1999-10-15,417495155.279503,1999-10-15,,,212686211.180124,1999-10-15,,,2235174534.16149,1999-10-15,754248322.981367,1999-10-15,754248322.981367,1999-10-15,1786826749.4824,1999-10-15,,,1693612422.36025,1999-10-15,,,23429618053.8302,1999-10-15,-640684389.233954,1999-10-15,37814820621.118,1999-10-15,11241516563.147,1999-10-15,,,,,,,22241463602.4845,1999-10-15,,,,,4673845134.57557,1999-10-15,-97152960.6625259,1999-10-15,,,-263888447.204969,1999-10-15,772628612.836439,1999-10-15,36256434616.9772,1999-10-15,4240595445.13458,1999-10-15,17147497556.9358,1999-10-15,414212960.662526,1999-10-15,4344969233.95445,1999-10-15,2220076438.9234,1999-10-15,31911465383.0228,1999-10-15,204152505.175983,1999-10-15,,,,
RWEGq.L^K07,2336922567.28778,1999-11-18,3460746004.14079,1999-11-18,,,,,,,-1748753291.92547,1999-11-18,,,6301813664.59627,1999-11-18,3236900331.26294,1999-11-18,11949814161.4907,1999-11-18,262575569.358178,1999-11-18,,,1482239089.02692,1999-11-18,,,,,155576,1999-11-18,850088405.797101,1999-11-18,364323602.484472,1999-11-18,,,-156888902.691511,1999-11-18,188397971.014493,1999-11-18,417495155.279503,1999-11-18,,,212686211.180124,1999-11-18,,,2235174534.16149,1999-11-18,754248322.981367,1999-11-18,754248322.981367,1999-11-18,1786826749.4824,1999-11-18,,,1693612422.36025,1999-11-18,,,23429618053.8302,1999-11-18,-640684389.233954,1999-11-18,37814820621.118,1999-11-18,11241516563.147,1999-11-18,,,,,,,22241463602.4845,1999-11-18,,,,,4673845134.57557,1999-11-18,-97152960.6625259,1999-11-18,,,-263888447.204969,1999-11-18,772628612.836439,1999-11-18,36256434616.9772,1999-11-18,4240595445.13458,1999-11-18,17147497556.9358,1999-11-18,414212960.662526,1999-11-18,4344969233.95445,1999-11-18,2220076438.9234,1999-11-18,31911465383.0228,1999-11-18,204152505.175983,1999-11-18,,,,
CARRq.L^K07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOND.L^K14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5108q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPWGnq.L^K07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5201q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPPq.L^K07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS6.L^K10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8001q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6971q.L^J08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAGRq.L^K07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAq.L^K07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
