Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME
1998-01-21,8.6875,8.625,8.625,8.6875,,
1998-01-22,8.4063,8.4063,8.625,8.4063,,
1998-01-23,8.0156,8.0,8.0,8.0156,,
1998-01-26,8.0,7.875,8.0,8.0,,
1998-01-27,8.1875,8.0313,8.125,8.0313,,
1998-01-28,8.7813,8.625,8.625,8.7813,,
1998-01-29,8.7813,8.5,8.7188,8.6875,,
1998-01-30,8.5,8.5,8.5,8.5,,
1998-02-02,8.5,8.5,8.5,8.5,,
1998-02-03,8.2656,8.1875,8.1875,8.2656,,
1998-02-04,8.75,8.0938,8.5,8.0938,,
1998-02-05,8.75,8.625,8.625,8.6875,,
1998-02-06,8.75,8.7188,8.75,8.7188,,
1998-02-09,8.5313,8.5313,8.75,8.5313,,
1998-02-10,8.3438,8.3125,8.3125,8.3438,,
1998-02-11,8.3125,8.3125,8.3125,8.3125,,
1998-02-12,8.4375,8.0313,8.1563,8.4375,,
1998-02-13,8.1875,8.1563,8.1875,8.1563,,
1998-02-16,,,8.1875,,,
1998-02-17,8.1875,7.9375,7.9688,8.1875,,
1998-02-18,8.0938,7.9688,8.0625,7.9688,,
1998-02-19,8.0469,7.9375,7.9375,7.9375,,
1998-02-20,9.6875,8.1563,9.5,8.1563,,
1998-02-23,10.3125,9.1563,9.5,10.125,,
1998-02-24,9.125,8.7188,8.8125,8.7188,,
1998-02-25,8.8125,7.8125,8.0313,8.5469,,
1998-02-26,8.625,8.3125,8.625,8.3125,,
1998-02-27,8.5625,8.5,8.5625,8.5,,
1998-03-02,8.9375,8.5313,8.9375,8.5625,,
1998-03-03,8.75,8.625,8.75,8.625,,
1998-03-04,8.8438,8.7188,8.7188,8.8438,,
1998-03-05,9.3438,8.9688,9.3125,9.3438,,
1998-03-06,9.4063,9.0313,9.25,9.0313,,
1998-03-09,9.6875,8.9375,8.9688,9.1563,,
1998-03-10,8.75,8.6875,8.6875,8.75,,
1998-03-11,8.8125,8.8125,8.6875,8.8125,,
1998-03-12,8.8125,8.5625,8.5625,8.7656,,
1998-03-13,8.6406,8.5,8.5,8.6406,,
1998-03-16,8.6875,8.5625,8.625,8.6875,,
1998-03-17,8.625,8.3438,8.6094,8.625,,
1998-03-18,8.5,8.5,8.6094,8.5,,
1998-03-19,8.5,8.5,8.6094,8.5,,
1998-03-20,8.1875,7.75,8.0,7.8281,,
1998-03-23,8.25,8.0625,8.25,8.0938,,
1998-03-24,8.3438,8.0156,8.3438,8.1563,,
