Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME,SHROUT
2018-04-13,2.92,2.92,2.92,2.92,0.0,0.0,4255566.0
2018-04-16,2.88,2.88,2.88,2.88,0.0,1.0,4255566.0
2018-04-17,2.76,2.76,2.76,2.76,0.0,1.0,4255566.0
2018-04-18,2.75,2.75,2.75,2.75,0.0,1.0,4255566.0
2018-04-19,2.73,2.73,2.73,2.73,0.0,1.0,4255566.0
2018-04-20,2.755,2.755,2.755,2.755,0.0,1.0,4255566.0
2018-04-23,2.77,2.77,2.77,2.77,0.0,1.0,4255566.0
2018-04-24,2.72,2.72,2.72,2.72,0.0,1.0,4255566.0
2018-04-25,2.65,2.65,2.65,2.65,0.0,1.0,4255566.0
2018-04-26,2.64,2.64,2.64,2.64,0.0,1.0,4255566.0
2018-04-27,2.65,2.65,2.65,2.65,0.0,1.0,4255566.0
2018-04-30,2.64,2.64,2.64,2.64,0.0,1.0,4255566.0
2018-05-01,2.53,2.53,2.53,2.53,0.0,1.0,4255566.0
2018-05-02,2.61,2.61,2.61,2.61,0.0,1.0,4255566.0
2018-05-03,2.58,2.58,2.58,2.58,0.0,1.0,4255566.0
2018-05-04,2.36,2.36,2.36,2.36,0.0,1.0,4255566.0
2018-05-07,2.36,2.36,2.36,2.36,0.0,0.0,4255566.0
2018-05-08,2.42,2.42,2.42,2.42,0.0,1.0,4255566.0
2018-05-09,2.29,2.29,2.29,2.29,0.0,1.0,4255566.0
2018-05-10,2.03,2.03,2.03,2.03,0.0,1.0,4255566.0
2018-05-11,2.24,2.24,2.24,2.24,0.0,1.0,4255566.0
2018-05-14,2.38,2.38,2.38,2.38,0.0,1.0,4255566.0
2018-05-15,2.5,2.5,2.5,2.5,0.0,1.0,4255566.0
2018-05-16,2.36,2.36,2.36,2.36,0.0,1.0,4255566.0
2018-05-17,2.37,2.37,2.37,2.37,0.0,1.0,4255566.0
2018-05-18,2.35,2.35,2.35,2.35,0.0,1.0,4255566.0
2018-05-21,2.58,2.58,2.58,2.58,0.0,1.0,4255566.0
2018-05-22,2.34,2.34,2.34,2.34,0.0,1.0,4255566.0
2018-05-23,2.27006,2.27006,2.27006,2.27006,1.0,120.0,4255566.0
2018-05-24,2.27006,2.27006,2.27006,2.27006,0.0,0.0,4255566.0
2018-05-25,2.27006,2.27006,2.27006,2.27006,0.0,0.0,4255566.0
2018-05-28,2.27006,2.27006,2.27006,2.27006,0.0,0.0,4255566.0
