Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME,SHROUT
2011-04-11,29.40875,29.40875,29.40875,29.40875,0.0,0.0,
2011-04-12,29.27,29.27,29.0175,29.27,1.0,1.0,
2011-04-13,29.208,29.185,29.18125,29.2075,2.0,8808.0,
2011-04-14,29.25,29.25,29.38,29.25,2.0,10002.0,
2011-04-15,29.67,29.67,29.7025,29.67,1.0,1200.0,
2011-04-18,29.82,29.71,29.87625,29.71,4.0,3779.0,
2011-04-19,29.85625,29.85625,29.85625,29.85625,0.0,1.0,
2011-04-20,30.09,30.09,30.09,30.09,0.0,1.0,
2011-04-21,30.185,30.12,30.09,30.185,2.0,1909.0,
2011-04-26,30.09,30.08,29.995,30.09,2.0,3940.0,
2011-04-27,30.16,30.1,30.125,30.16,2.0,2200.0,
2011-04-28,30.74,30.74,30.74,30.74,0.0,1.0,
2011-04-29,30.74,30.74,30.74,30.74,0.0,0.0,
2011-05-02,30.74,30.74,30.74,30.74,0.0,0.0,
2011-05-03,31.0,30.8,30.8,30.88,5.0,5253.0,350000.0
2011-05-04,30.73,30.62,30.44,30.73,3.0,3625.0,350000.0
2011-05-05,29.82,29.82,29.695,29.82,1.0,7000.0,350000.0
2011-05-06,29.93,29.67,29.895,29.72,3.0,6000.0,350000.0
2011-05-09,30.12,30.12,30.135,30.12,1.0,1500.0,350000.0
2011-05-10,30.33,30.33,30.275,30.33,1.0,1200.0,350000.0
2011-05-11,30.175,30.175,30.175,30.175,0.0,1.0,350000.0
2011-05-12,29.87,29.636,29.875,29.87,6.0,24277.0,350000.0
2011-05-13,30.22,30.1,30.03,30.22,3.0,9255.0,350000.0
2011-05-16,30.06,30.06,29.97,30.06,1.0,1750.0,350000.0
2011-05-17,29.64,29.64,29.505,29.64,1.0,6050.0,350000.0
2011-05-18,29.915,29.915,29.915,29.915,0.0,1.0,350000.0
2011-05-19,29.775,29.775,29.775,29.775,0.0,1.0,350000.0
2011-05-20,29.94,29.94,29.94,29.94,1.0,500.0,350000.0
2011-05-23,30.22,30.14,30.195,30.2,3.0,4704.0,350000.0
2011-05-24,30.48,30.48,30.48,30.48,0.0,1.0,350000.0
2011-05-25,30.58,30.5,30.585,30.5,2.0,3350.0,350000.0
2011-05-26,30.53,30.39,30.405,30.53,2.0,2150.0,350000.0
2011-05-27,30.65,30.61,30.675,30.65,3.0,5500.0,350000.0
2011-05-30,30.675,30.675,30.675,30.675,0.0,0.0,350000.0
2011-05-31,30.8,30.8,30.74,30.8,1.0,485.0,350000.0
2011-06-01,31.01,31.01,30.99,31.01,1.0,1509.0,350000.0
2011-06-02,30.86,30.75,30.415,30.86,3.0,2555.0,350000.0
2011-06-03,30.8,30.8,30.725,30.8,1.0,991.0,350000.0
2011-06-06,30.92,30.9,31.03,30.92,2.0,775.0,350000.0
2011-06-07,30.755,30.755,30.755,30.755,0.0,1.0,350000.0
2011-06-08,30.7,30.7,30.73,30.7,1.0,330.0,350000.0
2011-06-09,30.82,30.77,30.87,30.77,2.0,2310.0,350000.0
2011-06-10,30.92,30.89,30.67,30.89,2.0,4100.0,350000.0
2011-06-13,30.66,30.57,30.5,30.66,2.0,11615.0,350000.0
2011-06-14,30.45,30.33,30.395,30.33,2.0,9350.0,350000.0
2011-06-15,30.4,30.4,30.59,30.4,1.0,5600.0,350000.0
2011-06-16,30.57,30.57,30.575,30.57,1.0,5700.0,350000.0
2011-06-17,30.8,30.48,30.79,30.51,6.0,23850.0,350000.0
2011-06-20,30.78,30.78,30.765,30.78,1.0,1800.0,350000.0
2011-06-21,30.94,30.94,30.94,30.94,0.0,1.0,378000.0
2011-06-22,31.18,30.91,31.175,30.91,2.0,5450.0,378000.0
2011-06-23,30.82,30.6,30.6,30.8,6.0,12564.0,378000.0
2011-06-24,30.35,30.35,30.155,30.35,1.0,2150.0,378000.0
2011-06-27,29.95,29.8,29.96,29.8,2.0,7000.0,378000.0
2011-06-28,30.08,30.08,30.03,30.08,1.0,1505.0,378000.0
2011-06-29,30.03,30.03,30.03,30.03,0.0,0.0,378000.0
2011-06-30,30.13,30.13,30.13,30.13,0.0,1.0,378000.0
2011-07-01,29.84,29.84,29.715,29.84,1.0,700.0,378000.0
2011-07-04,29.88,29.88,29.88,29.88,0.0,1.0,378000.0
2011-07-05,30.18,30.18,30.16,30.18,1.0,827.0,378000.0
2011-07-06,30.16,30.16,30.16,30.16,0.0,0.0,378000.0
2011-07-07,30.53,30.53,30.53,30.53,1.0,1000.0,378000.0
2011-07-08,30.82,30.82,30.82,30.82,0.0,1.0,378000.0
2011-07-11,30.94,30.94,30.87,30.94,1.0,274.0,378000.0
2011-07-12,30.94,30.92,31.03,30.94,3.0,1475.0,378000.0
2011-07-13,31.71,31.71,31.71,31.71,0.0,1.0,378000.0
2011-07-14,31.79,31.69,31.69,31.69,2.0,4844.0,378000.0
2011-07-15,31.76,31.76,31.76,31.76,1.0,1186.0,378000.0
2011-07-18,32.12,31.95,32.11,32.0,11.0,11025.0,378000.0
2011-07-19,32.2,32.0,32.055,32.17,4.0,6275.0,378000.0
2011-07-20,31.83,31.75,31.875,31.83,3.0,4180.0,378000.0
2011-07-21,32.0,31.95,31.98,32.0,2.0,10700.0,378000.0
2011-07-22,32.075,32.075,32.075,32.075,0.0,1.0,378000.0
2011-07-23,32.075,32.075,32.075,32.075,0.0,0.0,378000.0
2011-07-25,32.34,32.25,32.295,32.34,4.0,123300.0,378000.0
2011-07-26,32.21,32.18,32.26,32.21,4.0,12520.0,478062.0
2011-07-27,32.37,32.33,32.3,32.37,2.0,2700.0,478062.0
2011-07-28,32.2,32.13,32.095,32.13,2.0,18454.0,581962.0
2011-07-29,32.56,32.31,32.52,32.31,3.0,17000.0,581962.0
2011-08-01,32.41,32.24,32.565,32.24,6.0,185379.0,581962.0
2011-08-02,32.7,32.55,32.74,32.55,2.0,2400.0,581962.0
2011-08-03,33.41,33.41,33.325,33.41,1.0,2855.0,581962.0
2011-08-04,33.61,33.28,33.52,33.28,9.0,45442.0,682042.0
2011-08-05,33.35,33.14,33.2,33.18,8.0,25274.0,682042.0
2011-08-08,34.2,34.0,34.175,34.18,7.0,8102.0,764042.0
2011-08-09,35.2,34.52,34.605,34.77,11.0,51633.0,764042.0
2011-08-10,35.63,35.12,35.55,35.12,6.0,115465.0,764042.0
2011-08-11,35.75,35.0,35.095,35.75,6.0,29590.0,764042.0
2011-08-12,35.21,34.9,34.59,35.21,5.0,8931.0,764042.0
2011-08-15,34.75,34.69,34.88,34.69,2.0,3400.0,964215.0
