,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,herf,hire,invest,lev,lgr,mve_ia,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,quick,rd_mve,rd_sale,roic,salecash,saleinv,salerec,sgr,sp
0003q.L^J08,0.0127497401547522,-0.0127497401547522,24.0,,0.0,,0.2449814707981726,-3.017141985664169,0.0,0.0,0.0845919407248477,,,0.0695230396119642,,3.274626920872087,0.0452999104744852,1.0,,0.0,,0.0,0.1298013627439653,,3.035094167082864e-08,,,0.0,,0.0,,,,,,,,,,-0.1539570017431728,2.940658690385929,0.0,0.0004451947352268,0.1408273547201396,0.9419094097910582,6.839534883720937,5.62409506897963,,0.0
0008q.L^H00,0.0,-0.0,0.0,,,,0.0,-0.0,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,-0.0,0.0,,,,0.0,0.0,0.0,,
0010q.L^J08,0.00824820625076,-0.00824820625076,13.0,,0.0,,0.1332747274827949,-9.263185215946844,0.0,0.0,0.0169324661392555,,,0.1563500749929062,,3.2361908177905354,0.0019753086419753,1.0,,0.0,,0.0,0.0386679638412583,,3.462374397543664e-09,,,0.0,,0.0,,,,,,,,,,-0.3085408847947234,1.8527618364418967,,,-0.0031758813709123,0.4875415282392034,0.6087632875291681,6.718168812589421,,0.0
0011q.L^J08,,,13.0,,,,0.0205350281897481,,,,,,,,,,0.0480750439710768,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0012q.L^J08,0.091006301535928,0.091006301535928,14.0,,0.0,,0.3085022478113417,-9.006191168109149,0.0,0.0,0.0274501561058978,,,0.4302885440135407,,7.221082621082618,0.0863704443334997,1.0,,0.0,,0.0,0.0351616555541578,,1.9266228210291416e-08,,,0.0,,0.0,,,,,,,,,,1.0285658889678797,2.933447293447298,,,-6.343781649236312e-05,0.8523595931518093,0.3586008930469918,2.660094637223976,,0.0
0013q.L^J08,0.0051468090233035,-0.0051468090233035,13.0,,0.0,,0.0998723573992822,-7.343713996438922,0.0,0.0,0.1253891274542119,,,0.0554580270914619,,1.2111243020645894,0.1435877307412585,1.0,,0.0,,0.0,0.2369208343248308,,1.103022108496656e-05,,,0.0,,0.0,,,,,,,,,,-0.2711931235706917,1.039279155614089,,,,4.110568027092133,12.709304835923962,4.321807436772744,,0.0
0016q.L^J08,0.0037925858980359,0.0037925858980359,25.0,,0.0,,0.1402859038542735,-30.92441395082903,0.0,0.0,0.0393150533619772,,,0.4412116908477643,,3.848513782796412,0.0589024615954099,1.0,,0.0,,0.0,0.053402837177025,,1.8400649120471348e-07,,,0.0,,0.0,,,,,,,,,,0.1134607956740048,1.0111258718033873,,,0.0442256497556009,3.9146941109205207,0.5008851888158946,2.415437804275736,,0.0
0017q.L^J08,0.0754879869689157,0.0754879869689157,24.0,,0.0,,0.1503497391775627,-9.769969467868531,-0.0,-0.0,0.0630228966988524,,,0.2988160415064176,,1.8048987059743544,0.0257416359648188,1.0,,0.0,,0.0,0.0513762574845783,,9.12388504149904e-08,,,0.0,,0.0,,,,,,,,,,1.2918735868341988,1.074061942071327,,,,2.134399534748471,1.185552482283824,3.033830002686554,,0.0
0018q.L^F97,0.120829668630747,0.120829668630747,12.0,,,,2.0241430366116253,-1.972537208705736,,,0.194547212728246,,,0.0530401838395131,,12.245957750480663,0.0671669892778574,1.0,,,,,0.3214677108815132,,5.56063455847963e-10,,,,,0.0,,,,,,,,,,0.9523306980514356,11.72116242343344,,,,1.0798896581923132,20.61798997758809,6.59100495878415,,
0020q.L^J08,0.0083398080784638,0.0083398080784638,13.0,,0.0,,0.0774749614791993,-6.8712871287128445,0.0,0.0,0.0405385771329467,,,0.2499621605804069,,2.985073742818223,0.010673624288425,1.0,,0.0,,0.0,0.0634642745426476,,1.0144877548009705e-07,,,0.0,,0.0,,,,,,,,,,0.4816433566433555,1.5177989693774816,,,0.0947481293321961,0.9849958564138342,0.9116341030195378,8.407669396872658,,0.0
0023q.L^J08,,,13.0,,,,0.0012516364035442,,,,,,,,,,0.0481084627159413,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0041q.L^J08,0.0292526498769414,-0.0292526498769414,13.0,,0.0,,0.0669792738424548,-6.258810267980396,0.0,0.0,0.0692617220527047,,,0.0091070695348362,,1.4340151057051884,0.04464587381479,1.0,,0.0,,0.0,0.0764847547557637,,4.489003403205408e-09,,,0.0,,0.0,,,,,,,,,,-9.96027626622018,1.395017244059859,,,0.0621722742008856,1.3733754810351224,42.750476961843006,13.058317252450644,,0.0
0054q.L^J08,0.0701837574476869,0.0701837574476869,26.0,,0.0,,0.9640047732909628,-4.496473154171291,0.0,0.0,0.0131570480450554,,,0.0012894418528202,,10.26182131260968,0.0520329474060221,1.0,,0.0,,0.0,0.0173835397403195,,1.214334076811553e-10,,,0.0,,0.0,,,,,,,,,,0.993030911127756,10.235098200856424,,,0.1429260719906604,0.1666281728723148,57.3565512293743,30.210161107485085,,0.0
0066q.L^J08,,,13.0,,,,0.1480507001611578,,,,0.0393629233090587,,,0.0086608342015087,,,0.00808767306142,1.0,,,,,0.0651194316484453,,6.181439513377831e-08,,,,,,,,,,,,,,,,,,,0.073567946331643,25.58490566037737,25.54782608695653,2.3146008403361327,,
0083q.L^J08,0.0164104047647296,-0.0164104047647296,26.0,,0.0,,0.1304813573950623,-9.2480466483331,0.0,0.0,0.0386731862250035,,,0.4763553764903092,,2.345021539112783,0.0389627033087678,1.0,,0.0,,0.0,0.0558570296309018,,1.4750511472048312e-08,,,0.0,,0.0,,,,,,,,,,-0.3922594575148951,0.7974264469162776,,,0.0599582003486967,1.1338053138445874,0.4563575236804559,4.794064020005576,,0.0
0101q.L^J08,0.0100999842011419,0.0100999842011419,13.0,,0.0,,0.3085344057193909,-9.36804389206136,0.0,0.0,0.016753597471841,,,0.1734037511002775,,3.968800183528345,0.1024193548387096,1.0,,0.0,,0.0,0.0388674475816462,,2.7335772957273263e-09,,,0.0,,0.0,,,,,,,,,,0.2166912815049732,2.206239963294345,,,,0.4672041204792293,0.5430951451256019,6.082507288629734,,0.0
0191q.L^H97,0.0132659380851054,0.0132659380851054,11.0,,,,0.1154538196928231,-200.1145396369547,,,0.0013056026665007,,,0.0390136416088143,,1.3626390537747857,0.0054294068018502,,,,,,0.0031412575600299,,2.183735822504721e-14,,,,,0.0,,,,,,,,,,1.1290695897111165,-0.3323017962180703,,,0.0211676106466073,0.7974903325378698,0.1855217553505449,0.26953602984772,,
0267q.L^J08,,,21.0,,,,-0.1394135398006664,,,,,,,,,,0.0321090117134616,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0291q.L^J08,0.0369495554583919,-0.0369495554583919,16.0,,0.0,,0.1120795641659213,-8.013861645089573,0.0,0.0,0.2954624779282777,,,0.329501696322487,,0.9792228390166566,0.0839797672987578,1.0,,0.0,,0.0,0.2028597353485473,,6.694232708028367e-07,,,0.0,,0.0,,,,,,,,,,-1.379945799458003,0.5228786677240317,,,0.0855319301428132,7.586081648779825,5.040469751344113,15.221927674683648,,0.0
0293q.L^J08,0.0913721467934562,-0.0913721467934562,24.0,,0.0,,-0.0447600905174067,-5.237340933191946,0.0,0.0,0.2677099048783335,,,0.0166889765832796,,0.8149900778507119,0.0786656369720922,1.0,,0.0,,0.0,-0.0190793247918223,,1.4905554570302286e-06,,,0.0,,0.0,,,,,,,,,,-1.2088316467341302,0.7856815753320123,,,-0.0863239129936246,5.737208377518539,90.16979166666673,10.577101661779077,,0.0
0325q.L^E05,0.0,-0.0,0.0,,0.0,,0.0,-0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,-0.0,0.0,,,-0.0,0.0,0.0,0.0,,0.0
0330q.L^J08,0.0267634960134074,-0.0267634960134074,13.0,,0.0,,1.045248012116622,-3.909656934367933,0.0,0.0,0.6231120099802107,,,0.3044030267634961,,2.3514325786415573,0.1764438381082311,1.0,,0.0,,0.0,0.912193387842166,,1.867146143175029e-07,,,0.0,,0.0,,,,,,,,,,-0.1110642781875672,1.750951713083552,,,,7.125000000000004,11.506506506506524,10.196629213483153,,0.0
0363q.L^J08,0.0620958047614502,-0.0620958047614502,13.0,,0.0,,0.105439525791653,-5.098961638034783,0.0,0.0,0.051268996119922,,,0.5550732665866724,,2.4043899976936003,0.1271083186165834,1.0,,0.0,,0.0,0.0473123738213202,,1.1046926671268465e-08,,,0.0,,0.0,,,,,,,,,,-2.13036809815951,1.186425341900703,,,0.1088717134186625,0.8280876667125221,0.5191953978142805,1.7954318323747511,,0.0
0504q.L^D05,,,0.0,,,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,-0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,
0511q.L^A98,0.040797822367896,-0.040797822367896,24.0,,0.0,,1.2083677394144376,-3.0788611121195126,0.0,0.0,0.2325882625349102,,,0.0038421821886139,,5.342892552838325,0.122103585561322,1.0,,0.0,,0.0,0.3533459349314936,,3.86393271787877e-09,,,0.0,,0.0,,,,,,,,,,-0.2606334592949434,5.323782966323626,,,0.2812371112360942,2.1052162964123493,340.2798023471284,4.016008251976887,,0.0
0525q.L^J08,0.0147736719799772,-0.0147736719799772,15.0,,0.0,,0.3754182222458286,-15.83407896179954,0.0,0.0,0.1473611812643076,,,0.0143097048362498,,0.7763693952887721,0.0477204275971677,1.0,,0.0,,0.0,0.2077108688856651,,3.506854356016216e-08,,,0.0,,0.0,,,,,,,,,,-0.3406013581901854,0.703082734083197,,,0.0636092894074821,7.4533015102165185,57.88669443302662,34.590006510416835,,0.0
0557q.L^A01,0.1721186403486561,-0.1721186403486561,18.0,,,,-1.9585592071827864,,,,0.0453655440451734,,,0.0044684860128928,,11.396832119261394,0.45914345769837,0.0,,,,,0.1045091029393396,,1.1350787748956017e-12,,,,,,,,,,,,,,,-1.0623528431229554,10.19839259618862,,,0.7607877422181617,0.1514384234478058,1.3347266684221075,3.289882844823826,,
0728q.L^J08,0.1723043941344926,-0.1723043941344926,10.0,,0.0,,0.2425450309802517,-14.19145172133178,0.0,0.0,0.1507179042392259,,,0.0116320000363358,,0.3139261270433843,0.1722649580847515,1.0,,0.0,,0.0,0.3173024297299564,,8.930615113661156e-06,,,0.0,,0.0,,,,,,,,,,-85.82805429864257,0.299440013575428,,,0.0709369734012031,6.599759402752715,72.83443967200301,8.068212292919243,,0.0
0762q.L^J08,0.1609682525118136,-0.1609682525118136,13.0,,0.0,,0.352561602552738,-32.15800455235209,0.0,0.0,0.1630969284723195,,,0.0062623296783961,,0.2980700835593641,0.1680077346401885,1.0,,0.0,,0.0,0.3610990044501537,,6.560037158757756e-06,,,0.0,,0.0,,,,,,,,,,-31.9147242751564,0.289534365644518,,,0.0610852672682782,15.16189301972688,146.398351648351,15.064738032416122,,0.0
0857q.L^J08,0.0484954879267034,-0.0484954879267034,13.0,,0.0,,0.6005023034199694,-24.290787990144967,0.0,0.0,0.3190263616913985,,,0.1516173661529711,,0.8467726453128345,0.105238198892966,1.0,,0.0,,0.0,0.4261311531597058,,0.0002953027377752,,,0.0,,0.0,,,,,,,,,,-0.5068630791678684,0.5054037063666231,0.0,0.0203980220099869,0.1495076015024704,22.3953731156304,11.827799525831209,12.490294032023314,,0.0
0883q.L^J08,0.0549825093760794,-0.0549825093760794,14.0,,0.0,,1.1723322837397672,-3.65699388457631,0.0,0.0,0.2168806844629205,,,0.0259774984942832,,3.39217281249038,0.0726929784599002,1.0,,0.0,,0.0,0.4515043798486425,,4.07355708362325e-06,,,0.0,,0.0,,,,,,,,,,-0.256070218775538,3.249381318173296,0.0,0.0270647472258154,0.3793111192079983,2.38945305595452,46.92992699968575,22.36290974519814,,0.0
0941q.L^J08,0.1230508469427892,-0.1230508469427892,14.0,,0.0,,0.8464660936007636,-2.862993049542059,0.0,0.0,0.2225322303255254,,,0.0106131735180969,,1.3084076509460156,0.1974123573699643,1.0,,0.0,,0.0,0.5876201917600582,,4.352937441640628e-05,,,0.0,,0.0,,,,,,,,,,-0.7193656938389555,1.2893728991768298,,,0.3312395811268816,1.886795046252388,117.86204922724671,38.2154788418708,,0.0
0A0M.L^E21,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A19.L^D23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A1G.L^E09,,,12.0,,,,0.0154650729911385,,,,,,,,,,0.1416185245016311,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A3K.L^H22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A3Y.L^C19,0.3675507355309788,-0.3675507355309788,9.0,,,,-2.865647626709579,,,,0.1161415571623571,,,0.0223343713089229,,6.67631578947369,0.1300448430493273,,,,,,0.0923440352195857,,5.5236801082263344e-14,,,,,,,,,,,,,,,-0.909163346613546,6.585087719298251,,,,0.4617253948967211,29.23076923076933,3.4350282485875816,,
0A5Y.L^F22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A94.L^H21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A9Y.L^E23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
