datadate,xadq,obq,dmq,drcq,drltq,gdwliaq,scstkcq,niq,pstkqq,txfedq,txtq,pstkq,dcvtq,dcpstkq
2004-03-31,,,,67753078.9019924,,12611437.6675519,,192460.309868727,,,,,,
2004-09-13,,,,67753078.9019924,,12611437.6675519,,192460.309868727,,,,,,
2004-09-30,,,,67753078.9019924,,12611437.6675519,,192460.309868727,,,,,,
2005-04-12,,,,80670802.9746329,,12642866.4804697,,855861.775831447,,,,,,
2005-04-27,,,,80670802.9746329,,12642866.4804697,,855861.775831447,,,,,,
2005-08-15,,,,80670802.9746329,,12642866.4804697,,855861.775831447,,,,,,
2005-11-15,,,,80670802.9746329,,12642866.4804697,,855861.775831447,,,,,,
2006-03-31,,,181160548.692265,112252521.910039,,12642866.4804697,,82319937.7923016,,,,,,
2006-05-15,,,181160548.692265,112252521.910039,,12642866.4804697,,82319937.7923016,,,,,,
2006-09-13,,,181160548.692265,112252521.910039,,12642866.4804697,,82319937.7923016,,,,,,
2006-11-14,,,181160548.692265,112252521.910039,,12642866.4804697,,82319937.7923016,,,,,,
2007-03-30,,,161923246.776897,88581933.2022539,,12642866.4804697,,-5862346.81516475,,,,,,
2007-05-15,,,161923246.776897,88581933.2022539,,12642866.4804697,,-5862346.81516475,,,,,,
2007-09-13,,,161923246.776897,88581933.2022539,,12642866.4804697,,-5862346.81516475,,,,,,
2007-11-14,,,161923246.776897,88581933.2022539,,12642866.4804697,,-5862346.81516475,,,,,,
2008-05-07,,,159500922.970311,96811677.3652345,,12642866.4804697,,-67378222.4086367,,21725568.0210081,-6694967.97724123,,,
2008-05-16,,,159500922.970311,96811677.3652345,,12642866.4804697,,-67378222.4086367,,21725568.0210081,-6694967.97724123,,,
2008-09-01,,,159500922.970311,96811677.3652345,,12642866.4804697,,-67378222.4086367,,21725568.0210081,-6694967.97724123,,,
2008-11-14,,,159500922.970311,96811677.3652345,,12642866.4804697,,-67378222.4086367,,21725568.0210081,-6694967.97724123,,,
2009-04-16,,,203870603.332355,128920635.132302,,12642866.4804697,,-204266258.886513,,4149604.86993472,-40979020.547658,,,
2009-05-15,,,203870603.332355,128920635.132302,,12642866.4804697,,-204266258.886513,,4149604.86993472,-40979020.547658,,,
2009-09-04,,,203870603.332355,128920635.132302,,12642866.4804697,,-204266258.886513,,4149604.86993472,-40979020.547658,,,
2009-11-14,,,203870603.332355,128920635.132302,,12642866.4804697,,-204266258.886513,,4149604.86993472,-40979020.547658,,,
2010-03-29,,,30959975.9491496,118627177.919029,,12642866.4804697,84101952.6999943,-226568356.410697,,7890872.35870125,25886386.0734124,,,
2010-05-17,,,30959975.9491496,118627177.919029,,12642866.4804697,84101952.6999943,-226568356.410697,,7890872.35870125,25886386.0734124,,,
2010-09-07,,,30959975.9491496,118627177.919029,,12642866.4804697,84101952.6999943,-226568356.410697,,7890872.35870125,25886386.0734124,,,
2010-11-11,,,30959975.9491496,118627177.919029,,12642866.4804697,84101952.6999943,-226568356.410697,,7890872.35870125,25886386.0734124,,,
2011-03-23,,,8933216.76142064,2510082.12159722,,12642866.4804697,84101952.6999943,-71334527.2021938,,3395943.01384523,-3941352.04334158,,,
2011-05-12,,,8933216.76142064,2510082.12159722,,12642866.4804697,84101952.6999943,-71334527.2021938,,3395943.01384523,-3941352.04334158,,,
2011-07-28,,,8933216.76142064,2510082.12159722,,12642866.4804697,84101952.6999943,-71334527.2021938,,3395943.01384523,-3941352.04334158,,,
2011-11-10,,,8933216.76142064,2510082.12159722,,12642866.4804697,84101952.6999943,-71334527.2021938,,3395943.01384523,-3941352.04334158,,,
2012-03-15,,,7979504.15533981,1924047.10679612,,12642866.4804697,28334905.9417476,-62935255.8834952,,1604900.27184466,-82494.8737864078,,,
2012-05-15,,,7979504.15533981,1924047.10679612,,12642866.4804697,28334905.9417476,-62935255.8834952,,1604900.27184466,-82494.8737864078,,,
2012-07-26,,,7979504.15533981,1924047.10679612,,12642866.4804697,28334905.9417476,-62935255.8834952,,1604900.27184466,-82494.8737864078,,,
2012-11-14,,,7979504.15533981,1924047.10679612,,12642866.4804697,28334905.9417476,-62935255.8834952,,1604900.27184466,-82494.8737864078,,,
2013-03-14,,,6892972.21342622,1874661.11199071,,12642866.4804697,28334905.9417476,-91905484.2859405,,1484952.43561326,3821580.70772641,,,
2013-05-14,,,6892972.21342622,1874661.11199071,,12642866.4804697,28334905.9417476,-91905484.2859405,,1484952.43561326,3821580.70772641,,,
2013-08-06,,,6892972.21342622,1874661.11199071,,12642866.4804697,28334905.9417476,-91905484.2859405,,1484952.43561326,3821580.70772641,,,
2013-11-18,,,6892972.21342622,1874661.11199071,,12642866.4804697,28334905.9417476,-91905484.2859405,,1484952.43561326,3821580.70772641,,,
2014-04-29,,,6111165.86029634,1958462.20139099,,12642866.4804697,28334905.9417476,-60520550.0453583,,2682404.14272755,3616388.87208951,,,
2014-05-14,,,6111165.86029634,1958462.20139099,,12642866.4804697,28334905.9417476,-60520550.0453583,,2682404.14272755,3616388.87208951,,,
2014-08-07,,,6111165.86029634,1958462.20139099,,12642866.4804697,28334905.9417476,-60520550.0453583,,2682404.14272755,3616388.87208951,,,
2014-11-14,,,6111165.86029634,1958462.20139099,,12642866.4804697,28334905.9417476,-60520550.0453583,,2682404.14272755,3616388.87208951,,,
2015-03-13,,,4805271.92886953,1793626.39569346,,12642866.4804697,28334905.9417476,159440103.332728,,1972289.91713543,1234331.89378818,,,
2015-06-26,,,4805271.92886953,1793626.39569346,,12642866.4804697,28334905.9417476,159440103.332728,,1972289.91713543,1234331.89378818,,,
2015-08-05,,,4805271.92886953,1793626.39569346,,12642866.4804697,28334905.9417476,159440103.332728,,1972289.91713543,1234331.89378818,,,
2015-11-03,,,4805271.92886953,1793626.39569346,,12642866.4804697,28334905.9417476,159440103.332728,,1972289.91713543,1234331.89378818,,,
2016-02-02,,,3657100.55277419,1701439.68896949,,12642866.4804697,28334905.9417476,-35638124.3470423,,1972289.91713543,3002757.3549375,,,
2016-05-05,,,3657100.55277419,1701439.68896949,,12642866.4804697,28334905.9417476,-35638124.3470423,,1972289.91713543,3002757.3549375,,,
2016-08-04,,,3657100.55277419,1701439.68896949,,12642866.4804697,28334905.9417476,-35638124.3470423,,1972289.91713543,3002757.3549375,,,
2016-10-28,,,3657100.55277419,1701439.68896949,,12642866.4804697,28334905.9417476,-35638124.3470423,,1972289.91713543,3002757.3549375,,,
2017-02-01,,,3144724.13793103,1701439.68896949,,12642866.4804697,28334905.9417476,-55780077.039529,,1972289.91713543,23079207.1488646,,,
