datadate,xadq,obq,dmq,drcq,drltq,gdwliaq,scstkcq,niq,pstkqq,txfedq,txtq,pstkq,dcvtq,dcpstkq
2004-03-31,,,,12643161.8944533,,204238457.843002,,-1424065.29646458,,,,,,
2004-06-30,,,,12643161.8944533,,204238457.843002,,-1424065.29646458,,,,,,
2004-09-30,,,,12643161.8944533,,204238457.843002,,-1424065.29646458,,,,,,
2004-12-31,,,,12643161.8944533,3392350.55655734,78730802.5001017,7774136.69211058,4664482.01526635,,,7420766.84246919,,,
2005-03-31,,,,12643161.8944533,3392350.55655734,78730802.5001017,7774136.69211058,4664482.01526635,,,7420766.84246919,,,
2005-07-29,,,,12643161.8944533,3392350.55655734,78730802.5001017,7774136.69211058,4664482.01526635,,,7420766.84246919,,,
2005-11-10,,,,12643161.8944533,3392350.55655734,78730802.5001017,7774136.69211058,4664482.01526635,,,7420766.84246919,,,
2006-03-14,,,,52076408.6716632,3577243.39620408,82001425.543755,15272077.576102,14033801.0158775,,,8392763.35263264,,,
2006-05-11,,,,52076408.6716632,3577243.39620408,82001425.543755,15272077.576102,14033801.0158775,,,8392763.35263264,,,
2006-07-27,,,,52076408.6716632,3577243.39620408,82001425.543755,15272077.576102,14033801.0158775,,,8392763.35263264,,,
2006-11-09,,,,52076408.6716632,3577243.39620408,82001425.543755,15272077.576102,14033801.0158775,,,8392763.35263264,,,
2007-02-15,,,1279988.38759056,53759512.2788034,3503126.11340573,75115108.0086037,-404206.859239123,31595502.8305248,,,14753550.362228,,,
2007-05-15,,,1279988.38759056,53759512.2788034,3503126.11340573,75115108.0086037,-404206.859239123,31595502.8305248,,,14753550.362228,,,
2007-07-25,,,1279988.38759056,53759512.2788034,3503126.11340573,75115108.0086037,-404206.859239123,31595502.8305248,,,14753550.362228,,,
2007-11-09,,,1279988.38759056,53759512.2788034,3503126.11340573,75115108.0086037,-404206.859239123,31595502.8305248,,,14753550.362228,,,
2008-02-07,,,1249609.74542272,14186745.9333285,2572725.94645853,76079181.5595594,-73506.4556131009,39546473.1198483,,,8306229.4842804,,,
2008-05-06,,,1249609.74542272,14186745.9333285,2572725.94645853,76079181.5595594,-73506.4556131009,39546473.1198483,,,8306229.4842804,,,
2008-07-24,,,1249609.74542272,14186745.9333285,2572725.94645853,76079181.5595594,-73506.4556131009,39546473.1198483,,,8306229.4842804,,,
2008-11-14,,,1249609.74542272,14186745.9333285,2572725.94645853,76079181.5595594,-73506.4556131009,39546473.1198483,,,8306229.4842804,,,
2009-04-06,,,1433534.61651361,19687208.7334535,2572725.94645853,102545509.56794,668982.821039684,33544710.0264184,,,6498690.26152836,,,
2009-04-29,,,1433534.61651361,19687208.7334535,2572725.94645853,102545509.56794,668982.821039684,33544710.0264184,,,6498690.26152836,,,
2009-07-29,,,1433534.61651361,19687208.7334535,2572725.94645853,102545509.56794,668982.821039684,33544710.0264184,,,6498690.26152836,,,
2009-11-02,,,1433534.61651361,19687208.7334535,2572725.94645853,102545509.56794,668982.821039684,33544710.0264184,,,6498690.26152836,,,
2010-02-19,,,1152081.54383554,20914711.1034759,2572725.94645853,92875496.764588,107852556.83445,25257172.3071637,,,11077707.1522648,,,
2010-04-29,,,1152081.54383554,20914711.1034759,2572725.94645853,92875496.764588,107852556.83445,25257172.3071637,,,11077707.1522648,,,
2010-07-28,,,1152081.54383554,20914711.1034759,2572725.94645853,92875496.764588,107852556.83445,25257172.3071637,,,11077707.1522648,,,
2010-11-03,,,1152081.54383554,20914711.1034759,2572725.94645853,92875496.764588,107852556.83445,25257172.3071637,,,11077707.1522648,,,
2011-02-16,,,943317.503845897,18780593.9402047,2572725.94645853,94589018.7947295,257268.41013979,31215233.7636278,,,11077707.1522648,,,
2011-04-28,,,943317.503845897,18780593.9402047,2572725.94645853,94589018.7947295,257268.41013979,31215233.7636278,,,11077707.1522648,,,
2011-07-27,,,943317.503845897,18780593.9402047,2572725.94645853,94589018.7947295,257268.41013979,31215233.7636278,,,11077707.1522648,,,
2011-10-27,,,943317.503845897,18780593.9402047,2572725.94645853,94589018.7947295,257268.41013979,31215233.7636278,,,11077707.1522648,,,
2012-02-16,,,583297.087378641,18165537.8640777,2572725.94645853,93910831.0679612,916609.708737864,62329460.1941748,,,16498974.7572816,,,
2012-04-26,,,583297.087378641,18165537.8640777,2572725.94645853,93910831.0679612,916609.708737864,62329460.1941748,,,16498974.7572816,,,
2012-07-25,,,583297.087378641,18165537.8640777,2572725.94645853,93910831.0679612,916609.708737864,62329460.1941748,,,16498974.7572816,,,
2012-10-25,,,583297.087378641,18165537.8640777,2572725.94645853,93910831.0679612,916609.708737864,62329460.1941748,,,16498974.7572816,,,
2013-02-18,,,405946.537893181,17130943.8990923,2572725.94645853,90201320.7198649,-162378.615157272,28010311.1146295,,,12584342.6746886,,,
2013-04-25,,,405946.537893181,17130943.8990923,2572725.94645853,90201320.7198649,-162378.615157272,28010311.1146295,,,12584342.6746886,,,
2013-07-24,,,405946.537893181,17130943.8990923,2572725.94645853,90201320.7198649,-162378.615157272,28010311.1146295,,,12584342.6746886,,,
2013-10-24,,,405946.537893181,17130943.8990923,2572725.94645853,90201320.7198649,-162378.615157272,28010311.1146295,,,12584342.6746886,,,
2014-02-18,,,415104.324160871,17268339.8850922,2572725.94645853,89496492.2890838,1826459.02630783,30302615.6637436,,,8634169.94254612,,,
2014-04-24,,,415104.324160871,17268339.8850922,2572725.94645853,89496492.2890838,1826459.02630783,30302615.6637436,,,8634169.94254612,,,
2014-07-24,,,415104.324160871,17268339.8850922,2572725.94645853,89496492.2890838,1826459.02630783,30302615.6637436,,,8634169.94254612,,,
2014-10-23,,,415104.324160871,17268339.8850922,2572725.94645853,89496492.2890838,1826459.02630783,30302615.6637436,,,8634169.94254612,,,
2015-02-18,,,155359.583862578,18177071.3119216,2572725.94645853,91429115.1031271,5204546.05939636,37286300.1270187,,,12040367.7493498,,,
2015-04-23,,,155359.583862578,18177071.3119216,2572725.94645853,91429115.1031271,5204546.05939636,37286300.1270187,,,12040367.7493498,,,
2015-07-24,,,155359.583862578,18177071.3119216,2572725.94645853,91429115.1031271,5204546.05939636,37286300.1270187,,,12040367.7493498,,,
2015-10-22,,,155359.583862578,18177071.3119216,2572725.94645853,91429115.1031271,5204546.05939636,37286300.1270187,,,12040367.7493498,,,
2016-02-18,,,155359.583862578,11789967.528589,2572725.94645853,93730241.8522822,-15842768.8665414,10168846.993408,,,7737166.19063651,,,
2016-04-21,,,155359.583862578,11789967.528589,2572725.94645853,93730241.8522822,-15842768.8665414,10168846.993408,,,7737166.19063651,,,
2016-07-27,,,155359.583862578,11789967.528589,2572725.94645853,93730241.8522822,-15842768.8665414,10168846.993408,,,7737166.19063651,,,
