datadate,xadq,obq,dmq,drcq,drltq,gdwliaq,scstkcq,niq,pstkqq,txfedq,txtq,pstkq,dcvtq,dcpstkq
2008-05-28,,,24978228.6818878,391054.343861697,1210651.32394777,,,15223186.9574732,,,4531672.98854767,,,
2008-09-01,,,24978228.6818878,391054.343861697,1210651.32394777,,,15223186.9574732,,,4531672.98854767,,,
2008-09-30,,,24978228.6818878,391054.343861697,1210651.32394777,,,15223186.9574732,,,4531672.98854767,,,
2009-03-31,,,26873995.6109084,524673.66964398,776975.762150375,12570187.2073357,-89834.8359681861,-4942827.35773892,,,-973847.849484911,,,
2009-05-15,,,26873995.6109084,524673.66964398,776975.762150375,12570187.2073357,-89834.8359681861,-4942827.35773892,,,-973847.849484911,,,
2009-08-31,,,26873995.6109084,524673.66964398,776975.762150375,12570187.2073357,-89834.8359681861,-4942827.35773892,,,-973847.849484911,,,
2009-09-30,,,26873995.6109084,524673.66964398,776975.762150375,12570187.2073357,-89834.8359681861,-4942827.35773892,,,-973847.849484911,,,
2010-03-31,,,33051447.0594972,1397563.53432973,8133695.6994789,11656406.5738991,-89834.8359681861,-13682297.6579053,,,-2982118.76538968,,,
2010-05-21,,,33051447.0594972,1397563.53432973,8133695.6994789,11656406.5738991,-89834.8359681861,-13682297.6579053,,,-2982118.76538968,,,
2010-08-31,,,33051447.0594972,1397563.53432973,8133695.6994789,11656406.5738991,-89834.8359681861,-13682297.6579053,,,-2982118.76538968,,,
2010-09-30,,,33051447.0594972,1397563.53432973,8133695.6994789,11656406.5738991,-89834.8359681861,-13682297.6579053,,,-2982118.76538968,,,
2010-12-30,,,33051447.0594972,1397563.53432973,8133695.6994789,11656406.5738991,-89834.8359681861,-13682297.6579053,,,-2982118.76538968,,,
2011-03-30,,,29040458.1365795,1210876.65039128,6730999.17062404,11141437.2817872,-89834.8359681861,5238842.39181326,,,2135327.80416026,,,
2011-08-30,,,29040458.1365795,1210876.65039128,6730999.17062404,11141437.2817872,-89834.8359681861,5238842.39181326,,,2135327.80416026,,,
2011-09-30,,,29040458.1365795,1210876.65039128,6730999.17062404,11141437.2817872,-89834.8359681861,5238842.39181326,,,2135327.80416026,,,
2012-03-30,,,21824477.1650486,730787.922330097,5879634.6407767,9057770.48543689,-89994.4077669903,3895591.26213592,,,584130.368932039,,,
2012-03-31,,,21824477.1650486,730787.922330097,5879634.6407767,9057770.48543689,-89994.4077669903,3895591.26213592,,,584130.368932039,,,
2012-08-30,,,21824477.1650486,730787.922330097,5879634.6407767,9057770.48543689,-89994.4077669903,3895591.26213592,,,584130.368932039,,,
2012-09-30,,,21824477.1650486,730787.922330097,5879634.6407767,9057770.48543689,-89994.4077669903,3895591.26213592,,,584130.368932039,,,
2013-03-28,,,18048383.0747308,968588.439413131,4501947.10523538,8860189.13605658,-89994.4077669903,6832892.12581803,,,1799966.94901837,,,
2013-05-17,,,18048383.0747308,968588.439413131,4501947.10523538,8860189.13605658,-89994.4077669903,6832892.12581803,,,1799966.94901837,,,
2013-09-02,,,18048383.0747308,968588.439413131,4501947.10523538,8860189.13605658,-89994.4077669903,6832892.12581803,,,1799966.94901837,,,
2013-09-30,,,18048383.0747308,968588.439413131,4501947.10523538,8860189.13605658,-89994.4077669903,6832892.12581803,,,1799966.94901837,,,
2013-12-30,,,18048383.0747308,968588.439413131,4501947.10523538,8860189.13605658,-89994.4077669903,6832892.12581803,,,1799966.94901837,,,
2014-03-30,3051846.99123072,,17744879.6492289,453293.921983671,4310443.30208648,9060066.97913517,-89994.4077669903,-19343861.5058966,,,2474021.77199879,,,
2014-06-30,3051846.99123072,,17744879.6492289,453293.921983671,4310443.30208648,9060066.97913517,-89994.4077669903,-19343861.5058966,,,2474021.77199879,,,
2014-09-30,3051846.99123072,,17744879.6492289,453293.921983671,4310443.30208648,9060066.97913517,-89994.4077669903,-19343861.5058966,,,2474021.77199879,,,
2014-12-30,3051846.99123072,,17744879.6492289,453293.921983671,4310443.30208648,9060066.97913517,-89994.4077669903,-19343861.5058966,,,2474021.77199879,,,
2015-03-30,3652503.81660921,,15105612.3389584,434230.036895905,3681245.33962378,11728094.985786,-89994.4077669903,-177109.925603339,,,-1223456.7229178,,,
2015-06-30,3652503.81660921,,15105612.3389584,434230.036895905,3681245.33962378,11728094.985786,-89994.4077669903,-177109.925603339,,,-1223456.7229178,,,
2015-09-30,3652503.81660921,,15105612.3389584,434230.036895905,3681245.33962378,11728094.985786,-89994.4077669903,-177109.925603339,,,-1223456.7229178,,,
2015-12-30,3652503.81660921,,15105612.3389584,382437.071708604,2960755.5956169,9796726.14328689,-89994.4077669903,-1346266.91717075,,,-1223456.7229178,,,
2016-03-30,3652503.81660921,,15105612.3389584,382437.071708604,2960755.5956169,9796726.14328689,-89994.4077669903,-1346266.91717075,,,-1223456.7229178,,,
2016-09-21,3652503.81660921,,15105612.3389584,382437.071708604,2960755.5956169,9796726.14328689,-89994.4077669903,-1346266.91717075,,,-1223456.7229178,,,
2016-09-30,3652503.81660921,,15105612.3389584,382437.071708604,2960755.5956169,9796726.14328689,-89994.4077669903,-1346266.91717075,,,-1223456.7229178,,,
2016-12-30,3652503.81660921,,15105612.3389584,382437.071708604,2960755.5956169,9796726.14328689,-89994.4077669903,-1346266.91717075,,,-1223456.7229178,,,
2017-03-30,3652503.81660921,,15105612.3389584,382437.071708604,2960755.5956169,9796726.14328689,-89994.4077669903,-1346266.91717075,,,-1223456.7229178,,,
2017-06-30,3652503.81660921,,15105612.3389584,424429.748897834,2134032.77745831,898942.208165612,-89994.4077669903,136637517.922177,,,-1223456.7229178,,,
2017-09-30,3652503.81660921,,15105612.3389584,424429.748897834,2134032.77745831,898942.208165612,-89994.4077669903,136637517.922177,,,-1223456.7229178,,,
2017-12-31,3652503.81660921,,15105612.3389584,424429.748897834,2134032.77745831,898942.208165612,-89994.4077669903,136637517.922177,,,-1223456.7229178,,,
2018-05-30,111649.58970947,,8364927.92193391,528357.507207807,1802217.78664892,930999.334664005,-89994.4077669903,-3639600.79840319,,,976714.127300954,,,
