datadate,xadq,obq,dmq,drcq,drltq,gdwliaq,scstkcq,niq,pstkqq,txfedq,txtq,pstkq,dcvtq,dcpstkq
2001-03-31,,,,78138.334041649,,3161050.78623034,,-2685117.29706757,,,,,,
2001-06-30,,,,78138.334041649,,3161050.78623034,,-2685117.29706757,,,,,,
2001-09-30,,,,78138.334041649,,3161050.78623034,,-2685117.29706757,,,,,,
2002-03-21,,,,434409.670380154,,2448490.86941541,,-375171.988055588,,,,,,
2002-05-14,,,,434409.670380154,,2448490.86941541,,-375171.988055588,,,,,,
2002-06-30,,,,434409.670380154,,2448490.86941541,,-375171.988055588,,,,,,
2002-11-14,,,,434409.670380154,,2448490.86941541,,-375171.988055588,,,,,,
2002-12-31,,,,434409.670380154,,2448490.86941541,,-375171.988055588,,,,,,
2003-05-21,,,,886603.927892645,,2080659.2178771,,-178750.79191384,,,,,,
2003-08-21,,,,886603.927892645,,2080659.2178771,,-178750.79191384,,,,,,
2003-11-10,,,,886603.927892645,,2080659.2178771,,-178750.79191384,,,,,,
2004-02-26,,,,490529.337355259,,1744104.31059648,,-443812.257607139,,,,,,
2004-05-17,,,,490529.337355259,,1744104.31059648,,-443812.257607139,,,,,,
2004-08-25,,,,490529.337355259,,1744104.31059648,,-443812.257607139,,,,,,
2004-11-25,,,,490529.337355259,,1744104.31059648,,-443812.257607139,,,,,,
2005-02-23,,,,490529.337355259,,1010850.99666276,2437012.86792339,-493671.416974835,,,,,,
2005-05-18,,,,490529.337355259,,1010850.99666276,2437012.86792339,-493671.416974835,,,,,,
2005-08-25,,,,490529.337355259,,1010850.99666276,2437012.86792339,-493671.416974835,,,,,,
2005-11-30,,,,490529.337355259,,1010850.99666276,2437012.86792339,-493671.416974835,,,,,,
2006-02-24,,,,490529.337355259,,907226.433626313,2437012.86792339,7316.34220666381,,278021.003853225,482878.585639812,,,
2006-05-16,,,,490529.337355259,,907226.433626313,2437012.86792339,7316.34220666381,,278021.003853225,482878.585639812,,,
2006-08-24,,,,490529.337355259,,907226.433626313,2437012.86792339,7316.34220666381,,278021.003853225,482878.585639812,,,
2006-11-29,,,,490529.337355259,,907226.433626313,2437012.86792339,7316.34220666381,,278021.003853225,482878.585639812,,,
2007-02-22,,,,490529.337355259,,907226.433626313,5183284.88159759,522057.470088966,,328150.409770207,872581.771434415,,,
2007-04-20,,,,490529.337355259,,907226.433626313,5183284.88159759,522057.470088966,,328150.409770207,872581.771434415,,,
2007-08-27,,,,490529.337355259,,907226.433626313,5183284.88159759,522057.470088966,,328150.409770207,872581.771434415,,,
2007-10-19,,,,490529.337355259,,907226.433626313,5183284.88159759,522057.470088966,,328150.409770207,872581.771434415,,,
2008-01-18,,,,490529.337355259,,1941423.19952957,350859.614372814,2385845.37773514,,304078.332456439,1231907.09046455,,,
2008-04-18,,,,490529.337355259,,1941423.19952957,350859.614372814,2385845.37773514,,304078.332456439,1231907.09046455,,,
2008-08-15,,,,490529.337355259,,1941423.19952957,350859.614372814,2385845.37773514,,304078.332456439,1231907.09046455,,,
2008-11-27,,,,490529.337355259,,1941423.19952957,350859.614372814,2385845.37773514,,304078.332456439,1231907.09046455,,,
2009-02-19,,,,490529.337355259,,2170924.78074387,350859.614372814,2258462.07028999,,1006678.82978042,1908312.9121055,,,
2009-05-12,,,,490529.337355259,,2170924.78074387,350859.614372814,2258462.07028999,,1006678.82978042,1908312.9121055,,,
2009-08-24,,,,490529.337355259,,2170924.78074387,350859.614372814,2258462.07028999,,1006678.82978042,1908312.9121055,,,
