datadate,xadq,obq,dmq,drcq,drltq,gdwliaq,scstkcq,niq,pstkqq,txfedq,txtq,pstkq,dcvtq,dcpstkq
2001-11-30,,,,,,,2253677.45037682,-1691156.50780172,,,,,,
2002-02-28,,,,,,,2253677.45037682,-1691156.50780172,,,,,,
2002-05-31,,,,,,,2253677.45037682,-864219.485559654,,,,,,
2002-10-18,,,,,,,2020057.96834195,-1321090.25528967,,,,,,
2003-01-15,,,,,,,2020057.96834195,-1321090.25528967,,,,,,
2003-04-16,,,,,,,2020057.96834195,-1321090.25528967,,,,,,
2003-07-31,,,,,,,2020057.96834195,-1321090.25528967,,,,,,
2003-11-21,,,,,,,2020057.96834195,-1304532.93308617,,,,,,
2004-01-15,,,,,,,2020057.96834195,-1304532.93308617,,,,,,
2004-04-20,,,,,,,2020057.96834195,-1304532.93308617,,,,,,
2004-07-30,,,,,,,2020057.96834195,-1304532.93308617,,,,,,
2004-10-21,,,,,,,10556463.2725816,-1184662.68776287,,,,,,
2005-01-20,,,,,,,10556463.2725816,-1184662.68776287,,,,,,
2005-04-20,,,,,,,10556463.2725816,-1184662.68776287,,,,,,
2005-07-29,,,,,,,10556463.2725816,-1184662.68776287,,,,,,
2005-10-26,,,,,,,36711.3747401591,-2689622.15896302,,,,,,
2006-01-20,,,,,,,36711.3747401591,-2689622.15896302,,,,,,
2006-04-20,,,,,,,36711.3747401591,-2689622.15896302,,,,,,
2006-07-28,,,,,,,36711.3747401591,-2689622.15896302,,,,,,
2006-10-26,,,,,,,76663.1757595828,-2730310.45616359,,,,,,
2007-01-19,,,,,,,76663.1757595828,-2730310.45616359,,,,,,
2007-04-20,,,,,,,76663.1757595828,-2730310.45616359,,,,,,
2007-06-29,,,,,,,76663.1757595828,-2730310.45616359,,,,,,
2007-10-26,,,,,,,4467795.0554951,-3828212.64417845,,,-19139.2644178455,,,
2008-01-31,,,,,,,4467795.0554951,-3828212.64417845,,,-19139.2644178455,,,
2008-04-22,,,,,,,4467795.0554951,-3828212.64417845,,,-19139.2644178455,,,
2008-07-01,,,,,,,4467795.0554951,-3828212.64417845,,,-19139.2644178455,,,
2008-10-24,,,,,,,5831558.00638898,-5447005.40272307,,,1873.37406568868,,,
2009-01-30,,,,,,,5831558.00638898,-5447005.40272307,,,1873.37406568868,,,
2009-04-29,,,,,,,5831558.00638898,-5447005.40272307,,,1873.37406568868,,,
2009-07-01,,,,,,,5831558.00638898,-5447005.40272307,,,1873.37406568868,,,
2009-10-23,,,,,,,2424704.39827497,-7073421.2145476,,,12257.316644893,,,
2010-01-29,,,,,,,2424704.39827497,-7073421.2145476,,,12257.316644893,,,
2010-04-28,,,,,,,2424704.39827497,-7073421.2145476,,,12257.316644893,,,
2010-07-01,,,,,,,2424704.39827497,-7073421.2145476,,,12257.316644893,,,
2010-10-22,,,,20295636.0390403,,,21095340.9394063,-29321.0410736072,,,4945.71777145181,,,
2011-01-25,,,,20295636.0390403,,,21095340.9394063,-29321.0410736072,,,4945.71777145181,,,
2011-04-14,,,,20295636.0390403,,,21095340.9394063,-29321.0410736072,,,4945.71777145181,,,
2011-07-01,,,,20295636.0390403,,,21095340.9394063,-29321.0410736072,,,4945.71777145181,,,
2011-11-16,,,,20295636.0390403,,,3647536.78088354,9961070.51878976,,,-70602.49846115,,,
2012-01-25,,,,20295636.0390403,,,3647536.78088354,9961070.51878976,,,-70602.49846115,,,
2012-04-04,,,,20295636.0390403,,,3647536.78088354,9961070.51878976,,,-70602.49846115,,,
2012-07-03,,,,20295636.0390403,,,3647536.78088354,9961070.51878976,,,-70602.49846115,,,
2012-10-31,,,,20295636.0390403,,,27397.4435205167,-4257353.43706141,,,-70602.49846115,,,
2013-01-23,,,,20295636.0390403,,,27397.4435205167,-4257353.43706141,,,-70602.49846115,,,
2013-06-30,,,,20295636.0390403,,,27397.4435205167,-4257353.43706141,,,-70602.49846115,,,
2013-09-30,,,,20295636.0390403,,,27397.4435205167,-4257353.43706141,,,-70602.49846115,,,
2013-12-30,,,,20295636.0390403,,,-11212922.6840102,10414970.8877206,,,-70602.49846115,,,
2014-03-30,,,,20295636.0390403,,,-11212922.6840102,10414970.8877206,,,-70602.49846115,,,
2014-06-30,,,,20295636.0390403,,,-11212922.6840102,10414970.8877206,,,-70602.49846115,,,
2014-09-30,,,,20295636.0390403,,,-11212922.6840102,10414970.8877206,,,-70602.49846115,,,
2014-12-30,,,,20295636.0390403,,,-10688316.5445805,20688.5658692915,,,-70602.49846115,,,
2015-03-30,,,,20295636.0390403,,,-10688316.5445805,20688.5658692915,,,-70602.49846115,,,
2015-06-30,,,,20295636.0390403,,,-10688316.5445805,20688.5658692915,,,-70602.49846115,,,
2015-09-30,,,,20295636.0390403,,,-10688316.5445805,20688.5658692915,,,-70602.49846115,,,
2015-12-30,,,,20295636.0390403,,,-10688316.5445805,20688.5658692915,,,-70602.49846115,,,
2016-03-30,,,,20295636.0390403,,,-10688316.5445805,-5542.87337950631,,,-70602.49846115,,,
2016-08-26,,,,20295636.0390403,,,-10688316.5445805,-5542.87337950631,,,-70602.49846115,,,
2016-09-30,,,,20295636.0390403,,,-10688316.5445805,-5542.87337950631,,,-70602.49846115,,,
2016-12-30,,,,20295636.0390403,,,-10688316.5445805,-5542.87337950631,,,-70602.49846115,,,
2017-03-30,,,,20295636.0390403,,,-10688316.5445805,72450.8888083709,,,-70602.49846115,,,
2017-08-28,,,,20295636.0390403,,,-10688316.5445805,72450.8888083709,,,-70602.49846115,,,
2017-09-30,,,,20295636.0390403,,,-10688316.5445805,72450.8888083709,,,-70602.49846115,,,
2017-12-30,,,,20295636.0390403,,,-10688316.5445805,72450.8888083709,,,-70602.49846115,,,
2018-03-30,,,,20295636.0390403,,,-10688316.5445805,63390865.3961983,,,-70602.49846115,,,
2018-08-28,,,,20295636.0390403,,,-10688316.5445805,63390865.3961983,,,-70602.49846115,,,
2018-09-30,,,,20295636.0390403,,,-10688316.5445805,63390865.3961983,,,-70602.49846115,,,
2018-12-30,,,,20295636.0390403,,,-10688316.5445805,63390865.3961983,,,-70602.49846115,,,
2019-03-30,,,,20295636.0390403,,,-10688316.5445805,2240226.39284262,,,-70602.49846115,,,
2019-08-29,,,,20295636.0390403,,,-10688316.5445805,2240226.39284262,,,-70602.49846115,,,
2019-09-30,,,,20295636.0390403,,,-10688316.5445805,2240226.39284262,,,-70602.49846115,,,
2019-12-30,,,,20295636.0390403,,,-10688316.5445805,2240226.39284262,,,-70602.49846115,,,
2020-03-30,,,,20295636.0390403,,,-10688316.5445805,6202453.1510361,,,-70602.49846115,,,
2020-08-31,,,,20295636.0390403,,,-10688316.5445805,6202453.1510361,,,-70602.49846115,,,
