datadate,xadq,obq,dmq,drcq,drltq,gdwliaq,scstkcq,niq,pstkqq,txfedq,txtq,pstkq,dcvtq,dcpstkq
2000-03-31,,,,,,,,13392371.3472976,,,,,,
2000-06-30,,,,,,,,13392371.3472976,,,,,,
2000-09-30,,,,,,,,13392371.3472976,,,,,,
2000-12-31,,,,,,,,13392371.3472976,,,,,,
2001-05-16,,,,,,,-7877764.76838079,4183952.61368466,,,,,,
2001-08-29,,,,,,,-7877764.76838079,4183952.61368466,,,,,,
2001-09-30,,,,,,,-7877764.76838079,4183952.61368466,,,,,,
2002-02-19,,,,,,,-5502522.49148195,3883359.17461047,,,2086482.81076528,,,
2002-03-31,,,,,,,-5502522.49148195,3883359.17461047,,,2086482.81076528,,,
2002-08-14,,,,,,,-5502522.49148195,3883359.17461047,,,2086482.81076528,,,
2002-11-13,,,,,,,-5502522.49148195,3883359.17461047,,,2086482.81076528,,,
2003-02-18,,,,,,,-4232818.75251973,21914847.0886368,,,5162322.87047169,,,
2003-05-14,,,,,,,-4232818.75251973,21914847.0886368,,,5162322.87047169,,,
2003-08-13,,,,,,,-4232818.75251973,21914847.0886368,,,5162322.87047169,,,
2003-11-12,,,,,,,-4232818.75251973,21914847.0886368,,,5162322.87047169,,,
2004-02-17,,,,,,,-9133189.09075745,35567270.0482353,,,-16241971.3924297,,,
2004-05-12,,,,,,,-9133189.09075745,35567270.0482353,,,-16241971.3924297,,,
2004-08-11,,,,,,,-9133189.09075745,35567270.0482353,,,-16241971.3924297,,,
2004-11-10,,,,,,,-9133189.09075745,35567270.0482353,,,-16241971.3924297,,,
2005-02-22,,,,,,,-11910802.4412976,98843988.1542948,,,15570239.7703016,,,
2005-05-11,,,,,,,-11910802.4412976,98843988.1542948,,,15570239.7703016,,,
2005-08-10,,,,,,,-11910802.4412976,98843988.1542948,,,15570239.7703016,,,
2005-11-09,,,,,,,-11910802.4412976,98843988.1542948,,,15570239.7703016,,,
2006-02-21,,,,9803898.55692951,,,-19322459.7677991,119592929.710127,,,40773975.1177374,,,
2006-05-10,,,,9803898.55692951,,,-19322459.7677991,119592929.710127,,,40773975.1177374,,,
2006-08-09,,,,9803898.55692951,,,-19322459.7677991,119592929.710127,,,40773975.1177374,,,
2006-11-08,,,,9803898.55692951,,,-19322459.7677991,119592929.710127,,,40773975.1177374,,,
2007-02-21,,,,9397034.46160139,,,-17078737.2357676,149644044.819073,,,-7435589.96683856,,,
2007-05-09,,,,9397034.46160139,,,-17078737.2357676,149644044.819073,,,-7435589.96683856,,,
2007-08-08,,,,9397034.46160139,,,-17078737.2357676,149644044.819073,,,-7435589.96683856,,,
2007-11-07,,,,9397034.46160139,,,-17078737.2357676,149644044.819073,,,-7435589.96683856,,,
2008-02-19,,,,7485005.10662004,,,-26509393.085946,78592553.6195104,,,5301878.61718919,,,
2008-05-07,,,,7485005.10662004,,,-26509393.085946,78592553.6195104,,,5301878.61718919,,,
2008-08-06,,,,7485005.10662004,,,-26509393.085946,78592553.6195104,,,5301878.61718919,,,
2008-11-05,,,,7485005.10662004,,,-26509393.085946,78592553.6195104,,,5301878.61718919,,,
2009-02-17,,,,11379847.6409961,,,-11554922.2200883,32213722.5529736,,,-38954093.8480251,,,
2009-05-06,,,,11379847.6409961,,,-11554922.2200883,32213722.5529736,,,-38954093.8480251,,,
2009-08-05,,,,11379847.6409961,,,-11554922.2200883,32213722.5529736,,,-38954093.8480251,,,
2009-11-04,,,,11379847.6409961,,,-11554922.2200883,32213722.5529736,,,-38954093.8480251,,,
2010-02-23,,,,13659998.3240692,,,-2680126.25345661,42276830.2561381,,,14524555.1800229,,,
2010-04-28,,,,13659998.3240692,,,-2680126.25345661,42276830.2561381,,,14524555.1800229,,,
2010-08-11,,,,13659998.3240692,,,-2680126.25345661,42276830.2561381,,,14524555.1800229,,,
2010-11-10,,,,13659998.3240692,,,-2680126.25345661,42276830.2561381,,,14524555.1800229,,,
2011-03-29,,,,15764486.2738085,,,-11082911.5621926,150192560.135921,,,55127930.7878029,,,
2011-04-27,,,,15764486.2738085,,,-11082911.5621926,150192560.135921,,,55127930.7878029,,,
2011-08-10,,,,15764486.2738085,,,-11082911.5621926,150192560.135921,,,55127930.7878029,,,
2011-11-09,,,,15764486.2738085,,,-11082911.5621926,150192560.135921,,,55127930.7878029,,,
2012-02-22,,,,17289461.0761056,,,-2710239.8443625,68784018.118993,,,95867725.2533465,,,
2012-04-25,,,,17289461.0761056,,,-2710239.8443625,68784018.118993,,,95867725.2533465,,,
2012-08-08,,,,17289461.0761056,,,-2710239.8443625,68784018.118993,,,95867725.2533465,,,
2012-11-07,,,,17289461.0761056,,,-2710239.8443625,68784018.118993,,,95867725.2533465,,,
2013-02-20,,,,14014064.5677531,,,-11930892.8076817,182466908.257163,,,-30868817.8992398,,,
2013-04-25,,,,14014064.5677531,,,-11930892.8076817,182466908.257163,,,-30868817.8992398,,,
2013-08-07,,,,14014064.5677531,,,-11930892.8076817,182466908.257163,,,-30868817.8992398,,,
2013-11-06,,,,14014064.5677531,,,-11930892.8076817,182466908.257163,,,-30868817.8992398,,,
2014-02-19,,,,15014153.2151568,,,-10134553.4202309,119831710.348471,,,2158284.5246788,,,
2014-04-29,,,,15014153.2151568,,,-10134553.4202309,119831710.348471,,,2158284.5246788,,,
2014-08-06,,,,15014153.2151568,,,-10134553.4202309,119831710.348471,,,2158284.5246788,,,
2014-11-05,,,,15014153.2151568,,,-10134553.4202309,119831710.348471,,,2158284.5246788,,,
2015-02-18,,,,11696989.2886922,,,-16804125.4569944,48188300.9428516,,,3706792.38021936,,,
2015-04-28,,,,11696989.2886922,,,-16804125.4569944,48188300.9428516,,,3706792.38021936,,,
2015-08-05,,,,11696989.2886922,,,-16804125.4569944,48188300.9428516,,,3706792.38021936,,,
2015-11-03,,,,11696989.2886922,,,-16804125.4569944,48188300.9428516,,,3706792.38021936,,,
2016-02-24,,,,12049724.7380572,,,-12049724.7380572,220349299.709939,,,53340114.8404665,,,
2016-04-26,,,,12049724.7380572,,,-12049724.7380572,220349299.709939,,,53340114.8404665,,,
2016-08-03,,,,12049724.7380572,,,-12049724.7380572,220349299.709939,,,53340114.8404665,,,
2016-11-08,,,,12049724.7380572,,,-12049724.7380572,220349299.709939,,,53340114.8404665,,,
2017-02-22,,,,13528912.8978776,,,-17089153.1341612,297992107.776936,,,75655105.0210262,,,
2017-04-26,,,,13528912.8978776,,,-17089153.1341612,297992107.776936,,,75655105.0210262,,,
2017-08-10,,,,13528912.8978776,,,-17089153.1341612,297992107.776936,,,75655105.0210262,,,
2017-10-26,,,,13528912.8978776,,,-17089153.1341612,297992107.776936,,,75655105.0210262,,,
2018-02-08,,,,17054405.7939208,,,-21205213.5532877,218458817.074509,,,52336271.7485399,,,
2018-04-24,,,,17054405.7939208,,,-21205213.5532877,218458817.074509,,,52336271.7485399,,,
2018-07-18,,,,17054405.7939208,,,-21205213.5532877,218458817.074509,,,52336271.7485399,,,
2018-10-25,,,,17054405.7939208,,,-21205213.5532877,218458817.074509,,,52336271.7485399,,,
2019-02-06,,,,15407699.6068863,,,-20277949.4826262,265472893.226696,,,39581848.9901044,,,
2019-05-02,,,,15407699.6068863,,,-20277949.4826262,265472893.226696,,,39581848.9901044,,,
2019-07-17,,,,15407699.6068863,,,-20277949.4826262,265472893.226696,,,39581848.9901044,,,
2019-10-22,,,,15407699.6068863,,,-20277949.4826262,265472893.226696,,,39581848.9901044,,,
2020-02-05,,,33835077.9747917,20139927.3659474,,,-20277949.4826262,220491924.802393,,,58566908.7801752,,,
2020-04-28,,,33835077.9747917,20139927.3659474,,,-20277949.4826262,220491924.802393,,,58566908.7801752,,,
2020-07-17,,,33835077.9747917,20139927.3659474,,,-20277949.4826262,220491924.802393,,,58566908.7801752,,,
2020-10-22,,,33835077.9747917,20139927.3659474,,,-20277949.4826262,220491924.802393,,,58566908.7801752,,,
2021-02-09,,,43803140.6729318,20139927.3659474,,,-20277949.4826262,169870716.268199,,,43179925.2568535,,,
2021-04-27,,,43803140.6729318,20139927.3659474,,,-20277949.4826262,169870716.268199,,,43179925.2568535,,,
2021-07-08,,,43803140.6729318,20139927.3659474,,,-20277949.4826262,169870716.268199,,,43179925.2568535,,,
2021-10-22,,,43803140.6729318,20139927.3659474,,,-20277949.4826262,169870716.268199,,,43179925.2568535,,,
2022-02-08,,,39577462.6073104,20139927.3659474,,,72204337.7732543,385716717.187362,,,53478637.4900434,,,
2022-04-26,,,39577462.6073104,20139927.3659474,,,72204337.7732543,385716717.187362,,,53478637.4900434,,,
2022-07-14,,,39577462.6073104,20139927.3659474,,,72204337.7732543,385716717.187362,,,53478637.4900434,,,
2022-10-25,,,39577462.6073104,20139927.3659474,,,72204337.7732543,385716717.187362,,,53478637.4900434,,,
2023-02-08,,,40507263.782932,20139927.3659474,,,-3415318.31895309,87686312.1889352,,,-31214420.9150829,,,
2023-05-03,,,40507263.782932,20139927.3659474,,,-3415318.31895309,87686312.1889352,,,-31214420.9150829,,,
