datadate,xadq,obq,dmq,drcq,drltq,gdwliaq,scstkcq,niq,pstkqq,txfedq,txtq,pstkq,dcvtq,dcpstkq
2007-03-31,,,,,,,,,,,,,,
2007-06-30,,,,,,,,,,,,,,
2007-09-30,,,,,,,,,,,,,,
2007-12-31,,,,,,,754478.0646124,-31577.5572632993,,,,,,
2008-03-31,,,,,,,754478.0646124,-31577.5572632993,,,,,,
2008-06-30,,,,,,,754478.0646124,-31577.5572632993,,,,,,
2008-09-30,,,,,,,754478.0646124,-31577.5572632993,,,,,,
2008-12-31,,,,,,,754478.0646124,1850522.23653144,,,,,,
2009-03-31,,,,,,,754478.0646124,1850522.23653144,,,,,,
2009-06-30,,,,,,,754478.0646124,1850522.23653144,,,,,,
2009-09-30,,,,,,,754478.0646124,1850522.23653144,,,,,,
2009-12-31,,,,,,,754478.0646124,1850522.23653144,,,,,,
2010-03-31,,,,,,,754478.0646124,1850522.23653144,,,,,,
2010-06-30,,,,,,,754478.0646124,1850522.23653144,,,,,,
2010-09-30,,,,,,,754478.0646124,1850522.23653144,,,,,,
2010-12-31,,,,2630.21061269147,,,754478.0646124,-17973.1058533917,,,,,,
2011-03-31,,,,2630.21061269147,,,754478.0646124,-17973.1058533917,,,,,,
2011-06-30,,,,2630.21061269147,,,754478.0646124,-17973.1058533917,,,,,,
2011-09-30,,,,2630.21061269147,,,754478.0646124,-17973.1058533917,,,,,,
2011-12-31,,,,2630.21061269147,,,754478.0646124,-17973.1058533917,,,,,,
2012-06-25,,,,36204.1619797525,,,754478.0646124,1120625.29610269,,,,,,
2012-08-28,,,,36204.1619797525,,,754478.0646124,1120625.29610269,,,,,,
2012-12-28,,,,36204.1619797525,,,754478.0646124,1120625.29610269,,,,,,
2013-02-25,,,,415.215924426451,,,754478.0646124,-43597.6720647773,,,,,,
2013-05-28,,,,415.215924426451,,,754478.0646124,-43597.6720647773,,,,,,
2013-08-30,,,,415.215924426451,,,754478.0646124,-43597.6720647773,,,,,,
2013-12-02,,,,415.215924426451,,,754478.0646124,-43597.6720647773,,,,,,
2014-03-03,,,,5518.3990442055,,,754478.0646124,95935.2449223417,,,,,,
2014-05-29,,,,5518.3990442055,,,754478.0646124,95935.2449223417,,,,,,
2014-08-29,,,,5518.3990442055,,,754478.0646124,95935.2449223417,,,,,,
2014-11-28,,,,5518.3990442055,,,754478.0646124,95935.2449223417,,,,,,
2015-02-13,,,,399.191843839363,,,754478.0646124,87023.8219569812,,,,,,
2015-05-29,,,,399.191843839363,,,754478.0646124,87023.8219569812,,,,,,
2015-08-26,,,,399.191843839363,,,754478.0646124,87023.8219569812,,,,,,
2015-11-27,,,,399.191843839363,,,754478.0646124,87023.8219569812,,,,,,
2016-02-29,,,,22230.4975566415,,,754478.0646124,69329.009329187,,,,,,
2016-05-27,,,,22230.4975566415,,,754478.0646124,69329.009329187,,,,,,
2016-08-29,,,,22230.4975566415,,,754478.0646124,69329.009329187,,,,,,
2016-11-30,,,,22230.4975566415,,,754478.0646124,69329.009329187,,,,,,
2017-03-01,,,,28359.3110871905,,,754478.0646124,2162288.39612487,,,1308.89128094725,,,
2017-05-30,,,,28359.3110871905,,,754478.0646124,2162288.39612487,,,1308.89128094725,,,
2017-08-29,,,,28359.3110871905,,,754478.0646124,2162288.39612487,,,1308.89128094725,,,
2017-11-29,,,,28359.3110871905,,,754478.0646124,2162288.39612487,,,1308.89128094725,,,
2018-02-23,,,,29514.2033253574,,,754478.0646124,715151.849806737,,,908.129333087919,,,
2018-05-30,,,,29514.2033253574,,,754478.0646124,715151.849806737,,,908.129333087919,,,
2018-08-30,,,,29514.2033253574,,,754478.0646124,715151.849806737,,,908.129333087919,,,
2018-11-28,,,,29514.2033253574,,,754478.0646124,715151.849806737,,,908.129333087919,,,
2019-03-04,,,,47349.0734224724,,,754478.0646124,1544591.13300493,,,1379.09922589726,,,
2019-06-03,,,,47349.0734224724,,,754478.0646124,1544591.13300493,,,1379.09922589726,,,
2019-10-17,,,,47349.0734224724,,,754478.0646124,1544591.13300493,,,1379.09922589726,,,
2020-01-17,,,,47349.0734224724,,,754478.0646124,1544591.13300493,,,1379.09922589726,,,
2020-03-02,,,,36326.1467889908,,,754478.0646124,-90382.9128440367,,,1379.09922589726,,,
2020-03-30,,,,36326.1467889908,,,754478.0646124,-90382.9128440367,,,1379.09922589726,,,
2020-06-30,,,,36326.1467889908,,,754478.0646124,-90382.9128440367,,,1379.09922589726,,,
2020-12-11,,,,36326.1467889908,,,754478.0646124,-90382.9128440367,,,1379.09922589726,,,
2021-03-03,,,,51623.9677681304,,,754478.0646124,1155371.8096071,,,1379.09922589726,,,
2021-07-12,,,,51623.9677681304,,,754478.0646124,1155371.8096071,,,1379.09922589726,,,
2021-10-13,,,,51623.9677681304,,,754478.0646124,1155371.8096071,,,1379.09922589726,,,
