datadate,apq,rectq,xadq,obq,fatbq,capxq,dmq,cheq,oancfq,cogsq,drcq,drltq,dpq,ebitq,ebitdaq,empq,gdwliaq,dvtq,txpq,xintq,intanq,nopiq,scstkcq,niq,ibq,piq,acoq,lcoq,aoq,loq,ppegtq,ppentq,pstkqq,xrdq,revtq,fatlq,xsgaq,spiq,txfedq,txdiq,txtq,atq,lctq,actq,dlcq,ceqq,invtq,ltq,pstkq,dcvtq,dcpstkq,txfoq,dlttq,drq,dcq,count
2001-09-30,11805555.73008,10570422.40404,,,6882586.06732,14399359.80164,,6623352.65368,10755260.56976,46233790.7688,,,2431593.17648864,,,3732,7083333.57932,2014085.94324,1188239.49836,385931.08776,7083333.57932,410173.36296,73006.31176756,8227807.71844,8227807.71844,10810247.87032,,2973189.3212,1755707.2252,4597084.11952,87743200.75068,37122143.74312,,,57011715.60552,,,-83037.71368104,1948881.85164,133659.55828,2291900.86304,67341503.76108,17931079.2766,21302075.00988,15127111.207880002,31212296.6272,4055171.08476,34846126.09104,,,,343019.0114000002,5987388.49128,,,1
2001-12-31,11805555.73008,10570422.40404,,,6882586.06732,14399359.80164,,6623352.65368,10755260.56976,46233790.7688,,,2431593.17648864,,,3732,7083333.57932,2014085.94324,1188239.49836,385931.08776,7083333.57932,410173.36296,73006.31176756,8227807.71844,8227807.71844,10810247.87032,,2973189.3212,1755707.2252,4597084.11952,87743200.75068,37122143.74312,,,57011715.60552,,,-83037.71368104,1948881.85164,133659.55828,2291900.86304,67341503.76108,17931079.2766,21302075.00988,15127111.207880002,31212296.6272,4055171.08476,34846126.09104,,,,343019.0114000002,5987388.49128,,,1
2002-03-30,11805555.73008,10570422.40404,,,6882586.06732,14399359.80164,,6623352.65368,10755260.56976,46233790.7688,,,2431593.17648864,,,3732,7083333.57932,2014085.94324,1188239.49836,385931.08776,7083333.57932,410173.36296,73006.31176756,8227807.71844,8227807.71844,10810247.87032,,2973189.3212,1755707.2252,4597084.11952,87743200.75068,37122143.74312,,,57011715.60552,,,-83037.71368104,1948881.85164,133659.55828,2291900.86304,67341503.76108,17931079.2766,21302075.00988,15127111.207880002,31212296.6272,4055171.08476,34846126.09104,,,,343019.0114000002,5987388.49128,,,1
2002-09-16,6501076.22549,7047120.34642,,,4964890.94255,6356253.52285,,5277661.04866,1385808.53026,37653963.99226,,,2195929.72949581,,,3164,1630182.16669,934682.18536,682459.44228,774335.40415,1630182.16669,943192.6126700001,3758593.01532638,-1487677.34731,-1487677.34731,-1397285.11769,,1629863.89797,1886668.92799,3080257.49955,69096999.35061,30527261.46547,,,44643675.96612,,,-8791971.62654503,1436098.24897,-1943445.98063,-431074.76335,51333465.97687,12397472.53591,17232689.19295,15066193.58013,24873805.93005,4506356.37144,25410946.353099998,,,,-1867173.0123200002,5399830.58384,,,1
2002-11-13,6501076.22549,7047120.34642,,,4964890.94255,6356253.52285,,5277661.04866,1385808.53026,37653963.99226,,,2195929.72949581,,,3164,1630182.16669,934682.18536,682459.44228,774335.40415,1630182.16669,943192.6126700001,3758593.01532638,-1487677.34731,-1487677.34731,-1397285.11769,,1629863.89797,1886668.92799,3080257.49955,69096999.35061,30527261.46547,,,44643675.96612,,,-8791971.62654503,1436098.24897,-1943445.98063,-431074.76335,51333465.97687,12397472.53591,17232689.19295,15066193.58013,24873805.93005,4506356.37144,25410946.353099998,,,,-1867173.0123200002,5399830.58384,,,2
2003-02-19,6501076.22549,7047120.34642,,,4964890.94255,6356253.52285,,5277661.04866,1385808.53026,37653963.99226,,,2195929.72949581,,,3164,1630182.16669,934682.18536,682459.44228,774335.40415,1630182.16669,943192.6126700001,3758593.01532638,-1487677.34731,-1487677.34731,-1397285.11769,,1629863.89797,1886668.92799,3080257.49955,69096999.35061,30527261.46547,,,44643675.96612,,,-8791971.62654503,1436098.24897,-1943445.98063,-431074.76335,51333465.97687,12397472.53591,17232689.19295,15066193.58013,24873805.93005,4506356.37144,25410946.353099998,,,,-1867173.0123200002,5399830.58384,,,2
2003-05-22,6501076.22549,7047120.34642,,,4964890.94255,6356253.52285,,5277661.04866,1385808.53026,37653963.99226,,,2195929.72949581,,,3164,1630182.16669,934682.18536,682459.44228,774335.40415,1630182.16669,943192.6126700001,3758593.01532638,-1487677.34731,-1487677.34731,-1397285.11769,,1629863.89797,1886668.92799,3080257.49955,69096999.35061,30527261.46547,,,44643675.96612,,,-8791971.62654503,1436098.24897,-1943445.98063,-431074.76335,51333465.97687,12397472.53591,17232689.19295,15066193.58013,24873805.93005,4506356.37144,25410946.353099998,,,,-1867173.0123200002,5399830.58384,,,2
2003-08-26,10081983.85936,8826814.1472,,,6240808.16352,1985785.93444,,1901610.75608,2556708.5264,46557532.17304,,108684.23272,2991526.33721984,,,4674,1778035.98672,1305320.69136,43052.70536,1269566.96048,1778035.98672,575685.60504,8116.75220944,694485.27092,694485.27092,1694589.25496,67978.274,2322590.0208,3391062.79876,5861019.68256,110698614.264,58124640.92092,,,49344998.07384,,,-245649.14909696,395037.49796,258528.41868,834683.13124,79162209.55944,18120735.45772,15864343.39952,34845488.54612,34702572.76388,4295092.23276,43108245.635000005,,,,439645.63328,14564663.48428,108684.23272,,2
2003-11-05,10081983.85936,8826814.1472,,,6240808.16352,1985785.93444,,1901610.75608,2556708.5264,46557532.17304,,108684.23272,2991526.33721984,,,4674,1778035.98672,1305320.69136,43052.70536,1269566.96048,1778035.98672,575685.60504,8116.75220944,694485.27092,694485.27092,1694589.25496,67978.274,2322590.0208,3391062.79876,5861019.68256,110698614.264,58124640.92092,,,49344998.07384,,,-245649.14909696,395037.49796,258528.41868,834683.13124,79162209.55944,18120735.45772,15864343.39952,34845488.54612,34702572.76388,4295092.23276,43108245.635000005,,,,439645.63328,14564663.48428,108684.23272,,3
2004-02-19,10081983.85936,8826814.1472,,,6240808.16352,1985785.93444,,1901610.75608,2556708.5264,46557532.17304,,108684.23272,2991526.33721984,,,4674,1778035.98672,1305320.69136,43052.70536,1269566.96048,1778035.98672,575685.60504,8116.75220944,694485.27092,694485.27092,1694589.25496,67978.274,2322590.0208,3391062.79876,5861019.68256,110698614.264,58124640.92092,,,49344998.07384,,,-245649.14909696,395037.49796,258528.41868,834683.13124,79162209.55944,18120735.45772,15864343.39952,34845488.54612,34702572.76388,4295092.23276,43108245.635000005,,,,439645.63328,14564663.48428,108684.23272,,3
