datadate,xadq,obq,dmq,drcq,drltq,gdwliaq,scstkcq,niq,pstkqq,txfedq,txtq,pstkq,dcvtq,dcpstkq
2000-03-31,,,,,,,,,,,,,,
2000-06-30,,,,,,,,,,,,,,
2000-09-30,,,,,,,,,,,,,,
2000-12-31,,,,,,,,,,,,,,
2001-05-17,,,,,,46064000.0,64350000.0,-14844000.0,,,,,,
2001-09-05,,,,,,46064000.0,64350000.0,-14844000.0,,,,,,
2001-11-10,,,,,,46064000.0,64350000.0,-14844000.0,,,,,,
2002-03-19,,,,,,42816000.0,64350000.0,-15872000.0,,,,,,
2002-05-21,,,,,,42816000.0,64350000.0,-15872000.0,,,,,,
2002-09-03,,,,,,42816000.0,64350000.0,-15872000.0,,,,,,
2002-11-19,,,,,,42816000.0,64350000.0,-15872000.0,,,,,,
2003-04-10,,,,,,15422000.0,64350000.0,-46534000.0,,,,,,
2003-05-20,,,,,,15422000.0,64350000.0,-46534000.0,,,,,,
2003-09-09,,,,,,15422000.0,64350000.0,-46534000.0,,,,,,
2003-11-18,,,,,,15422000.0,64350000.0,-46534000.0,,,,,,
2004-03-16,,,,,,27692000.0,4000000.0,-15127000.0,,,,,,
2004-05-18,,,,,,27692000.0,4000000.0,-15127000.0,,,,,,
2004-09-07,,,,,,27692000.0,4000000.0,-15127000.0,,,,,,
2004-11-23,,,,,,27692000.0,4000000.0,-15127000.0,,,,,,
2005-03-15,,,,,,28418000.0,5641000.0,-156000.0,,,,,,
