datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2016-09-29,,,,,,,-3986.48277060414,7599783.59400962,,,-7644961.27583323,,,
2017-04-27,,,1075538.2666106,,,,-20018.8536585366,3577613.73843566,,,1670214.97560976,,,
2017-09-29,,,1075538.2666106,,,,-20018.8536585366,3577613.73843566,,,1670214.97560976,,,
2018-04-26,,,946582.570746512,,,,-93734.0559734168,11093813.4936001,,,-3827293.43266036,,,
2018-09-25,,,946582.570746512,,,,-93734.0559734168,11093813.4936001,,,-3827293.43266036,,,
2019-04-22,,,772111.730892742,,,,-172046.87998899,11724540.4128819,,,7189027.92228645,,,
2019-09-30,,,772111.730892742,,,,-172046.87998899,11724540.4128819,,,7189027.92228645,,,
2020-05-18,,,540417.281348788,,,,-42839.398695155,-3638939.33143511,,,1629799.43277358,,,
2020-09-30,,,540417.281348788,,,,-42839.398695155,-3638939.33143511,,,1629799.43277358,,,
2021-04-29,,,419662.392647777,,,,-225922.586834392,-6511.58683439179,,,4071438.89289204,,,
