datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2017-08-16,7449331.62321278,,26617660.9756098,8178839.44491169,,,1274934.23044575,49600566.27418,,,12301922.2035324,,,
2018-03-21,7913860.34236633,,32517496.3832008,8599242.90735476,,,335588.872494332,79095988.9636641,,,9855481.67608354,,,
2018-08-08,7913860.34236633,,32517496.3832008,8599242.90735476,,,335588.872494332,79095988.9636641,,,9855481.67608354,,,
2019-02-28,8314205.70694559,,40068753.6929994,7513172.26351041,,,156430.773465456,54505336.2235067,,,24296216.3959996,,,
2019-07-31,8314205.70694559,,40068753.6929994,7513172.26351041,,,156430.773465456,54505336.2235067,,,24296216.3959996,,,
2020-02-26,694967.154675694,,38050719.9067327,5396563.68405713,,,156430.773465456,71378706.813443,,,10080405.5781001,,,
2020-08-05,694967.154675694,,38050719.9067327,5396563.68405713,,,156430.773465456,71378706.813443,,,10080405.5781001,,,
2021-03-04,540399.18172936,,36919536.1626771,4948448.70542257,,,156430.773465456,-127212647.044455,,,-2153557.7308256,,,
2021-07-29,540399.18172936,,36919536.1626771,4948448.70542257,,,156430.773465456,-127212647.044455,,,-2153557.7308256,,,
2022-02-24,661290.782802446,,35140000.6820817,4946656.71964168,,,156430.773465456,73199932.0760294,,,14535793.2041925,,,
2022-03-30,661290.782802446,,35140000.6820817,4946656.71964168,,,156430.773465456,73199932.0760294,,,14535793.2041925,,,
2022-11-11,661290.782802446,,35140000.6820817,4946656.71964168,,,156430.773465456,73199932.0760294,,,14535793.2041925,,,
2023-05-10,292830.854023973,,35424571.1686644,6126446.11515411,,,-270163445.740582,6352040.88184931,,,123855.950342466,,,
