datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2003-02-21,,,,,,,,85419643.8918469,,,,,,
2003-08-28,,,,,,,,50265696.417268,,,,,,
2004-03-03,,,,,,,,50265696.417268,,,,,,
2004-09-01,,,,,,,,53994041.2340986,,,,,,
2005-02-28,,,,,,,,53994041.2340986,,,,,,
2005-09-01,,,,,,,,92049830.5765624,,,,,,
2006-02-28,,,,,,,,92049830.5765624,,,,,,
2006-10-12,,,,,,,,128579913.106852,,,,,,
2007-01-26,,,,,,,,128579913.106852,,,,,,
2007-11-12,,,,,,,,169374116.433311,,,,,,
2008-01-25,,,,,,,,169374116.433311,,,,,,
2008-08-29,,,,,,,,221738740.549061,,,,,,
2009-01-30,,,,,,,,221738740.549061,,,,,,
2009-09-01,,,,,,,,-1072883369.23198,,,,,,
2010-01-29,,,,,,,,-1072883369.23198,,,,,,
2010-09-01,,,,,,,,-24931985.4322906,,,,,,
2011-01-28,,,,,,,,-24931985.4322906,,,,,,
2011-09-01,,,,,,,,27266512.0384069,,,,,,
2012-01-27,,,,,,,,27266512.0384069,,,,,,
2012-08-31,,,,,,,,-24525511.9104821,,,,,,
2013-01-25,,,,,,,,-24525511.9104821,,,,,,
2013-08-30,,,,,,,,43445546.2185858,,,,,,
2014-01-31,,,,,,,,43445546.2185858,,,,,,
2014-10-02,,,,,,,,21127424.6542353,,,,,,
2015-01-30,,,,,,,,21127424.6542353,,,,,,
2015-08-28,,,,,,,,94799537.5077666,,,,,,
2016-01-29,,,,,,,,94799537.5077666,,,,,,
2016-08-26,,,,,,,,-17513615.8437896,,,,,,
2017-01-27,,,,,,,,-17513615.8437896,,,,,,
2017-08-31,,,,,,,,739491094.253681,,,,,,
2018-01-27,,,,,,,,739491094.253681,,,,,,
2018-09-03,,,,,,,,190232739.293993,,,,,,
2019-01-25,,,,,,,,190232739.293993,,,,,,
2019-08-30,,,,,,,,227257233.291044,,,,,,
2020-01-31,,,,,,,,227257233.291044,,,,,,
2020-08-28,,,,,,,,55116605.2332124,,,,,,
2021-01-29,,,,,,,,55116605.2332124,,,,,,
2021-08-27,,,,,,,,454135518.898913,,,,,,
2022-01-28,,,,,,,,454135518.898913,,,,,,
2022-08-26,,,,,,,,692914050.897885,,,,,,
2023-01-27,,,,,,,,692914050.897885,,,,,,
