datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2000-06-30,,,,,,148049540.313177,1328649.87078818,113219936.918987,,,86457135.4008358,,,
2001-02-15,,,,,,157877830.478617,-2977015.38798862,111878146.294154,,,91039040.932925,,,
2001-11-08,,,,,,157877830.478617,-2977015.38798862,111878146.294154,,,91039040.932925,,,
2002-03-31,,,,,,142980780.703238,673571.12965123,110526899.001861,,,89095090.33114,,,
2002-09-13,,,,,,142980780.703238,673571.12965123,110526899.001861,,,89095090.33114,,,
2003-02-13,,,,,,199430540.336293,-5212167.01303609,135581494.426601,,,72383969.3935386,,,
2003-09-03,,,,,,199430540.336293,-5212167.01303609,135581494.426601,,,72383969.3935386,,,
2004-02-16,,,,,,180123110.518168,-20021512.0889079,171310825.267768,,,100389553.572552,,,
2004-09-06,,,,,,180123110.518168,-20021512.0889079,171310825.267768,,,100389553.572552,,,
2005-02-03,,,,,,555850773.485906,4381786.13555324,217534479.43924,,,117601485.960655,,,
2005-09-16,,,,,,555850773.485906,4381786.13555324,217534479.43924,,,117601485.960655,,,
2006-03-08,,,,,,952785019.950508,-5503451.3787755,290031887.661469,,,97961434.5422039,,,
2006-07-25,,,,,,952785019.950508,-5503451.3787755,290031887.661469,,,97961434.5422039,,,
2006-12-31,,,,,,952785019.950508,-5503451.3787755,290031887.661469,,,97961434.5422039,,,
2007-08-03,,,,,,953860819.994458,-20210342.9619562,338388508.993019,,,133994573.837769,,,
2007-12-30,,,,,,953860819.994458,-20210342.9619562,338388508.993019,,,133994573.837769,,,
2008-08-01,,,,,,1084146713.83763,-113493967.466628,342466576.701437,,,153701998.686994,,,
2009-03-25,,,,,,1438217496.26089,-60495160.8168742,254213471.99508,,,147654065.500902,,,
2009-07-31,,,,,,1438217496.26089,-60495160.8168742,254213471.99508,,,147654065.500902,,,
2009-12-30,,,,,,1438217496.26089,-60495160.8168742,254213471.99508,,,147654065.500902,,,
2010-08-03,,,,,,1342440863.54006,-4076596.23203344,207640542.862051,,,99079012.7698563,,,
2010-12-30,,,,,,1342440863.54006,-4076596.23203344,207640542.862051,,,99079012.7698563,,,
2011-07-29,,,,,,1342598076.38285,1200585.91398569,173484664.570932,,,96904434.4859875,,,
2011-12-30,,,,,,1342598076.38285,1200585.91398569,173484664.570932,,,96904434.4859875,,,
2012-07-30,,,,,,1254588706.79612,-29914807.7669903,178322252.427184,,,67079165.0485437,,,
2013-03-05,,,1217839.61367954,,,971024118.64049,-9905095.52459362,-115045248.838928,,,67079165.0485437,,,
2013-08-01,,,1217839.61367954,,,971024118.64049,-9905095.52459362,-115045248.838928,,,67079165.0485437,,,
2014-02-06,,,498125.188993045,52469186.5739341,,915637118.234049,498125.188993045,39850015.1194436,,,84598261.2639855,,,
