datadate,aps,rects,xads,obs,capxs,dms,ches,oancfs,cogss,drcs,drlts,dps,ebits,ebitdas,emps,gdwlias,dvts,txps,xints,intans,nopis,scstkcs,nis,ibs,pis,acos,lcos,aos,los,ppegts,ppents,pstkqs,xrds,revts,fatls,xsgas,spis,txfeds,txdis,txts,ats,lcts,acts,dlcs,ceqs,invts,lts,pstks,dcvts,dcpstks,txfos,dltts,drs,dcs
2000-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-28,311383350.374065,689437879.2441968,,,231111854.306541,,1182593605.50547,595467324.28544,2475845049.01209,,,263618536.159601,,,36804,52119826.1078074,34429539.1329369,,1678602.43621715,130213816.2286591,11318873.39343947,-8205923.36466526,218795173.892193,225312100.997506,290231920.295415,,87032678.0164972,219122579.320928,391660043.353156,3524955980.9131,1085868687.41607,,,3408093030.50067,,638570508.824094,,22923576.9230769,9655861.69192404,63054128.0452714,4003279721.56148,598777756.953769,2472550207.07846,2442548.4366008053,2994559186.36102,401726461.058891,991695452.9061956,,,,40130551.1221945,140316.612315365,,
2005-04-27,306859371.369876,702111558.5021945,,,301487404.98646,,1250907097.58147,456117999.439724,2393529783.54655,,,260967853.5811,,,37115,45515924.922962,39229686.4319731,,4778925.01634139,110982749.836586,5426328.50873097,-6147862.17200486,164568979.363153,182681451.115884,300118467.830797,,90507996.6383416,174324509.851527,158554551.498739,3274181387.61789,1072263269.77309,,,3251117020.45009,,592477977.775703,,110014115.603698,-27339207.0221309,115069793.258007,3993150146.97918,646696784.760482,2523405842.93585,1309633.018956019,3158276394.43459,370275261.555701,809363089.7376043,,,,5055677.654309005,400302.922775236,,
