datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2015-09-25,,,49800000.0,,,57500000.0,,8100000.0,,400000.0,-15600000.0,,,
2016-03-25,,,49800000.0,,,57500000.0,,8100000.0,,400000.0,-15600000.0,,,
2016-10-19,,,62300000.0,,,64400000.0,,-5100000.0,,1100000.0,8000000.0,,,
2017-06-14,,,78100000.0,,,70400000.0,212600000.0,-10900000.0,,1100000.0,-7800000.0,,,
2017-11-22,,,78100000.0,,,70400000.0,212600000.0,-10900000.0,,1100000.0,-7800000.0,,,
2018-06-13,,,87700000.0,17900000.0,,100300000.0,212600000.0,31100000.0,,100000.0,7200000.0,,,
2018-11-21,,,87700000.0,17900000.0,,100300000.0,212600000.0,31100000.0,,100000.0,7200000.0,,,
2019-06-05,,,90900000.0,17600000.0,,128200000.0,212600000.0,18000000.0,,200000.0,3500000.0,,,
2019-11-13,,,90900000.0,17600000.0,,128200000.0,212600000.0,18000000.0,,200000.0,3500000.0,,,
2020-06-05,,,249000000.0,17800000.0,,132200000.0,212600000.0,45600000.0,,200000.0,10800000.0,,,
2020-11-05,,,249000000.0,17800000.0,,132200000.0,212600000.0,45600000.0,,200000.0,10800000.0,,,
2021-06-01,,,229000000.0,19600000.0,,224300000.0,102600000.0,-40500000.0,,200000.0,-12300000.0,,,
2021-11-18,,,229000000.0,19600000.0,,224300000.0,102600000.0,-40500000.0,,200000.0,-12300000.0,,,
2022-08-02,,,222500000.0,27100000.0,,264300000.0,600000.0,-17600000.0,,200000.0,-11000000.0,,,
