datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2000-06-30,,,1953000.0,,,536000.0,21000.0,2265000.0,,,,,,
2001-08-01,,,2333000.0,,,508000.0,-1067000.0,-9164000.0,,,,,,
2001-09-28,,,2333000.0,,,508000.0,-1067000.0,-9164000.0,,,,,,
2002-03-14,,,1636000.0,,,409000.0,-1067000.0,-18743000.0,,,,,,
2002-09-26,,,1636000.0,,,409000.0,-1067000.0,-18743000.0,,,,,,
2003-04-10,,,625000.0,,,463000.0,7403000.0,-4527000.0,,,,,,
2003-09-25,,,625000.0,,,463000.0,7403000.0,-4527000.0,,,,,,
2004-03-25,,,91000.0,,,3512000.0,48000.0,-6182000.0,,,,,,
2004-09-23,,,91000.0,,,3512000.0,48000.0,-6182000.0,,,,,,
2005-04-12,,,175000.0,,,16608000.0,8000000.0,-116000.0,,-77000.0,246000.0,,,
2005-09-29,,,175000.0,,,16608000.0,8000000.0,-116000.0,,-77000.0,246000.0,,,
2006-04-19,,,597000.0,,,14523000.0,5312000.0,409000.0,5100000,-65000.0,104000.0,102000000,,102000000
2006-09-29,,,597000.0,,,14523000.0,5312000.0,409000.0,5100000,-65000.0,104000.0,102000000,,102000000
