datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2000-10-27,,,,,,,,,,,,,,
2001-05-30,,,,,,,,,,,,,,
2001-09-28,,,,,,,2705000.0,-918000.0,,,,,,
2002-06-28,,,,,,,2705000.0,-1254000.0,,,,,,
2002-09-30,,,,,,,2705000.0,-1254000.0,,,,,,
2003-06-30,,,,,,,2705000.0,-758000.0,,,,,,
2003-09-25,,,,,,,2705000.0,-758000.0,,,,,,
2004-03-29,,,,,,,499000.0,-262000.0,,,,,,
2004-09-24,,,,,,,499000.0,-262000.0,,,,,,
2005-06-29,,,,,,,1308000.0,-862000.0,,,,,,
2005-09-28,,,,,,,1308000.0,-862000.0,,,,,,
2006-06-29,,,,,,,1308000.0,-281000.0,,,,,,
2006-09-28,,,,,,,1308000.0,-281000.0,,,,,,
2007-06-26,,,,,,,1308000.0,-398000.0,,,,,,
2007-09-25,,,,,,,1308000.0,-398000.0,,,,,,
2008-06-27,,,,,,,1308000.0,-86000.0,,,,,,
2008-09-22,,,,,,,1308000.0,-86000.0,,,,,,
2009-06-26,,,,,,,20000.0,-145000.0,,,,,,
2009-09-25,,,,,,,20000.0,-145000.0,,,,,,
2010-05-05,,,,,,,200000.0,-80080.0,,,,,,
2010-08-19,,,,,,,200000.0,-80080.0,,,,,,
2011-06-03,,,,,,,17187130.0,-781280.0,,,,,,
2011-09-30,,,,,,,17187130.0,-781280.0,,,,,,
2012-06-07,,,,,,,17187130.0,-519920.0,,,,,,
