datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2000-09-30,,,6000.0,,,,1139000.0,-970000.0,,,,,,
2001-06-06,,,5000.0,,,,18040000.0,-5105000.0,,,,,,
2001-12-13,,,5000.0,,,,18040000.0,-5105000.0,,,,,,
2002-09-27,,,3000.0,,100000.0,-31000.0,1000.0,-7603000.0,,,,,,
2002-12-12,,,3000.0,,100000.0,-31000.0,1000.0,-7603000.0,,,,,,
2003-05-19,,,1000.0,,875000.0,-31000.0,8000.0,-4635000.0,,,,,,
2003-11-13,,,1000.0,,875000.0,-31000.0,8000.0,-4635000.0,,,,,,
2004-05-13,,,1000.0,,514000.0,-31000.0,2486000.0,-2546000.0,,,6000.0,,,
2004-11-11,,,1000.0,,514000.0,-31000.0,2486000.0,-2546000.0,,,6000.0,,,
2005-05-11,,,1000.0,,1953000.0,1799000.0,3821000.0,-2882000.0,,,7000.0,,,
2005-11-17,,,1000.0,,1953000.0,1799000.0,3821000.0,-2882000.0,,,7000.0,,,
2006-05-24,,,360000.0,930000.0,1953000.0,1862000.0,3020000.0,-3147000.0,,,8000.0,,,
2006-11-23,,,360000.0,930000.0,1953000.0,1862000.0,3020000.0,-3147000.0,,,8000.0,,,
2007-06-05,,,107000.0,1291000.0,1953000.0,1862000.0,1325000.0,-1107000.0,,,10000.0,,,
2007-11-20,,,107000.0,1291000.0,1953000.0,1862000.0,1325000.0,-1107000.0,,,10000.0,,,
2008-05-22,,,107000.0,2743000.0,1953000.0,6480000.0,5220000.0,924000.0,,,-1061000.0,,,
2008-11-19,,,107000.0,2743000.0,1953000.0,6480000.0,5220000.0,924000.0,,,-1061000.0,,,
2009-05-28,,,107000.0,3550000.0,367000.0,7633000.0,1231000.0,-407000.0,,,-34000.0,,,
2009-11-19,,,107000.0,3550000.0,367000.0,7633000.0,1231000.0,-407000.0,,,-34000.0,,,
2010-05-20,,,107000.0,2878000.0,432000.0,7784000.0,24000.0,1141000.0,,,58000.0,,,
2010-11-24,,,107000.0,2878000.0,432000.0,7784000.0,24000.0,1141000.0,,,58000.0,,,
2011-05-23,,,107000.0,3035000.0,665000.0,7784000.0,311000.0,1809000.0,,,19000.0,,,
2011-11-22,,,107000.0,3035000.0,665000.0,7784000.0,311000.0,1809000.0,,,19000.0,,,
2012-05-29,,,107000.0,4368000.0,20000.0,10766000.0,1533000.0,604000.0,,4000.0,6000.0,,,
2012-11-19,,,107000.0,4368000.0,20000.0,10766000.0,1533000.0,604000.0,,4000.0,6000.0,,,
