datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
1999-09-30,,,,,,,,6909000.0,,,,,,
2000-03-31,,,,,,,,8590000.0,,,,,,
2000-10-27,,,,,,,,8590000.0,,,,,,
2001-04-25,,,,,,608000.0,,7282000.0,,,,,,
2001-10-26,,,,,,608000.0,,7282000.0,,,,,,
2002-04-25,,,,,,2685000.0,,7284000.0,,,,,,
2002-10-24,,,,,,2685000.0,,7284000.0,,,,,,
2003-04-24,,,,,,2390000.0,,9176000.0,,,,,,
2003-10-23,,,,,,2390000.0,,9176000.0,,,,,,
2004-04-22,,,,,,2092000.0,,8884000.0,,,,,,
2004-10-26,,,,,,2092000.0,,8884000.0,,,,,,
2005-04-26,,,287023000.0,14842000.0,,4458000.0,,11288000.0,,,5462000.0,,,
2005-10-24,,,287023000.0,14842000.0,,4458000.0,,11288000.0,,,5462000.0,,,
2006-04-24,,,292590000.0,12607000.0,,6369000.0,202000.0,10640000.0,,,4390000.0,,,
2006-10-23,,,292590000.0,12607000.0,,6369000.0,202000.0,10640000.0,,,4390000.0,,,
2007-04-23,,,294880000.0,10716000.0,,6376000.0,34000.0,10508000.0,,,2856000.0,,,
