datadate,aps,rects,xads,obs,capxs,dms,ches,oancfs,cogss,drcs,drlts,dps,ebits,ebitdas,emps,gdwlias,dvts,txps,xints,intans,nopis,scstkcs,nis,ibs,pis,acos,lcos,aos,los,ppegts,ppents,pstkqs,xrds,revts,fatls,xsgas,spis,txfeds,txdis,txts,ats,lcts,acts,dlcs,ceqs,invts,lts,pstks,dcvts,dcpstks,txfos,dltts,drs,dcs
2003-09-26,,,,,,,,,244400000.0,,,,,,,,,,,,,,5100000.0,5100000.0,11600000.0,,,,,,,,,525800000.0,,,-17300000.0,,,,,,,,,,,,,,,,,
2004-05-19,,6800000.0,,,19300000.0,600000.0,25600000.0,80200000.0,269000000.0,,4600000.0,29700000.0,,,9209,253100000.0,,10100000.0,38100000.0,253100000.0,2700000.0,,13500000.0,13500000.0,27800000.0,,11600000.0,,5600000.0,221600000.0,82500000.0,,,578600000.0,,,-16000000.0,,-1000000.0,14300000.0,491800000.0,293800000.0,156200000.0,560700000.0,4500000.0,107100000.0,487300000.0,,,,14300000.0,185600000.0,4600000.0,
2004-11-25,,6800000.0,,,19300000.0,600000.0,25600000.0,80200000.0,269000000.0,,4600000.0,29700000.0,,,9209,253100000.0,,10100000.0,38100000.0,253100000.0,2700000.0,,13500000.0,13500000.0,27800000.0,,11600000.0,,5600000.0,221600000.0,82500000.0,,,578600000.0,,,-16000000.0,,-1000000.0,14300000.0,491800000.0,293800000.0,156200000.0,560700000.0,4500000.0,107100000.0,487300000.0,,,,14300000.0,185600000.0,4600000.0,
2005-06-09,,3800000.0,,,27600000.0,13000000.0,1100000.0,84800000.0,292000000.0,,4600000.0,18500000.0,,,9940,253100000.0,27400000.0,13300000.0,15400000.0,259300000.0,400000.0,135100000.0,51100000.0,51100000.0,74300000.0,,15600000.0,,11600000.0,252400000.0,97800000.0,,,628400000.0,,251100000.0,-16000000.0,,-100000.0,23200000.0,490100000.0,166400000.0,133000000.0,314800000.0,175700000.0,108300000.0,314400000.0,,,,23200000.0,131300000.0,4600000.0,
2005-11-24,,3800000.0,,,27600000.0,13000000.0,1100000.0,84800000.0,292000000.0,,4600000.0,18500000.0,,,9940,253100000.0,27400000.0,13300000.0,15400000.0,259300000.0,400000.0,135100000.0,51100000.0,51100000.0,74300000.0,,15600000.0,,11600000.0,252400000.0,97800000.0,,,628400000.0,,251100000.0,-16000000.0,,-100000.0,23200000.0,490100000.0,166400000.0,133000000.0,314800000.0,175700000.0,108300000.0,314400000.0,,,,23200000.0,131300000.0,4600000.0,
2006-03-31,,3800000.0,,,27600000.0,13000000.0,1100000.0,84800000.0,292000000.0,,4600000.0,18500000.0,92200000.0,110600000.0,9940,253100000.0,27400000.0,13300000.0,15400000.0,259300000.0,400000.0,135100000.0,51100000.0,51100000.0,74300000.0,,15600000.0,,11600000.0,252400000.0,97800000.0,,,628400000.0,,251100000.0,-16000000.0,,-100000.0,23200000.0,490100000.0,166400000.0,133000000.0,314800000.0,175700000.0,108300000.0,314400000.0,,,,23200000.0,131300000.0,4600000.0,
2006-06-08,,9000000.0,,,27500000.0,12700000.0,1500000.0,64600000.0,335000000.0,,4600000.0,21500000.0,92200000.0,110600000.0,10069,253100000.0,29000000.0,13100000.0,12500000.0,258800000.0,400000.0,300000.0,53600000.0,53600000.0,77000000.0,1200000.0,15800000.0,1200000.0,24800000.0,276500000.0,104100000.0,,,681700000.0,,257600000.0,-16000000.0,,-1200000.0,23400000.0,522200000.0,179700000.0,159300000.0,286900000.0,202500000.0,127200000.0,319700000.0,,,,23400000.0,111700000.0,4600000.0,
2006-11-23,,9000000.0,,,27500000.0,12700000.0,1500000.0,64600000.0,335000000.0,,4600000.0,21500000.0,89100000.0,110600000.0,10069,253100000.0,29000000.0,13100000.0,12500000.0,258800000.0,400000.0,300000.0,53600000.0,53600000.0,77000000.0,1200000.0,15800000.0,1200000.0,24800000.0,276500000.0,104100000.0,,,681700000.0,,257600000.0,-16000000.0,,-1200000.0,23400000.0,522200000.0,179700000.0,159300000.0,286900000.0,202500000.0,127200000.0,319700000.0,,,,23400000.0,111700000.0,4600000.0,
2007-06-07,,12000000.0,,,23900000.0,12400000.0,24800000.0,78900000.0,367900000.0,3000000.0,4600000.0,20900000.0,93500000.0,114400000.0,10325,253100000.0,30700000.0,13400000.0,11200000.0,257800000.0,1200000.0,-30000000.0,57400000.0,57400000.0,80900000.0,1200000.0,21100000.0,1300000.0,26000000.0,298300000.0,107500000.0,,,744000000.0,,282600000.0,-2600000.0,,-2200000.0,23500000.0,565600000.0,144100000.0,199000000.0,396300000.0,203100000.0,141600000.0,362500000.0,,,,23500000.0,191500000.0,3000000.0,
2007-11-22,,12000000.0,,,23900000.0,12400000.0,24800000.0,78900000.0,367900000.0,3000000.0,4600000.0,20900000.0,93500000.0,114400000.0,10325,253100000.0,30700000.0,13400000.0,11200000.0,257800000.0,1200000.0,-30000000.0,57400000.0,57400000.0,80900000.0,1200000.0,21100000.0,1300000.0,26000000.0,298300000.0,107500000.0,,,744000000.0,,282600000.0,-2600000.0,,-2200000.0,23500000.0,565600000.0,144100000.0,199000000.0,396300000.0,203100000.0,141600000.0,362500000.0,,,,23500000.0,191500000.0,3000000.0,
