datadate,aps,rects,xads,obs,capxs,dms,ches,oancfs,cogss,drcs,drlts,dps,ebits,ebitdas,emps,gdwlias,dvts,txps,xints,intans,nopis,scstkcs,nis,ibs,pis,acos,lcos,aos,los,ppegts,ppents,pstkqs,xrds,revts,fatls,xsgas,spis,txfeds,txdis,txts,ats,lcts,acts,dlcs,ceqs,invts,lts,pstks,dcvts,dcpstks,txfos,dltts,drs,dcs
2000-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-29,88200000.0,15800000.0,,,33000000.0,,600000.0,24900000.0,540800000.0,,,23500000.0,,,6368,,12700000.0,6300000.0,9000000.0,,1300000.0,,9700000.0,9700000.0,20000000.0,1300000.0,38700000.0,1300000.0,16600000.0,356700000.0,264800000.0,,,815700000.0,,251300000.0,6600000.0,,,,423600000.0,162000000.0,133200000.0,10400000.0,244800000.0,96400000.0,178800000.0,,,,,,,
2000-07-31,88200000.0,15800000.0,,,33000000.0,,600000.0,24900000.0,540800000.0,,,23500000.0,25200000.0,48700000.0,6368,,12700000.0,6300000.0,9000000.0,,1300000.0,,9700000.0,9700000.0,20000000.0,1300000.0,38700000.0,1300000.0,16600000.0,356700000.0,264800000.0,,,815700000.0,,251300000.0,6600000.0,,,,423600000.0,162000000.0,133200000.0,10400000.0,244800000.0,96400000.0,178800000.0,,,,,,,
2001-01-27,77800000.0,13300000.0,,,60100000.0,,700000.0,8600000.0,560100000.0,,,25600000.0,25200000.0,48700000.0,6784,,12700000.0,6500000.0,5200000.0,,1500000.0,,10500000.0,10500000.0,17900000.0,1300000.0,41600000.0,1300000.0,10400000.0,405400000.0,308300000.0,,,847300000.0,,267000000.0,100000.0,,,,478300000.0,162900000.0,142900000.0,138300000.0,219600000.0,104800000.0,258700000.0,,,,,61000000.0,,
2001-01-31,77800000.0,13300000.0,,,60100000.0,,700000.0,8600000.0,560100000.0,,,25600000.0,25200000.0,48700000.0,6784,,12700000.0,6500000.0,5200000.0,,1500000.0,,10500000.0,10500000.0,17900000.0,1300000.0,41600000.0,1300000.0,10400000.0,405400000.0,308300000.0,,,847300000.0,,267000000.0,100000.0,,,,478300000.0,162900000.0,142900000.0,138300000.0,219600000.0,104800000.0,258700000.0,,,,,61000000.0,,
2001-07-31,77800000.0,13300000.0,,,60100000.0,,700000.0,8600000.0,560100000.0,,,25600000.0,27300000.0,49600000.0,6784,,12700000.0,6500000.0,5200000.0,,1500000.0,,10500000.0,10500000.0,17900000.0,1300000.0,41600000.0,1300000.0,10400000.0,405400000.0,308300000.0,,,847300000.0,,267000000.0,100000.0,,,,478300000.0,162900000.0,142900000.0,138300000.0,219600000.0,104800000.0,258700000.0,,,,,61000000.0,,
2001-10-26,77800000.0,13300000.0,,,60100000.0,,700000.0,8600000.0,560100000.0,,,25600000.0,27300000.0,49600000.0,6784,,12700000.0,6500000.0,5200000.0,,1500000.0,,10500000.0,10500000.0,17900000.0,1300000.0,41600000.0,1300000.0,10400000.0,405400000.0,308300000.0,,,847300000.0,,267000000.0,100000.0,,,,478300000.0,162900000.0,142900000.0,138300000.0,219600000.0,104800000.0,258700000.0,,,,,61000000.0,,
2002-01-31,77800000.0,13300000.0,,,60100000.0,,700000.0,8600000.0,560100000.0,,,25600000.0,27300000.0,49600000.0,6784,,12700000.0,6500000.0,5200000.0,,1500000.0,,10500000.0,10500000.0,17900000.0,1300000.0,41600000.0,1300000.0,10400000.0,405400000.0,308300000.0,,,847300000.0,,267000000.0,100000.0,,,,478300000.0,162900000.0,142900000.0,138300000.0,219600000.0,104800000.0,258700000.0,,,,,61000000.0,,
2002-03-26,84200000.0,14600000.0,,,30900000.0,,700000.0,55100000.0,629100000.0,,,27400000.0,27300000.0,49600000.0,7107,,12700000.0,9800000.0,8500000.0,,1500000.0,,14600000.0,14600000.0,22800000.0,1300000.0,51000000.0,1300000.0,7800000.0,423800000.0,301600000.0,,,956700000.0,,296500000.0,-2600000.0,,,,489300000.0,171700000.0,155800000.0,120800000.0,228200000.0,111400000.0,261100000.0,,,,,55000000.0,,
2002-09-24,84200000.0,14600000.0,,,30900000.0,,700000.0,55100000.0,629100000.0,,,27400000.0,27300000.0,49600000.0,7107,,12700000.0,9800000.0,8500000.0,,1500000.0,,14600000.0,14600000.0,22800000.0,1300000.0,51000000.0,1300000.0,7800000.0,423800000.0,301600000.0,,,956700000.0,,296500000.0,-2600000.0,,,,489300000.0,171700000.0,155800000.0,120800000.0,228200000.0,111400000.0,261100000.0,,,,,55000000.0,,
2003-03-21,85300000.0,15700000.0,,,24900000.0,,600000.0,38800000.0,368300000.0,,,28800000.0,27300000.0,49600000.0,6989,,12600000.0,12800000.0,6200000.0,,1500000.0,,6900000.0,6900000.0,15600000.0,1300000.0,54500000.0,600000.0,92000000.0,425400000.0,282100000.0,,,703500000.0,,311800000.0,-3900000.0,,,,476200000.0,177900000.0,144000000.0,100400000.0,138800000.0,110700000.0,337400000.0,,,,,45000000.0,,
2003-09-19,85300000.0,15700000.0,,,24900000.0,,600000.0,38800000.0,368300000.0,,,28800000.0,27300000.0,49600000.0,6989,,12600000.0,12800000.0,6200000.0,,1500000.0,,6900000.0,6900000.0,15600000.0,1300000.0,54500000.0,600000.0,92000000.0,425400000.0,282100000.0,,,703500000.0,,311800000.0,-3900000.0,,,,476200000.0,177900000.0,144000000.0,100400000.0,138800000.0,110700000.0,337400000.0,,,,,45000000.0,,
2004-03-23,147800000.0,36800000.0,,,44800000.0,,600000.0,34700000.0,357000000.0,,,28900000.0,27300000.0,49600000.0,6989,,12800000.0,9300000.0,5700000.0,1100000.0,-4100000.0,100000.0,13400000.0,13400000.0,18600000.0,1300000.0,9300000.0,49400000.0,176700000.0,425400000.0,226300000.0,,,693600000.0,,302200000.0,-8400000.0,,,,469100000.0,161200000.0,148500000.0,114100000.0,54200000.0,111100000.0,414900000.0,,,,,55000000.0,,
2004-09-29,147800000.0,36800000.0,,,44800000.0,,600000.0,34700000.0,357000000.0,,,28900000.0,27300000.0,49600000.0,6989,,12800000.0,9300000.0,5700000.0,1100000.0,-4100000.0,100000.0,13400000.0,13400000.0,18600000.0,1300000.0,9300000.0,49400000.0,176700000.0,425400000.0,226300000.0,,,693600000.0,,302200000.0,-8400000.0,,,,469100000.0,161200000.0,148500000.0,114100000.0,54200000.0,111100000.0,414900000.0,,,,,55000000.0,,
2005-03-17,159800000.0,48400000.0,,,66200000.0,3000000.0,5800000.0,47700000.0,323900000.0,,,24800000.0,27300000.0,49600000.0,6989,,12900000.0,10200000.0,5800000.0,3800000.0,1200000.0,-600000.0,52500000.0,52500000.0,58900000.0,1300000.0,10200000.0,50000000.0,168100000.0,425400000.0,250500000.0,,,649600000.0,,296700000.0,31600000.0,7400000.0,3300000.0,6400000.0,522100000.0,176100000.0,162900000.0,112100000.0,96800000.0,108700000.0,425300000.0,,,,-1000000.0,53000000.0,,
2005-09-28,159800000.0,48400000.0,,,66200000.0,3000000.0,5800000.0,47700000.0,323900000.0,,,24800000.0,27300000.0,49600000.0,6989,,12900000.0,10200000.0,5800000.0,3800000.0,1200000.0,-600000.0,52500000.0,52500000.0,58900000.0,1300000.0,10200000.0,50000000.0,168100000.0,425400000.0,250500000.0,,,649600000.0,,296700000.0,31600000.0,7400000.0,3300000.0,6400000.0,522100000.0,176100000.0,162900000.0,112100000.0,96800000.0,108700000.0,425300000.0,,,,-1000000.0,53000000.0,,
2006-03-24,206200000.0,48400000.0,,,47200000.0,2400000.0,11400000.0,56800000.0,349100000.0,,,25600000.0,27300000.0,49600000.0,8074,28700000.0,12900000.0,8200000.0,8100000.0,47700000.0,-200000.0,-100000.0,18200000.0,18200000.0,22300000.0,1300000.0,8200000.0,64200000.0,201700000.0,425400000.0,293500000.0,,,709100000.0,,341100000.0,900000.0,-1800000.0,9200000.0,4100000.0,646800000.0,222600000.0,185900000.0,203000000.0,90900000.0,122400000.0,555900000.0,,,,5900000.0,97400000.0,,
2006-09-27,206200000.0,48400000.0,,,47200000.0,2400000.0,11400000.0,56800000.0,349100000.0,,,25600000.0,27300000.0,49600000.0,8074,28700000.0,12900000.0,8200000.0,8100000.0,47700000.0,-200000.0,-100000.0,18200000.0,18200000.0,22300000.0,1300000.0,8200000.0,64200000.0,201700000.0,425400000.0,293500000.0,,,709100000.0,,341100000.0,900000.0,-1800000.0,9200000.0,4100000.0,646800000.0,222600000.0,185900000.0,203000000.0,90900000.0,122400000.0,555900000.0,,,,5900000.0,97400000.0,,
