datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
1999-06-30,,,6400000.0,46300000.0,,21500000.0,200000.0,-365500000.0,,,,,,
1999-12-31,,,1700000.0,13100000.0,,4700000.0,200000.0,266800000.0,,2400000.0,27100000.0,,,
2000-08-07,,,1700000.0,13100000.0,,4700000.0,200000.0,266800000.0,,2400000.0,27100000.0,,,
2001-03-05,,,500000.0,25500000.0,,3700000.0,200000.0,47600000.0,,-700000.0,18200000.0,,,
2001-08-06,,,500000.0,25500000.0,,3700000.0,200000.0,47600000.0,,-700000.0,18200000.0,,,
2002-03-04,,,1000000.0,23500000.0,,76200000.0,-45100000.0,22400000.0,,3200000.0,29300000.0,,,
2002-08-05,,,1000000.0,23500000.0,,76200000.0,-45100000.0,22400000.0,,3200000.0,29300000.0,,,
2003-03-03,,,1000000.0,28800000.0,,82900000.0,900000.0,76300000.0,,2000000.0,28900000.0,,,
2003-08-04,,,1000000.0,28800000.0,,82900000.0,900000.0,76300000.0,,2000000.0,28900000.0,,,
2004-03-01,,,100000.0,37300000.0,,60900000.0,900000.0,127000000.0,,1400000.0,39300000.0,,,
2004-08-02,,,100000.0,37300000.0,,60900000.0,900000.0,127000000.0,,1400000.0,39300000.0,,,
2005-02-28,,,100000.0,34100000.0,,71500000.0,2900000.0,116400000.0,,4600000.0,43600000.0,,,
2005-08-01,,,100000.0,34100000.0,,71500000.0,2900000.0,116400000.0,,4600000.0,43600000.0,,,
2006-03-06,,,100000.0,38100000.0,,63500000.0,-28500000.0,126600000.0,,1100000.0,46900000.0,,,
2006-08-03,,,100000.0,38100000.0,,63500000.0,-28500000.0,126600000.0,,1100000.0,46900000.0,,,
2007-03-06,,,100000.0,38100000.0,,141300000.0,-30300000.0,173900000.0,,6900000.0,37100000.0,,,
2007-08-02,,,100000.0,38100000.0,,141300000.0,-30300000.0,173900000.0,,6900000.0,37100000.0,,,
2008-02-26,,,5700000.0,38100000.0,,389600000.0,265100000.0,177000000.0,,6800000.0,57900000.0,,,
2008-07-28,,,5700000.0,38100000.0,,389600000.0,265100000.0,177000000.0,,6800000.0,57900000.0,,,
2009-03-19,,,4600000.0,38100000.0,,508900000.0,-17200000.0,51400000.0,,-3600000.0,52900000.0,,,
2009-07-29,,,4600000.0,38100000.0,,508900000.0,-17200000.0,51400000.0,,-3600000.0,52900000.0,,,
2010-03-10,,,3500000.0,38100000.0,,510000000.0,233600000.0,92000000.0,,5800000.0,41700000.0,,,
2010-07-29,,,3500000.0,38100000.0,,510000000.0,233600000.0,92000000.0,,5800000.0,41700000.0,,,
2011-03-08,,,2900000.0,38100000.0,,512100000.0,-400000.0,127900000.0,,19200000.0,59100000.0,,,
2011-07-28,,,2900000.0,38100000.0,,512100000.0,-400000.0,127900000.0,,19200000.0,59100000.0,,,
2012-03-13,,,2900000.0,38100000.0,,502300000.0,400000.0,142200000.0,,7000000.0,55600000.0,,,
2012-07-31,,,2900000.0,38100000.0,,502300000.0,400000.0,142200000.0,,7000000.0,55600000.0,,,
2013-03-12,,,2900000.0,38100000.0,,509700000.0,7800000.0,181500000.0,,2400000.0,60300000.0,,,
2013-08-02,,,2900000.0,38100000.0,,509700000.0,7800000.0,181500000.0,,2400000.0,60300000.0,,,
2014-03-11,,,4500000.0,38100000.0,,525900000.0,-42900000.0,194200000.0,,2400000.0,65300000.0,,,
2014-07-31,,,4500000.0,38100000.0,,525900000.0,-42900000.0,194200000.0,,2400000.0,65300000.0,,,
2015-03-10,,,3500000.0,38100000.0,,402600000.0,-97800000.0,179600000.0,,2400000.0,68600000.0,,,
2015-07-30,,,3500000.0,38100000.0,,402600000.0,-97800000.0,179600000.0,,2400000.0,68600000.0,,,
2016-03-15,,,2600000.0,38100000.0,,345300000.0,-110300000.0,175800000.0,,6200000.0,79700000.0,,,
2016-07-28,,,2600000.0,38100000.0,,345300000.0,-110300000.0,175800000.0,,6200000.0,79700000.0,,,
2017-03-01,,,3400000.0,38100000.0,,385000000.0,-120700000.0,184400000.0,,6000000.0,76500000.0,,,
2017-07-27,,,3400000.0,38100000.0,,385000000.0,-120700000.0,184400000.0,,6000000.0,76500000.0,,,
2018-02-27,,,365900000.0,38100000.0,,385000000.0,-61300000.0,267700000.0,,3900000.0,93400000.0,,,
2018-07-26,,,365900000.0,38100000.0,,385000000.0,-61300000.0,267700000.0,,3900000.0,93400000.0,,,
2019-02-28,,,394100000.0,38100000.0,,385000000.0,-12600000.0,32400000.0,,100000.0,73600000.0,,,
2019-07-25,,,394100000.0,38100000.0,,385000000.0,-12600000.0,32400000.0,,100000.0,73600000.0,,,
2020-02-27,,,296000000.0,38100000.0,,215700000.0,-108600000.0,322900000.0,,100000.0,73100000.0,,,
2020-07-30,,,296000000.0,38100000.0,,215700000.0,-108600000.0,322900000.0,,100000.0,73100000.0,,,
2021-02-25,,,274300000.0,160800000.0,54800000.0,119000000.0,-32100000.0,-140100000.0,,-700000.0,9000000.0,,,
2021-07-29,,,274300000.0,160800000.0,54800000.0,119000000.0,-32100000.0,-140100000.0,,-700000.0,9000000.0,,,
2022-02-24,,,267600000.0,172100000.0,51600000.0,116300000.0,-86700000.0,117000000.0,,100000.0,64600000.0,,,
2022-07-28,,,267600000.0,172100000.0,51600000.0,116300000.0,-86700000.0,117000000.0,,100000.0,64600000.0,,,
2023-03-23,,,416000000.0,261300000.0,34800000.0,270300000.0,-73300000.0,-11200000.0,,100000.0,98200000.0,,,
