datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2000-06-30,,,51000.0,83000.0,,,156000.0,-147000.0,,,,150000,,150000
2001-04-12,,,46000.0,96000.0,,,4118000.0,-2593000.0,,,,150000,,150000
2001-09-13,,,46000.0,96000.0,,,4118000.0,-2593000.0,,,,150000,,150000
2002-04-18,,,25000.0,107000.0,,,1319000.0,-1344000.0,,,,150000,,150000
2002-09-13,,,25000.0,107000.0,,,1319000.0,-1344000.0,,,,150000,,150000
2002-12-31,,,25000.0,107000.0,,,1319000.0,-1344000.0,,,,150000,,150000
2003-09-18,,,25000.0,12000.0,,,6307000.0,-2235000.0,,,,150000,,150000
2004-04-06,,,132000.0,12000.0,,265000.0,41000.0,-1839000.0,,,,150000,,150000
2004-09-15,,,132000.0,12000.0,,265000.0,41000.0,-1839000.0,,,,150000,,150000
2005-04-11,,,132000.0,12000.0,,333000.0,188000.0,302000.0,,-116000.0,-173000.0,150000,,150000
2005-09-26,,,132000.0,12000.0,,333000.0,188000.0,302000.0,,-116000.0,-173000.0,150000,,150000
2006-04-11,,,68000.0,12000.0,,665000.0,124000.0,-324000.0,,-177000.0,-177000.0,150000,,150000
2006-09-19,,,68000.0,12000.0,,665000.0,124000.0,-324000.0,,-177000.0,-177000.0,150000,,150000
2007-03-26,,,260000.0,12000.0,,730000.0,150000.0,1161000.0,,41000.0,-4000.0,150000,,150000
2007-09-12,,,260000.0,12000.0,,730000.0,150000.0,1161000.0,,41000.0,-4000.0,150000,,150000
2008-03-10,,,178000.0,12000.0,,691000.0,494000.0,3650000.0,,41000.0,516000.0,150000,,150000
2008-08-27,,,178000.0,12000.0,,691000.0,494000.0,3650000.0,,41000.0,516000.0,150000,,150000
2009-03-24,,,186000.0,12000.0,,691000.0,119000.0,3728000.0,,606000.0,1275000.0,150000,,150000
2009-08-18,,,186000.0,12000.0,,691000.0,119000.0,3728000.0,,606000.0,1275000.0,150000,,150000
2010-03-16,,,41000.0,12000.0,,691000.0,21000.0,4303000.0,,892000.0,1553000.0,150000,,150000
2010-09-15,,,41000.0,12000.0,,691000.0,21000.0,4303000.0,,892000.0,1553000.0,150000,,150000
2011-03-15,,,41000.0,12000.0,,691000.0,64000.0,2407000.0,,539000.0,854000.0,150000,,150000
2011-08-31,,,41000.0,12000.0,,691000.0,64000.0,2407000.0,,539000.0,854000.0,150000,,150000
2012-03-20,,,41000.0,12000.0,,691000.0,3000.0,3865000.0,,811000.0,1136000.0,150000,,150000
2012-08-29,,,41000.0,12000.0,,691000.0,3000.0,3865000.0,,811000.0,1136000.0,150000,,150000
2013-04-11,,,41000.0,12000.0,,691000.0,46000.0,3994000.0,,19000.0,-41000.0,150000,,150000
2013-08-28,,,41000.0,12000.0,,691000.0,46000.0,3994000.0,,19000.0,-41000.0,150000,,150000
2014-03-18,,,41000.0,12000.0,,691000.0,566000.0,3051000.0,,184000.0,30000.0,150000,,150000
2014-08-26,,,41000.0,12000.0,,691000.0,566000.0,3051000.0,,184000.0,30000.0,150000,,150000
2015-03-18,,,348000.0,12000.0,,691000.0,100000.0,-1017000.0,,184000.0,30000.0,150000,,150000
2015-08-26,,,348000.0,12000.0,,691000.0,100000.0,-1017000.0,,184000.0,30000.0,150000,,150000
2016-04-29,,,348000.0,12000.0,,691000.0,130000.0,35138000.0,,105000.0,-5000.0,150000,,150000
2016-08-24,,,348000.0,12000.0,,691000.0,130000.0,35138000.0,,105000.0,-5000.0,150000,,150000
2017-03-07,,,348000.0,12000.0,,691000.0,-42020000.0,397000.0,,42000.0,-321000.0,150000,,150000
2017-07-26,,,348000.0,12000.0,,691000.0,-42020000.0,397000.0,,42000.0,-321000.0,150000,,150000
2018-03-07,,,348000.0,12000.0,,691000.0,-34000.0,2692000.0,,42000.0,-321000.0,150000,,150000
2018-07-24,,,348000.0,12000.0,,691000.0,-34000.0,2692000.0,,42000.0,-321000.0,150000,,150000
