datadate,aps,rects,xads,obs,capxs,dms,ches,oancfs,cogss,drcs,drlts,dps,ebits,ebitdas,emps,gdwlias,dvts,txps,xints,intans,nopis,scstkcs,nis,ibs,pis,acos,lcos,aos,los,ppegts,ppents,pstkqs,xrds,revts,fatls,xsgas,spis,txfeds,txdis,txts,ats,lcts,acts,dlcs,ceqs,invts,lts,pstks,dcvts,dcpstks,txfos,dltts,drs,dcs
2011-06-30,,158780.0,,,8023.0,,29367.0,-113867.0,21512.0,,,13974.407,,,4,,,,12161.0,,,,-39806.0,-39806.0,-39806.0,,48266.0,,,46683.0,17514.0,,,155538.0,,161671.0,,,,,205662.0,129759.0,188148.0,279423.0,-45048.0,,250710.0,,,,,120944.0,,
2011-12-31,,158780.0,,,8023.0,,29367.0,-113867.0,21512.0,,,13974.407,,,4,,,,12161.0,,,,-39806.0,-39806.0,-39806.0,,48266.0,,,46683.0,17514.0,,,155538.0,,161671.0,,,,,205662.0,129759.0,188148.0,279423.0,-45048.0,,250710.0,,,,,120944.0,,
2012-10-05,,61140.0,,,6311.0,,93634.0,-146537.0,281998.0,,,14268.892,,,14,,,,29585.0,,,166381.018,-421150.0,-421150.0,-421150.0,2266.0,23380.0,2266.0,,53364.0,9765.0,,,554167.0,,663734.0,,,,,170982.0,265215.0,161217.0,277304.0,-214059.0,,385035.0,,,,,119820.0,,
2012-12-31,,61140.0,,,6311.0,,93634.0,-146537.0,281998.0,,,14268.892,,,14,,,,29585.0,,,166381.018,-421150.0,-421150.0,-421150.0,2266.0,23380.0,2266.0,,53364.0,9765.0,,,554167.0,,663734.0,,,,,170982.0,265215.0,161217.0,277304.0,-214059.0,,385035.0,,,,,119820.0,,
2013-04-09,,1017469.0,,,173474.0,,2740363.0,-1364922.0,1312360.0,200789.0,,26331.516,,,37,,,,9648.0,128245.0,1603.0,4621386.129,-1100888.0,-1100888.0,-1181460.0,246.0,208296.0,246.0,,75682.0,24583.0,,54095.0,1771518.0,,1476047.0,-60897.546,,,,3929902.0,876443.0,3777074.0,18572.0,3044173.0,,885729.0,,,,,9286.0,200789.0,
2013-06-30,,1017469.0,,,173474.0,,2740363.0,-1364922.0,1312360.0,200789.0,,26331.516,-1150710.1,-1123296.7,37,,,,9648.0,128245.0,1603.0,4621386.129,-1100888.0,-1100888.0,-1181460.0,246.0,208296.0,246.0,,75682.0,24583.0,,54095.0,1771518.0,,1476047.0,-60897.546,,,,3929902.0,876443.0,3777074.0,18572.0,3044173.0,,885729.0,,,,,9286.0,200789.0,
2013-09-24,,1017469.0,,,173474.0,,2740363.0,-1364922.0,1312360.0,200789.0,,26331.516,-1150710.1,-1123296.7,37,,,,9648.0,128245.0,1603.0,4621386.129,-1100888.0,-1100888.0,-1181460.0,246.0,208296.0,246.0,,75682.0,24583.0,,54095.0,1771518.0,,1476047.0,-60897.546,,,,3929902.0,876443.0,3777074.0,18572.0,3044173.0,,885729.0,,,,,9286.0,200789.0,
2013-12-31,,1017469.0,,,173474.0,,2740363.0,-1364922.0,1312360.0,200789.0,,26331.516,-1150710.1,-1123296.7,37,,,,9648.0,128245.0,1603.0,4621386.129,-1100888.0,-1100888.0,-1181460.0,246.0,208296.0,246.0,,75682.0,24583.0,,54095.0,1771518.0,,1476047.0,-60897.546,,,,3929902.0,876443.0,3777074.0,18572.0,3044173.0,,885729.0,,,,,9286.0,200789.0,
2014-05-23,202978.0,2280754.0,,,696967.0,,5775217.0,-3532610.0,1797922.0,751600.0,,123549.941,-1150710.1,-1123296.7,59,,,,19.0,580254.0,19944.0,7653322.726,-4010526.0,-4010526.0,-4164426.0,2295.0,754191.0,2295.0,,178576.0,105128.0,,113393.0,2225767.0,,4288168.0,-2871.916,,,,8872025.0,2290352.0,8186643.0,9320.0,6581673.0,,2290352.0,,,,,9286.0,751600.0,
2014-06-30,202978.0,2280754.0,,,696967.0,,5775217.0,-3532610.0,1797922.0,751600.0,,123549.941,-3900197.52,-1123296.7,59,,,,19.0,580254.0,19944.0,7653322.726,-4010526.0,-4010526.0,-4164426.0,2295.0,754191.0,2295.0,,178576.0,105128.0,,113393.0,2225767.0,,4288168.0,-2871.916,,,,8872025.0,2290352.0,8186643.0,9320.0,6581673.0,,2290352.0,,,,,9286.0,751600.0,
