datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2000-09-28,,,7108000.0,,,2231000.0,632000.0,42761000.0,,,,,,
2001-03-31,,,5812000.0,,,11048000.0,1194000.0,25145000.0,,,,,,
2001-08-14,,,5812000.0,,,11048000.0,1194000.0,25145000.0,,,,,,
2002-02-19,,,2395000.0,,,22015000.0,-26841000.0,40400000.0,,,,,,
2002-08-20,,,2395000.0,,,22015000.0,-26841000.0,40400000.0,,,,,,
2003-03-11,,,14800000.0,,,21900000.0,-3000000.0,37700000.0,,,,,,
2003-09-09,,,14800000.0,,,21900000.0,-3000000.0,37700000.0,,,,,,
2004-03-16,,,18400000.0,,,21000000.0,-39600000.0,35700000.0,,,,,,
2004-09-07,,,18400000.0,,,21000000.0,-39600000.0,35700000.0,,,,,,
2005-03-15,,,18900000.0,,,20600000.0,-600000.0,41300000.0,,,,,,
