datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2016-04-30,,,,,,,185695000.0,15196000.0,,,,,,
2016-10-31,,,,,,,102025000.0,14227000.0,,,,,,
2017-06-15,,,,,,,102025000.0,14227000.0,,,,,,
2018-02-12,,,,,,,122818000.0,16181000.0,,,,,,
2018-06-21,,,,,,,122818000.0,16181000.0,,,,,,
2019-01-29,,,,,,,189646000.0,11231000.0,,,,,,
2019-06-20,,,,,,,189646000.0,11231000.0,,,,,,
2020-04-16,,,,,,,189646000.0,67280000.0,,,,,,
2020-09-28,,,,,,,189646000.0,67280000.0,,,,,,
2021-04-23,,,,,,,111661000.0,75323000.0,,,,,,
2021-09-28,,,,,,,111661000.0,75323000.0,,,,,,
2022-04-21,,,,,,,222181000.0,216557000.0,,,,,,
2022-09-21,,,,,,,222181000.0,216557000.0,,,,,,
2023-04-25,,,,,,,49790000.0,-319215000.0,,,,,,
