datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2002-06-30,,,277147.13,,,-3582281.39,687710.0,3027987.13,,,,,,
2003-03-10,,,695838.33,,,11042786.7,1656728.37,3168205.92,,,396646.47,,,
2003-09-22,,,695838.33,,,11042786.7,1656728.37,3168205.92,,,396646.47,,,
2004-04-15,,,501316.35,,,11042786.7,14372375.67,5815829.79,,,2951885.1,,,
2004-09-22,,,501316.35,,,11042786.7,14372375.67,5815829.79,,,2951885.1,,,
2005-04-18,,,126668.61,,,-1447045.52,36064064.95,7984813.86,,,4302041.31,,,
2005-09-22,,,126668.61,,,-1447045.52,36064064.95,7984813.86,,,4302041.31,,,
2006-04-24,,,126668.61,,,-102259.52,12397223.74,7701420.1,,,3504712.64,,,
2006-09-21,,,126668.61,,,-102259.52,12397223.74,7701420.1,,,3504712.64,,,
2007-04-23,,,126668.61,4467050.0,,6838925.92,9098487.44,16329492.72,,,6505045.84,,,
2007-09-24,,,126668.61,4467050.0,,6838925.92,9098487.44,16329492.72,,,6505045.84,,,
2008-04-21,,,126668.61,3986461.2,,7969899.3,9098487.44,19482367.95,,682212.9,7839906.0,,,
2008-09-22,,,126668.61,3986461.2,,7969899.3,9098487.44,19482367.95,,682212.9,7839906.0,,,
2009-04-20,,,126668.61,1211534.12,,14819414.25,9098487.44,15042987.42,,-626962.07,12062695.53,,,
2009-08-27,,,126668.61,1211534.12,,14819414.25,9098487.44,15042987.42,,-626962.07,12062695.53,,,
2010-03-25,,,126668.61,1539552.48,,13417692.0,62693276.0,88642813.76,,290948.8,32562123.04,,,
2010-09-10,,,126668.61,1539552.48,,13417692.0,62693276.0,88642813.76,,290948.8,32562123.04,,,
2011-03-31,,,126668.61,2252078.91,,13895192.25,215446318.11,12678441.39,,290948.8,29635383.96,,,
2011-07-21,,,126668.61,2252078.91,,13895192.25,215446318.11,12678441.39,,290948.8,29635383.96,,,
2012-03-28,,,126668.61,4972016.04,,13952414.25,215446318.11,148622983.35,,290948.8,77782697.85,,,
2012-06-30,,,126668.61,4972016.04,,13952414.25,215446318.11,148622983.35,,290948.8,77782697.85,,,
2013-03-28,,,126668.61,6154730.7,,13337711.25,215446318.11,-45270068.8,,137223.05,24066953.85,,,
2013-08-29,,,126668.61,6154730.7,,13337711.25,215446318.11,-45270068.8,,137223.05,24066953.85,,,
2014-04-29,,,126668.61,5851648.88,,13337711.25,76641016.87,-309857734.01,,137223.05,-5355756.67,,,
2014-08-28,,,126668.61,5851648.88,,13337711.25,76641016.87,-309857734.01,,137223.05,-5355756.67,,,
2015-04-29,,,126668.61,3946592.44,,13337711.25,24959981.8,-167382780.96,,1028066.14,107796683.94,,,
2015-08-27,,,126668.61,3946592.44,,13337711.25,24959981.8,-167382780.96,,1028066.14,107796683.94,,,
2016-04-29,,,126668.61,386077.88,,13337711.25,139496248.28,-162002756.68,,1028066.14,33165379.08,,,
2016-09-28,,,126668.61,386077.88,,13337711.25,139496248.28,-162002756.68,,1028066.14,33165379.08,,,
2017-04-26,,,126668.61,1741254.72,,13337711.25,139496248.28,27333970.16,,1028066.14,-3808386.72,,,
2017-09-12,,,126668.61,1741254.72,,13337711.25,139496248.28,27333970.16,,1028066.14,-3808386.72,,,
2018-03-28,,,126668.61,611306.08,,13337711.25,139496248.28,27387400.48,,1028066.14,8735904.32,,,
2018-09-27,,,126668.61,611306.08,,13337711.25,139496248.28,27387400.48,,1028066.14,8735904.32,,,
2019-04-24,,,126668.61,103277757.76,,13337711.25,139496248.28,19199572.84,,1028066.14,44280597.32,,,
2019-09-10,,,126668.61,103277757.76,,13337711.25,139496248.28,19199572.84,,1028066.14,44280597.32,,,
2020-07-02,,,5886531.0,142519665.6,,13337711.25,-1670553.0,20275158.6,,1028066.14,20548933.2,,,
2020-10-30,,,5886531.0,142519665.6,,13337711.25,-1670553.0,20275158.6,,1028066.14,20548933.2,,,
2021-05-17,,,1644119.76,46651898.19,,13337711.25,-830104.95,-33374607.21,,1028066.14,55634584.53,,,
2021-09-01,,,1644119.76,46651898.19,,13337711.25,-830104.95,-33374607.21,,1028066.14,55634584.53,,,
