datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2001-01-31,,,,,,,,76143000.0,,,,800000,,800000.0
2001-09-17,,,,,,,,-63976000.0,,,,800000,,800000.0
2002-02-18,,,,,,,,-63976000.0,,,,800000,,800000.0
2002-09-16,,,,,,,,-119845000.0,,,,800000,,800000.0
2003-02-17,,,,,,,,-119845000.0,,,,800000,,800000.0
2003-09-12,,,,,,,,20597000.0,,,,800000,,800000.0
2004-02-16,,,,,,,,20597000.0,,,,800000,,800000.0
2004-07-31,,,,,,,,35391000.0,,,,800000,,800000.0
2005-02-21,,,,,,,,35391000.0,,,,800000,,800000.0
2005-09-20,,,,,,,-800000.0,114951000.0,,,,800000,,800000.0
2006-02-20,,,,,,,-800000.0,114951000.0,,,,800000,,800000.0
