datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2006-06-30,,,,,,,,,,,,,,
2006-12-31,,,,,,,,,,,,,,
2007-08-29,,,,,,,27458318.2,-1689821.2,,,26547.04,,,
2008-04-08,,,,,,,102414062.55,-7049365.35,,5038.5,67515.9,,,
2008-08-26,,,,,,,102414062.55,-7049365.35,,5038.5,67515.9,,,
2009-04-01,,,,,,,102414062.55,-77973706.95,,8888.23,789001.34,,,
2009-09-02,,,,,,,102414062.55,-77973706.95,,8888.23,789001.34,,,
2010-04-12,,,,,,,102414062.55,42292812.8,,48285.12,1364983.2,,,
2010-08-31,,,,,,,102414062.55,42292812.8,,48285.12,1364983.2,,,
2011-03-31,,,,,,,102414062.55,27416640.69,,225015.57,1564851.87,,,
2011-08-10,,,,,,,102414062.55,27416640.69,,225015.57,1564851.87,,,
2012-03-30,,,,,,,102414062.55,-6787278.24,,64371.0,1963315.5,,,
2012-08-14,,,,,,,102414062.55,-6787278.24,,64371.0,1963315.5,,,
2013-04-02,,,,,,,57238626.3,72811904.1,,77534.1,1360538.85,,,
2013-08-20,,,,,,,57238626.3,72811904.1,,77534.1,1360538.85,,,
2014-02-21,,,,,,,57238626.3,-6654378.17,,77534.1,1360538.85,,,
2014-08-26,,,,,,,57238626.3,-6654378.17,,77534.1,1360538.85,,,
2015-02-25,,,,,,,3210700.0,74283397.34,,77534.1,1360538.85,,,
2015-08-27,,,,,,,3210700.0,74283397.34,,77534.1,1360538.85,,,
2016-03-01,,,,,,,1847609.96,10494668.84,,77534.1,1360538.85,,,
2016-08-19,,,,,,,1847609.96,10494668.84,,77534.1,1360538.85,,,
2017-03-01,,,,,,,361545.44,-9290745.04,,77534.1,1360538.85,,,
2017-08-29,,,,,,,361545.44,-9290745.04,,77534.1,1360538.85,,,
2018-03-01,,,,,,,-26283941.2,66739674.32,,77534.1,1360538.85,,,
2018-08-28,,,,,,,-26283941.2,66739674.32,,77534.1,1360538.85,,,
2019-03-06,,,,,,,10643522.64,-54492202.08,,77534.1,1360538.85,,,
2019-08-28,,,,,,,10643522.64,-54492202.08,,77534.1,1360538.85,,,
2020-03-12,,,,,,,10643522.64,21805430.4,,77534.1,1360538.85,,,
2020-09-30,,,,,,,10643522.64,21805430.4,,77534.1,1360538.85,,,
2021-03-23,,,,,,,10643522.64,-91121388.3,,77534.1,1360538.85,,,
2021-06-30,,,,,,,10643522.64,-91121388.3,,77534.1,1360538.85,,,
2021-12-30,,,,,,,10643522.64,-91121388.3,,77534.1,1360538.85,,,
2022-09-01,,,,,,,10643522.64,90523700.5,,77534.1,1360538.85,,,
2023-03-23,,,,,,,10643522.64,6275926.8,,77534.1,1360538.85,,,
