datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2005-10-31,,,,,,,,,,,,,,
2006-04-30,,,,,,,,,,,,,,
2007-01-31,,,,,,,,,,,,,,
2007-10-24,,,,,,,2786017.6287123,-661487.6546,,,,,,
2008-01-24,,,,,,,2786017.6287123,-661487.6546,,,,,,
2008-10-24,,,,,,,1593467.82048168,-222022.21448,,,,,,
2009-01-27,,,,,,,1593467.82048168,-222022.21448,,,,,,
2009-10-21,,,,,,,2390882.2698696,-274173.3648,,,,,,
2010-06-25,,,,,,,2390882.2698696,-274173.3648,,,,,,
2010-12-14,,,,,,,2390882.2698696,-3726784.7829,,,,,,
2011-03-04,,,,,,,2390882.2698696,-3726784.7829,,,,,,
2011-10-17,,,,,,,7626678.5084,-9306420.78,,,,,,
2012-01-31,,,,,,,7626678.5084,-9306420.78,,,,,,
2012-10-24,,,,,,,1805769.1704,-3436250.1862,,,,,,
2013-03-19,,,,,,,1805769.1704,-3436250.1862,,,,,,
2013-11-22,,,,,,,1376931.6272,-3286307.2354,,,,,,
2014-03-20,,,,,,,1376931.6272,-3286307.2354,,,,,,
2014-11-13,,,,,,,3549278.7884,-2374162.9795,,,,,,
2015-03-27,,,,,,,3549278.7884,-2374162.9795,,,,,,
2015-11-24,,,,,,,1350907.584,-1943241.3364,,,,,,
2016-03-29,,,,,,,1350907.584,-1943241.3364,,,,,,
2016-12-22,,,,,,,1118411.7664,-5304369.32,,,,,,
2017-03-31,,,,,,,1118411.7664,-5304369.32,,,,,,
2017-12-19,,,,,,,490515.475,-7048167.6475,,,,,,
2018-03-05,,,,,,,490515.475,-7048167.6475,,,,,,
