datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt
2001-06-07,89886.4817072596,2855341.491760493,0.0,0.0,0.0,0.0,218090.562924577,0.0,1748756.07827766,0.0,0.0,0.0,0.0,0.0,46,304423.589334338,404394.047712818,0.0,34572.0144721345,312009.8793800345,62709.2574739718,0.0,1021116.02600462,1021116.02600462,1560916.1854996,0.0,1175344.55301267,0.0,37068.4412305083,59444.3117538983,35436.2833372591,0.0,0.0,4973151.71425072,0.0,1886851.3764922,248052.605066152,0.0,0.0,0.0,6104513.67511189,1267535.96167146,3084763.92976869,2304.926951524,4799908.64227635,0.0,1304605.03283554,0.0,0.0,0.0,0.0,0.0
2002-08-09,1934986.15427081,4161444.906463415,0.0,0.0,209419.387582473,0.0,1333058.49931884,5367137.22853912,6349938.74043932,0.0,0.0,42251.2799508499,0.0,0.0,46,333723.877872655,396794.629103634,0.0,34572.0144721345,699901.637446687,62709.2574739718,0.0,594579.606264859,594579.606264859,864620.395515943,0.0,846862.611188774,0.0,36127.9060449296,59444.3117538983,110220.730306565,0.0,0.0,10962063.9663785,0.0,2315860.01121905,11634.4104212485,0.0,0.0,0.0,11044117.1767178,6140519.35285685,10195417.5533573,3358670.58739727,4866857.58042543,4700914.14757499,6176647.25890178,0.0,0.0,0.0,0.0,0.0
2003-05-15,1144070.65936142,4855785.093519738,0.0,0.0,140076.988475345,0.0,2080957.67995466,3165088.41866616,8429377.10183261,0.0,0.0,33879.0855847346,0.0,0.0,46,785082.65633856,422185.528055923,0.0,34572.0144721345,4262249.57491026,62709.2574739718,0.0,714066.880785944,714066.880785944,1077615.52994521,0.0,2371535.99093142,0.0,95773.5688645381,59444.3117538983,181774.324579634,0.0,0.0,14169927.5458152,0.0,2811964.10353297,14333.4592858492,0.0,0.0,0.0,16004610.3344039,6136675.13697336,11421160.9673153,2621068.48668052,9777373.79557907,2408672.6808993,6232448.705837897,0.0,0.0,0.0,0.0,0.0
2004-02-23,1144070.65936142,4855785.093519738,0.0,0.0,140076.988475345,0.0,2080957.67995466,3165088.41866616,8429377.10183261,0.0,0.0,33879.0855847346,1344814.16862268,0.0,46,785082.65633856,422185.528055923,0.0,34572.0144721345,4262249.57491026,62709.2574739718,0.0,714066.880785944,714066.880785944,1077615.52994521,0.0,2371535.99093142,0.0,95773.5688645381,59444.3117538983,181774.324579634,0.0,0.0,14169927.5458152,0.0,2811964.10353297,14333.4592858492,0.0,0.0,0.0,16004610.3344039,6136675.13697336,11421160.9673153,2621068.48668052,9777373.79557907,2408672.6808993,6232448.705837897,0.0,0.0,0.0,0.0,0.0
2004-04-28,2014135.91683133,7374120.29753439,0.0,0.0,70498.2820031969,0.0,1215390.38173511,-1395161.00084327,5590513.76285351,0.0,0.0,133241.752986042,1344814.16862268,0.0,71,799450.517916252,588660.654726694,0.0,34572.0144721345,5182328.710055002,62709.2574739718,704.982820031969,294682.818773363,294682.818773363,248858.935471285,0.0,1877369.24974513,0.0,190345.361408632,59444.3117538983,152981.271946937,0.0,0.0,12961109.1462877,0.0,4778373.55417668,403955.155878318,0.0,0.0,0.0,17836770.3296288,7613814.45634526,12300540.2439178,3722309.2897688,10034020.477515,2278504.47434332,7804159.81775389,0.0,0.0,0.0,0.0,0.0
2004-08-17,2014135.91683133,7374120.29753439,0.0,0.0,70498.2820031969,0.0,1215390.38173511,-1395161.00084327,5590513.76285351,0.0,0.0,133241.752986042,87836.1020193911,385127.524238869,71,799450.517916252,588660.654726694,0.0,34572.0144721345,5182328.710055002,62709.2574739718,704.982820031969,294682.818773363,294682.818773363,248858.935471285,0.0,1877369.24974513,0.0,190345.361408632,59444.3117538983,152981.271946937,0.0,0.0,12961109.1462877,0.0,4778373.55417668,403955.155878318,0.0,0.0,0.0,17836770.3296288,7613814.45634526,12300540.2439178,3722309.2897688,10034020.477515,2278504.47434332,7804159.81775389,0.0,0.0,0.0,0.0,0.0
2005-02-16,2477122.64598614,8798909.25607061,132160.32376588,0.0,229690.402266904,0.0,944910.977941077,-896145.938690565,10501445.1916428,0.0,0.0,303898.070691595,87836.1020193911,385127.524238869,97,6990362.36560598,691191.425898559,0.0,34572.0144721345,7017218.474178726,62709.2574739718,-706.73969928278,1140677.87464241,1140677.87464241,787308.025001017,0.0,2507512.4530553,1738579.66023564,157602.95294006,59444.3117538983,174564.705722847,0.0,0.0,18900339.7779194,0.0,5060256.2468647,171031.007226433,0.0,-161136.651436474,-353369.84964139,23400151.4432528,10996162.9811408,13243595.22486,9347339.262714049,10578479.8188647,3499774.99084833,12821671.6243882,0.0,0.0,0.0,-353369.84964139,1667905.69030736
2005-04-30,2477122.64598614,8798909.25607061,132160.32376588,0.0,229690.402266904,0.0,944910.977941077,-896145.938690565,10501445.1916428,0.0,0.0,303898.070691595,951306.278477103,1204313.26743378,97,6990362.36560598,691191.425898559,0.0,34572.0144721345,7017218.474178726,62709.2574739718,-706.73969928278,1140677.87464241,1140677.87464241,787308.025001017,0.0,2507512.4530553,1738579.66023564,157602.95294006,59444.3117538983,174564.705722847,0.0,0.0,18900339.7779194,0.0,5060256.2468647,171031.007226433,0.0,-161136.651436474,-353369.84964139,23400151.4432528,10996162.9811408,13243595.22486,9347339.262714049,10578479.8188647,3499774.99084833,12821671.6243882,0.0,0.0,0.0,-353369.84964139,1667905.69030736
2006-02-24,3321332.90709101,19054324.53616548,266229.460448265,0.0,245591.517777857,0.0,1472861.17524479,-7562430.12585989,12358688.0024627,161663.88425153,0.0,437524.384612652,951306.278477103,1204313.26743378,107,7552799.08594703,1088995.4415752,3418331.23764193,294434.648764489,7565869.782971622,-22701.736937449,1172235.14367918,3359857.06674244,3359857.06674244,3239469.06783173,0.0,3418331.23764193,1834025.17197694,359788.133887448,532458.92089653,216010.466616938,0.0,0.0,26499118.388804,0.0,7310647.22528091,57786.2394771428,0.0,-136898.353047041,-120387.998910714,38361807.8357546,22066776.2346227,27639708.6870553,18736500.21904121,14231237.3340911,7112522.97564499,24131258.4330859,0.0,0.0,0.0,-120387.998910714,1704694.06457571
2006-03-21,3321332.90709101,19054324.53616548,266229.460448265,0.0,245591.517777857,0.0,1472861.17524479,-7562430.12585989,12358688.0024627,161663.88425153,0.0,437524.384612652,3536176.58080191,4030272.48661259,107,7552799.08594703,1088995.4415752,3418331.23764193,294434.648764489,7565869.782971622,-22701.736937449,1172235.14367918,3359857.06674244,3359857.06674244,3239469.06783173,0.0,3418331.23764193,1834025.17197694,359788.133887448,532458.92089653,216010.466616938,0.0,0.0,26499118.388804,0.0,7310647.22528091,57786.2394771428,0.0,-136898.353047041,-120387.998910714,38361807.8357546,22066776.2346227,27639708.6870553,18736500.21904121,14231237.3340911,7112522.97564499,24131258.4330859,0.0,0.0,0.0,-120387.998910714,1704694.06457571
