datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2000-02-15,,,,2408029.84663411,,,,6701628.5220281,,,,,,
2000-12-31,,,,3286272.12126066,,786870.186611391,,10136822.4287747,,,,,,
2002-03-05,,,,3286272.12126066,,829717.164252197,,4494556.44694548,,,,,,
2003-02-14,,,,479519.36519932,,628066.125070848,,-1261344.41715473,,,,,,
2004-02-11,,,,479519.36519932,,628066.125070848,,2838965.81626874,,,,,,
2005-02-07,,,,479519.36519932,,628066.125070848,,7546566.50894153,,,3244641.95940724,,,
2006-03-30,,,,479519.36519932,,8628723.83049764,,4792130.28806877,,,2499942.78880877,,,
2007-02-14,,,,479519.36519932,,7297281.16546364,,3883080.56109051,,,3643251.15794196,,,
2008-02-13,,,,479519.36519932,,7962219.27201109,-582171.128455759,7973980.30490919,,,4072992.70552192,,,
2009-02-12,,,,1792873.96038635,,18183908.7656029,-582171.128455759,6332400.24601278,,,3795999.66452803,,,
2010-02-09,,,,1401994.61719063,,17152721.7545668,-261433.888793449,-1894731.03132337,,,2238583.06132967,,,
2011-02-10,,,,1654235.87719885,,16830499.3913451,-401338.719818072,4031395.98689051,,,3268166.37014247,,,
2012-02-10,,,24165.1650485437,1724892.81553398,,9026105.78640777,-401338.719818072,6324606.99029126,,,2810658.67961165,,,
2013-02-13,,,24165.1650485437,2294409.83217226,,2148269.07853072,-401338.719818072,-10395478.9423686,,,-3431872.03134895,,,
2014-02-13,,,248232.385848201,1581547.47505292,,2196732.08345933,-73058.3610523133,2151900.81644995,,,2459078.016329,,,
2015-02-06,,,139046.827557007,3424902.02625053,,2055407.29450191,-242360.950825622,4242093.43736769,,,1534175.89064296,,,
2016-02-18,,,42738.632291135,2409574.61365537,,1949765.8800404,955724.242786243,3335823.93762014,,,2273253.11410606,,,
2017-02-17,,,418444.322960471,4274779.47855341,,2254997.30866274,236067.367535744,9935282.92682927,,,65621.6148023549,,,
