datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt,dr,dc,count
2000-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2001-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2002-02-20,4949374.17786455,17446879.65717244,,,7368575.30435282,,2876055.29650473,414203.038742774,24892200.669959,251628.510585353,,4942792.21316183,,,1236.0,20428641.306803,,466529.658129474,1008093.71387007,20506440.129589263,423088.691091459,,-18686066.1517553,-18686066.1517553,-19354596.3066115,339168.641131657,12828183.385973,339168.641131657,5863016.69825045,6162364.45293059,3447369.83270166,,,92502010.4571035,,53787486.4524712,-18298651.7093526,,,,53666312.4822939,26138561.5060679,28690718.3195513,16070656.65747866,13389164.2375866,1530109.33444355,40036906.53305767,,,,,8035328.32873933,251628.510585353,,2
2002-03-28,4949374.17786455,17446879.65717244,,,7368575.30435282,,2876055.29650473,414203.038742774,24892200.669959,251628.510585353,,4942792.21316183,,,1236.0,20428641.306803,,466529.658129474,1008093.71387007,20506440.129589263,423088.691091459,,-18686066.1517553,-18686066.1517553,-19354596.3066115,339168.641131657,12828183.385973,339168.641131657,5863016.69825045,6162364.45293059,3447369.83270166,,,92502010.4571035,,53787486.4524712,-18298651.7093526,,,,53666312.4822939,26138561.5060679,28690718.3195513,16070656.65747866,13389164.2375866,1530109.33444355,40036906.53305767,,,,,8035328.32873933,251628.510585353,,2
2003-02-21,3252048.90744687,10923389.39353795,,,3130569.86926222,,1188263.76432644,-140355.121810747,20373800.7613892,479910.126130277,,3379891.47382365,,,802.0,14058606.78339,,466529.658129474,1091452.33542591,15756882.30720501,123266.5461037839,,-8643816.29441917,-8643816.29441917,-9194940.73604792,247176.595058458,9952200.59091171,247176.595058458,817749.122847434,4261776.38080977,1812604.5303231,,,79770400.9042216,,46593538.9218453,-8209594.87070207,,,,36748231.3044981,27984365.9782296,17659648.7369694,13722412.29395839,5878970.54541266,708711.139779992,30729048.637908183,,,,,1926933.53683119,479910.126130277,,3
2003-03-03,3252048.90744687,10923389.39353795,,,3130569.86926222,,1188263.76432644,-140355.121810747,20373800.7613892,479910.126130277,,3379891.47382365,-2323597.06101587,1221762.32563092,802.0,14058606.78339,,466529.658129474,1091452.33542591,15756882.30720501,123266.5461037839,,-8643816.29441917,-8643816.29441917,-9194940.73604792,247176.595058458,9952200.59091171,247176.595058458,817749.122847434,4261776.38080977,1812604.5303231,,,79770400.9042216,,46593538.9218453,-8209594.87070207,,,,36748231.3044981,27984365.9782296,17659648.7369694,13722412.29395839,5878970.54541266,708711.139779992,30729048.637908183,,,,,1926933.53683119,479910.126130277,,3
2004-02-13,3119688.72377987,9454446.875825351,,,3244345.46490777,,1215266.96784776,315651.73549813,9606121.66140758,337764.486578907,,3379513.548979,-3927718.9875183,-724889.756641796,691.0,13888131.3293207,,11912.8553357706,690945.609474694,16760998.14843134,69842.03422343929,10862811.106632,-4860444.9769944,-4860444.9769944,-4848532.12165863,59408.5530796925,5661642.89467466,59408.5530796925,1158817.16315212,4374509.48581437,1505380.03308358,,,57405168.976494,,38333466.2019211,-3249484.34368006,,,,35762936.7505803,21855729.2803625,15560758.5079025,8564642.230222827,12415920.4228583,805947.487454649,23016804.43570247,,,,,2257.9921878258,337764.486578907,,4
2005-02-11,4573199.61366165,14674657.131475337,,,1624492.40401672,,680561.31054388,1999682.68091759,12229729.8487718,224581.314452362,,1078711.2263612,764869.343891403,4415037.8959276,866.0,17833997.4790295,,130313.581972881,414213.8270046,18312780.39295271,103044.11322569977,6796601.64306545,715275.030816873,715275.030816873,1630761.24740687,3978443.09702053,7296306.82180331,6895414.287002791,883044.95204594,4295254.76985058,1244208.69186134,,,66495502.4924085,,41655759.0827095,-3249484.34368006,,547661.830672559,768873.641802712,45366757.6485975,24094926.4544061,20854482.9454917,7422232.21340308,19922227.5728331,338517.543068459,24977971.406451996,,,,768873.641802712,2257.9921878258,224581.314452362,,5
2006-02-10,4792204.1453648,15576053.577454882,,,830624.330722543,,39361.9210718513,6334489.08252953,16457380.1596696,273045.891152693,,670762.253506938,6313250.88339223,7091395.75971731,893.0,16837244.6470396,1543894.5324502,246268.078676304,220221.900420581,17224352.31319418,87210.79910343267,6796601.64306545,4128319.25353212,4128319.25353212,6131314.25945047,3925144.43045307,5386217.96912383,5162118.4073337205,694174.548568262,3557132.41745788,1064308.30080338,,,78729841.5443121,,46990012.6199411,-3249484.34368006,,1459317.61654116,1992825.29025109,42208490.334198,18544878.9180749,20865403.1757625,3439339.30793059,22726826.9599819,250657.884000302,19239053.466643125,,,,1992825.29025109,2257.9921878258,273045.891152693,,6
2007-02-08,4792204.1453648,15576053.577454882,,,830624.330722543,,39361.9210718513,6334489.08252953,16457380.1596696,273045.891152693,,670762.253506938,7134904.96152521,7919524.52050075,893.0,16837244.6470396,1543894.5324502,246268.078676304,220221.900420581,17224352.31319418,87210.79910343267,6796601.64306545,4128319.25353212,4128319.25353212,6131314.25945047,3925144.43045307,5386217.96912383,5162118.4073337205,694174.548568262,3557132.41745788,1064308.30080338,,,78729841.5443121,,46990012.6199411,-3249484.34368006,,1459317.61654116,1992825.29025109,42208490.334198,18544878.9180749,20865403.1757625,3439339.30793059,22726826.9599819,250657.884000302,19239053.466643125,,,,1992825.29025109,2257.9921878258,273045.891152693,,7
