datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2000-02-29,,,,,,537729.506077062,,2012852.34031549,,,,,,
2001-02-27,,,,,,525657.883552911,,1491731.83170421,,,,,,
2002-03-31,,,908311.128976686,,,348844.129244669,,-2626203.91638911,,,,,,
2002-12-31,,,722153.199331913,,,221650.981973161,,-4011167.77054656,,,,,,
2004-04-21,,,576177.316893479,,,77861.7995801999,,-4103316.83787653,,,,,,
2005-02-23,,,289934.006794745,,,77861.7995801999,,1277276.84074442,,,-1410489.76278524,,,
2006-02-21,,,289934.006794745,,,77861.7995801999,,4572713.87916488,,,-936491.802452968,,,
2007-02-19,,,289934.006794745,,,77861.7995801999,74579.638584138,-4422572.56803938,,,-1342433.49451448,,,
2008-02-20,,,289934.006794745,,,77861.7995801999,74579.638584138,-9075568.6917768,,,421031.537247377,,,
2009-02-27,,,289934.006794745,,,77861.7995801999,74579.638584138,-7922124.7039242,,,341395.429229883,,,
2010-02-12,,,289934.006794745,,,77861.7995801999,74579.638584138,-4028834.94874445,,,341395.429229883,,,
