datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
1997-12-31,,,,,,,3827474.91048464,-662229.709012053,,,,,,
1998-12-31,,,,,,,73026.5467093912,-1495702.90362337,,,,,,
2000-02-14,,,,,,,1064268.42513576,-1913154.38324282,,,,,,
2001-02-15,,,,,,,9057227.40331491,-2297409.09052274,,,,,,
2001-12-31,,,,,,,9057227.40331491,-2647332.02308487,,,,,,
2003-02-27,,,,,,,9057227.40331491,-5176050.93129068,,,,,,
2004-02-19,,,,,,1831153.80252714,980669.365712618,-2562353.9623848,,,,,,
2005-02-24,,,,,,1087722.68873455,2351834.95835964,-1212786.11436818,,,28836.6795947205,,,
2006-02-17,,,,,,1015581.461707,2351834.95835964,-1564014.47351852,,,4023.9882136651,,,
2007-02-20,,,,,,1035239.96318642,10696733.8232072,-4726633.75454692,,,4023.9882136651,,,
2008-02-19,,,,12552.9773142274,,6911388.62152208,10696733.8232072,-2414849.77252329,,,4023.9882136651,,,
2009-02-12,,,,69241.9960309839,,7690763.6476538,10696733.8232072,-1169585.72562576,,,1316385.76019461,,,
2010-03-22,,,,102104.164688137,,7365937.95704031,2083322.65579174,2894622.80941873,,,-1906174.95600682,,,
2011-02-17,,,,176944.415630868,,9472736.48841992,2083322.65579174,2833308.12393812,,,-2173110.54725923,,,
