datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2000-02-01,,,,,,3993804.2410137,,656538.660460305,,,,,,
2001-02-05,,,,,,2545036.57458564,183056.806204845,387779.241393965,,,,,183056.806204845,183056.806204845
2002-05-09,,,,,,700913.421193675,183056.806204845,-1815634.96324796,,,,,183056.806204845,183056.806204845
2003-02-05,,,,,,959534.250993492,183056.806204845,-646291.363243679,,,,,183056.806204845,183056.806204845
2004-02-05,,,,,,757361.724516604,183056.806204845,-1190896.22457916,,,,,183056.806204845,183056.806204845
2005-02-07,,,,,,762212.99570067,183056.806204845,1036318.17293527,,,232495.729232434,,183056.806204845,183056.806204845
2006-02-07,,,,,,1157957.48104868,183056.806204845,734560.757549047,,,201199.410683255,,183056.806204845,183056.806204845
2007-02-07,,,440765.664032256,,,1864565.54424203,53473.600864827,1396727.47140374,,,305851.09783355,,183056.806204845,183056.806204845
2008-02-07,,,385399.794187738,,,7519935.13045093,122878.833833679,902488.896970072,,,409336.216768283,,183056.806204845,183056.806204845
2009-02-05,,,427269.51027463,,,9273875.52909545,151964.734652071,4382992.08757442,,,1647276.71467896,,183056.806204845,183056.806204845
2010-02-05,,,575276.131951622,,,9520240.73070585,185879.724030055,-1327094.773889,,,-399944.001564202,,183056.806204845,183056.806204845
2011-03-09,,,619496.539390146,,,10615327.3450773,185879.724030055,802746.749530537,,,361341.133863901,,183056.806204845,183056.806204845
2012-02-03,,,612420.748279567,,,10513487.6390139,185879.724030055,2995095.39765963,,,1153627.60823485,,183056.806204845,183056.806204845
2013-03-18,,,1245263.26439541,844915.527959868,,13358338.9114579,26229.0262518081,64294.25568584,,,-8332.6870402856,,183056.806204845,183056.806204845
2014-02-11,,,1173637.58913729,758120.898907826,,13608171.605015,26229.0262518081,-1568603.65715351,,,263967.581213976,,183056.806204845,183056.806204845
2015-02-10,,,925297.751266757,1239221.87928933,,12003829.3246104,26229.0262518081,1011377.70765185,,,139128.274004233,,183056.806204845,183056.806204845
2016-02-10,,,617749.221571065,1236542.75261943,,10710759.3251643,26229.0262518081,-621926.459480258,,,-428970.200674836,,183056.806204845,183056.806204845
2017-02-09,,,670927.272527642,1231843.12175412,,12088884.7283068,26229.0262518081,-655618.239511622,,,-99686.7266159404,,183056.806204845,183056.806204845
2018-02-08,,,755176.307350915,748498.920955412,,12250206.7522587,26229.0262518081,962806.930270553,,,276028.715997903,,183056.806204845,183056.806204845
2019-02-13,,,832015.778771859,1198966.96940943,,12073969.2919434,26229.0262518081,405647.539650264,,,147789.946229271,,183056.806204845,183056.806204845
2020-02-12,,,2428633.56120487,554250.801110874,,11016218.0303354,26229.0262518081,2571304.80666524,,,801649.668874172,,183056.806204845,183056.806204845
2021-02-11,,,1799311.93699177,554250.801110874,,12102843.3802405,26229.0262518081,4089450.52953206,,,801649.668874172,,183056.806204845,183056.806204845
2022-02-11,,,1527248.48991061,554250.801110874,,26597036.1315161,211543.173068413,8411192.06345694,,,1886144.11673599,,211543.173068413,211543.173068413
2023-02-09,,,2698578.02801745,554250.801110874,,29598022.2381291,-3891.87436345818,9423816.3540806,,,2542426.49743462,,-3891.87436345818,-3891.87436345818
