datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
1996-05-06,,,6691992.10788032,115449.770933098,,19711797.760615,,63355962.6262115,,,,,,
1997-04-21,,,5356956.85876499,61464.4570053516,,28897631.5919989,,46581465.3919964,,,,,,
1998-05-04,,,4279545.16477891,533101.488074705,,28697155.759231,3447574.87210718,54323483.3391266,,,,,,
1998-12-31,,,5398773.21049732,31890.8892717747,,33956710.2101574,-13675522.0061652,57837316.7832906,,,,,,
1999-12-31,,,3545288.75686018,174307.43668496,,42779402.6484064,-16045622.0734102,43291742.0069483,,,,,,
2001-04-20,,,2206027.3802233,105198.907052339,,43716760.1827861,-31206909.31361,56963633.3349037,,,,,,
2002-03-08,,,1007907.34491448,820532.103393317,,42690325.8599044,1661271.34067617,39716815.4911895,,,,,,
2003-03-11,,,1007907.34491448,3652426.03438504,,39368800.4912148,1704378.6132628,46022131.6833554,,,,,,
2004-03-11,,,529442.097844008,1062409.10978818,,39840694.1084666,2007791.07145105,30637143.3929493,,,,,,
2005-03-18,,,529442.097844008,1062409.10978818,,33923505.5655734,1554827.33842212,37881247.881557,,9258290.06060442,11661205.0381659,,,
2006-03-16,,,2820518.83162244,1062409.10978818,,32401569.9925408,1031897.13352041,24146392.9243775,,9011901.63274488,12107593.0333061,,,
2007-03-16,,,2223137.72581518,1062409.10978818,,27014491.7591481,2223137.72581518,-16370377.7991845,,10509378.3402172,8623079.66376796,,,
2008-03-13,,,1911167.84594062,1062409.10978818,,27344401.4880735,4777919.61485156,94749821.285287,,36973747.1733897,34621540.5937705,,,
2009-03-12,,,1815810.51425057,1062409.10978818,,36602917.2083141,2198086.41198753,134274409.080108,,46924366.4472121,58966057.2259264,,,
2010-02-12,,,2215541.43045296,1062409.10978818,,47501208.2689114,1417946.51548989,-147998167.554258,,26143388.8793449,4696947.83256027,,,
2011-02-24,,,428780.683566317,1062409.10978818,,45793777.0048826,1114829.77727242,17751520.2996455,,14578543.2412548,13463713.4639823,,,
2012-02-16,,,999937.86407767,1062409.10978818,,45830485.4368932,1833219.41747573,-79661716.5048544,,14578543.2412548,23581867.961165,,,
2013-02-28,,,730703.768207726,1062409.10978818,,30202422.4192527,649514.46062909,-161404343.466329,,14578543.2412548,14532886.0565759,,,
2014-02-26,,,83020.8648321742,1062409.10978818,,30800740.8527366,996250.37798609,-53133353.4925915,,14578543.2412548,19426882.3707288,,,
2015-03-11,,,77679.7919312889,1062409.10978818,,30139759.2693401,136328034.839412,41714048.2671022,,14578543.2412548,-1242876.67090062,,,
2016-02-16,,,73687.297053681,1062409.10978818,,26011615.8599494,8252977.27001227,62265766.0103604,,14578543.2412548,5305485.38786503,,,
2017-03-01,,,85222.8763666947,1062409.10978818,,30339343.9865433,2982800.67283431,84285424.7266611,,14578543.2412548,20112598.82254,,,
2018-03-14,,,88780.1249985005,1062409.10978818,,30007682.2494932,2130722.99996401,22816492.1246146,,14578543.2412548,16069202.6247286,,,
2019-03-14,,,88780.1249985005,1062409.10978818,,31465960.179833,269708.230112854,82440815.6711625,,14578543.2412548,21846366.6391412,,,
2020-03-26,,,36016545.972244,1062409.10978818,,29252875.3671278,169091.765127906,81248593.1439589,,14578543.2412548,15979171.8045871,,,
2021-03-25,,,31441406.936981,1062409.10978818,,29833607.7186126,-3751531.50952614,88607601.3678554,,14578543.2412548,31173440.4005862,,,
2022-03-24,,,31173936.5209285,1062409.10978818,,27140650.9333151,-3751531.50952614,157802298.615374,,14578543.2412548,35795409.5900689,,,
2023-03-23,,,31317861.7294521,1062409.10978818,,28398400.0428082,-442342.679794521,200735108.090753,,14578543.2412548,55204366.4383562,,,
