datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt
2005-12-31,45560102.28,74376370.2,0.0,0.0,7936152.18,0.0,29235183.34,34053001.18,423467130.68,0.0,0.0,10616397.44,0.0,0.0,0.0,0.0,0.0,4483150.32,19293931.14,24616074.34,-3640671.32,0.0,9804131.48,9804131.48,12213621.42,1101613.92,46249192.0,13439573.62,74374627.14,196774043.4,61467267.84,0.0,0.0,526817225.22,0.0,58157196.9,-12178760.22,0.0,0.0,0.0,317181142.08,123756678.98,211942151.52,268028593.14,-16157585.18,89088958.64,322308643.58,0.0,0.0,0.0,0.0,118040604.22
2006-12-31,47907707.32,71971067.52,0.0,0.0,12401551.84,0.0,27879497.2,11922173.56,399288923.44,0.0,0.0,9459425.08,0.0,0.0,0.0,18437940.32,0.0,6701085.52,18664100.68,22921326.96,1583633.04,30120.68,2300913.64,2300913.64,1376361.92,1249752.96,51628377.08,14886763.2,55983112.68,183040819.76,51693213.12,0.0,0.0,476159961.92,0.0,41901950.04,-9873967.32,0.0,-1758230.88,4279689.16,291322111.76,145816764.48,196279113.88,236303371.36,-17412816.16,81505028.52,303442367.08000004,0.0,0.0,0.0,4279689.16,95011345.64
2008-03-28,63901783.95,94342385.55,0.0,0.0,29353797.15,0.0,94668880.35,37536825.0,480788281.65,37653214.35,0.0,9403352.55,47144761.4,56502016.34,10.0,20143923.0,0.0,5792259.6,14119388.55,25339120.35,-13963698.9,168326711.85,5897060.4,5897060.4,14515918.5,1804790.7,77824671.0,32775442.5,66794890.65,230301773.4,78481187.55,0.0,0.0,582260648.55,0.0,62181640.05,121427.85,0.0,3292155.9,10433725.8,451725205.95,154350920.55,309303438.0,129241555.8,123777806.4,93922678.5,295633987.5,0.0,0.0,0.0,10433725.8,58308545.1
2009-03-18,107135305.87,114891995.82,0.0,0.0,46785591.59,100505.37,98158877.28,84338363.34,695846536.21,88658726.83,0.0,27005177.58,101720723.64,123573940.44,13.0,25371110.68,0.0,10056006.68,10807403.97,32175392.6,1047443.7199999996,168326711.85,9881660.63,24350331.65,41488890.22,4370958.03,167089835.77,43125008.25,88255337.93,418270531.86,214322573.7,0.0,0.0,875202813.09,0.0,94507182.17,-32419477.07,0.0,7137248.69,25271289.02,772608709.04,337839571.17,475164775.8,253672135.33,174138202.16,217961962.03,559420410.23,0.0,0.0,0.0,25271289.02,95028852.9
2010-03-17,43203420.64,87944536.64,0.0,0.0,15805329.28,17333.12,72437584.64,-1294412.64,434479414.4,33901106.56,0.0,14707152.32,13420164.7,28927011.3,9.0,14439108.0,0.0,22316392.0,8267279.2,17489737.12,-1324745.6,168326711.85,-46825423.68,-13163266.56,-17733638.88,3066724.16,102984113.44,26511626.08,71939876.48,279117707.52,130631058.88,0.0,0.0,536626585.76,0.0,85140904.48,-5828880.64,0.0,-8649226.88,9412503.2,502027821.12,168149216.16,305492525.76,230354069.6,131626475.2,119708717.12,360624847.2,0.0,0.0,0.0,9412503.2,104196193.76
2011-03-16,65551330.71,107940802.32,0.0,0.0,21138001.11,715434.12,57254602.77,-1040456.61,520508452.59,31795148.79,0.0,16032519.63,26979340.53,42576703.56,9.0,13913783.28,0.0,16013287.53,7858877.13,17310172.14,-2911739.9399999995,168326711.85,1547542.98,1547542.98,8561489.85,30009127.77,90067770.72,65400038.19,74258984.52,307561666.41,146556294.84,0.0,3857318.19,634976629.65,0.0,76714282.62,-657096.75,0.0,-7674248.97,7184471.49,548162930.25,187208466.75,332553139.29,272391925.14,142352157.78,132832268.28,398174987.7000001,0.0,0.0,0.0,7184471.49,120401279.91
2012-03-14,82712229.03,121083782.13,0.0,0.0,33422710.62,715434.12,51220648.41,28992054.69,716661654.3,19442616.84,0.0,19221180.6,51226338.56,70279407.36,2189.0,15149714.85,0.0,9313196.28,8455774.56,24520201.32,-7389147.090000001,168326711.85,3321543.6,3321543.6,17375020.32,21857816.76,78148968.84,61146012.900000006,100422622.26,337226794.8,169672944.06,0.0,5232718.59,869849185.26,914068.2,101904442.68,-1407793.77,0.0,-2662384.56,12038664.42,578414632.44,198307739.7,341499098.07,308381505.99,118718147.88,147336850.77,449937840.96,0.0,0.0,0.0,12038664.42,135467482.08
2013-03-19,82712229.03,121083782.13,0.0,0.0,33422710.62,715434.12,51220648.41,28992054.69,716661654.3,19442616.84,0.0,19221180.6,35282333.08,56185721.12,2189.0,15149714.85,0.0,9313196.28,8455774.56,24520201.32,-7389147.090000001,168326711.85,3321543.6,3321543.6,17375020.32,21857816.76,78148968.84,61146012.900000006,100422622.26,337226794.8,169672944.06,0.0,5232718.59,869849185.26,914068.2,101904442.68,-1407793.77,0.0,-2662384.56,12038664.42,578414632.44,198307739.7,341499098.07,308381505.99,118718147.88,147336850.77,449937840.96,0.0,0.0,0.0,12038664.42,135467482.08
2013-03-22,77129199.7,109059711.2,0.0,0.0,29603873.15,1019019.6,74850558.65,40389727.95,627151797.65,18166362.7,1676213.4,19419215.3,35282333.08,56185721.12,3275.0,15230527.85,0.0,5306163.05,11034456.2,23827582.7,-2851531.9,168326711.85,1749440.05,1749440.05,6983607.15,20716988.45,71026158.4,63872714.650000006,117394626.95,358942269.9,177386329.15,0.0,5232718.59,748020690.7,3223203.3,85454885.2,-745188.85,0.0,447974.8,6663009.8,583825619.5,179101924.95,334792859.15,357762643.95000005,103652630.75,130165600.85,475977532.45,0.0,0.0,0.0,6663009.8,163408038.55
2014-03-19,76939397.81,91088936.07,0.0,0.0,19343420.25,1201979.9,62253498.67,42103725.07,592377975.42,12895613.5,7112821.76,20082124.48,23791249.68,43891660.56,3093.0,15147362.78,0.0,1406739.29,10568966.98,22465547.94,-2031889.64,168326711.85,-25089367.38,-25089367.38,-29845342.12,22110994.07,64209887.06,58810641.67,119133724.38,360046736.94,156851128.83,0.0,5232718.59,699711760.44,1865182.88,81736445.23,968228.03,0.0,-6348145.1,-2643147.76,502666786.16,165184050.79,283778394.24,294375145.68,79942535.53,108324965.43,421373080.26,0.0,0.0,0.0,-2643147.76,135170189.88
