datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt,dr,dc,count
2002-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2004-04-29,247729.667341851,1126849.2513243998,,,1250364.98558741,,961048.851277657,3279985.30578062,2186475.04791212,101544.290277345,,795379.363508881,,,,,,22102.3562636335,112453.646774696,103355.243455905,167174.9789654095,,1248903.13181677,1248903.13181677,1574176.50514179,,190040.990183858,3272.80694920536,1199941.93985665,5279168.52134621,16220271.2461047,,,10218445.131661,,3318844.43362418,,,-39557.3266593955,325273.373325023,18633551.8155968,1619799.43401371,2306652.51908694,3928066.53786226,13607894.920536,179808.013789343,5025656.89506077,,,,325273.373325023,1522924.34831723,101544.290277345,,2
2004-12-31,757382.170867722,890147.302699085,,,1943524.32344412,,337040.647334374,2163799.56056212,3532217.61142092,101544.290277345,,1316163.14610752,,,,,,3534.82221726522,76696.3399509257,113207.332589784,10418.4233772028,,929169.879544948,929169.879544948,1251606.12982378,,112207.349988847,3272.80694920536,1199941.93985665,5629390.42426946,20597129.9950926,,,10525654.0695963,,3668215.24514834,,,144160.282400178,322436.250278831,22736511.3758644,1878781.26388579,1507531.90943565,2382563.196074059,18351657.4369842,198205.853669418,4384853.93888021,,,,322436.250278831,709755.092571939,101544.290277345,,3
2006-04-26,826581.114371892,951220.727154153,,,1313535.26942203,,778861.407026983,2204200.51683378,3559677.02779816,191920.847803049,,1371888.30113312,,,662.0,,,62757.9277737018,54658.6027553599,124450.154887095,3410.24211298606,,707577.873970816,707577.873970816,981794.494986549,53687.6310426347,220552.672209994,53687.6310426347,5517.96119670661,5888232.97057145,21383946.851716,,,10454689.2532812,,3865556.79954349,,,10349.1375234369,274216.621015733,23534365.0085596,2250901.88799217,1985968.70383957,1288313.6871280698,19396059.8866879,202198.938615798,4138328.80410858,,,,274216.621015733,42272.7928588897,191920.847803049,,4
2007-04-27,1117087.39865514,684788.282420749,,,889854.505283381,,1804180.62247839,2459004.66666667,3545907.14121037,161689.187319885,,1357536.92411143,,,650.0,,,62757.9277737018,31165.7502401537,94894.9279538905,6988.38616714697,,725419.004803074,725419.004803074,940097.323727185,40655.2430355427,87661.3352545629,40655.2430355427,7748.52641690682,6357886.61095101,21761834.5244957,,,10334131.2161383,,3902927.85206532,,,-10077.9884726225,214678.318924111,24634061.2391931,1923473.60038425,2777331.78674352,718724.866474544,20808152.7588857,180153.239193084,3825908.4803074,,,,214678.318924111,42272.7928588897,161689.187319885,,5
2008-05-05,474120.409511229,1095807.19121532,,,652581.150924703,,2726081.42338177,1823516.57034346,4329149.75231176,210325.759577279,,1549266.64464993,,,652.0,,,56408.57001321,2052.22919418758,44927.179656539,33834.0488771466,,1114554.5822325,1114554.5822325,1116301.75033025,29757.32331572,448245.681968296,29757.32331572,11037.6651254954,7224734.21400264,23766977.2291942,,,11789696.1938573,,4665022.01948481,,,-258442.214332893,1747.16809775429,27868828.7318362,1451536.16248349,4056924.32298547,718724.866474544,24542581.2004624,205278.385072655,3326247.53137384,,,,1747.16809775429,42272.7928588897,210325.759577279,,6
2009-04-30,873041.224756723,1111520.589096997,,,984143.205503819,,5783992.01056817,3252004.33922779,5769075.87213561,385637.622161766,,1913128.89191169,,,647.0,,,25826.0238568588,2052.22919418758,37200.9207910432,121153.383383907,,587881.858846918,587881.858846918,598791.744271215,54299.036308465,869893.454535942,54299.036308465,17205.4258658575,9903171.27550486,29743853.138014,,,15206269.8446165,,6351520.67332845,,,-76941.519828398,10909.8854242963,36997209.9795961,2615153.19137805,7216155.92079104,718724.866474544,32076994.733703,266344.284817411,4920215.24589306,,,,10909.8854242963,42272.7928588897,385637.622161766,,7
2010-05-12,512559.865048702,3090046.10545791,,,4788574.37013658,,3056326.83463024,2389722.78826794,5572370.56755727,438788.433367797,,1891041.38433912,,,614.0,,,104256.886325298,2052.22919418758,52953.7400010883,51471.5742504217,,1309156.58486151,1309156.58486151,1499918.05408935,50696.805789846,677450.804810361,50696.805789846,19436.5826848778,9434456.60118627,29236123.6589215,,,15717559.3317734,,5876888.25814877,,,-81990.7144800566,190761.469227839,35695873.5985199,1893837.28791424,6406796.19959732,718724.866474544,31673343.1223812,209726.453719323,4022530.47613865,,,,190761.469227839,42272.7928588897,438788.433367797,,8
2011-05-02,512559.865048702,186950.132847654,,,823315.473001929,,24037858.5215342,4838038.66938076,6015062.14538247,438788.433367797,,2019947.4217913,,,621.0,,3636839.42307692,815726.2041997,2052.22919418758,52953.7400010883,53536.968609385,,-8789334.80929934,-8789334.80929934,-10918382.2626955,50696.805789846,815726.2041997,50696.805789846,19436.5826848778,9434456.60118627,29236123.6589215,,,15774415.3974716,,6345178.167988,-12201518.1395972,,-2137598.25851725,-2129047.45339619,24224808.6543818,815726.2041997,24224808.6543818,718724.866474544,23409082.4501821,209726.453719323,815726.2041997,,,,-2129047.45339619,42272.7928588897,438788.433367797,,9
2012-04-26,2870.79262112305,186950.132847654,,,13212.1705858504,,705790.890431786,-576800.95834178,92224.2129535779,438788.433367797,,1468.01895398338,,,621.0,,3636839.42307692,815726.2041997,2052.22919418758,52953.7400010883,243071.316136225,-3088157.29424285,133981.19653355,133981.19653355,133981.19653355,50696.805789846,815726.2041997,50696.805789846,19436.5826848778,13212.1705858504,11744.151631867,,,15774415.3974716,,12461.8497871478,-12201518.1395972,,-2137598.25851725,-2129047.45339619,13903803.2490371,22281.2654571255,722983.023515102,718724.866474544,13881521.98358,209726.453719323,22281.2654571255,,,,-2129047.45339619,42272.7928588897,438788.433367797,,10
