datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt,dr,dc
2000-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-14,56301750.8908917,79699307.6711143,,,23074141.1594582,,7463404.93509894,11587181.4776698,106565337.78843,93764.3278787574,49581.750365037,12895048.3415979,,,2170,353433.228941141,,9683486.54307437,7644380.25376366,4483613.702230501,4335105.01122804,,6481607.71501939,6481607.71501939,10827040.441871,136857.483913197,16732889.5276169,1530973.342731987,16386218.8046926,151430465.872615,71517075.0528171,,,201485724.879513,,69126980.8188913,2979818.75103248,,,,200869787.14103,94377497.8641559,118311376.216102,80607601.93525,54915249.7769498,30706500.4253562,141693872.2112685,,,,,29632372.5560647,143346.07824379439,
2001-04-13,63431214.8954633,86409519.8737269,,,31895436.7902011,,6689665.2724172,9392196.21764733,123336512.6696,287782.004145664,1702.08052009234,16980784.1652761,8925026.48894888,27991707.6714056,2474,9768912.87386819,,6779927.82446884,10842916.2330428,14570527.37626608,5922128.37716116,,1846770.59290526,1846770.59290526,4981866.84526311,138624.442417676,21491035.5869035,1176642.2161775061,21434104.7101145,181519039.755368,86385307.1168983,,,241367307.123211,,87224112.177114,-874783.176508164,,,,247628718.983822,130711473.859368,141809000.424422,118372743.18601781,54119470.644368,48148402.7277524,189914596.64600742,,,,,36291760.2194752,289484.0846657563,
2002-04-02,49331737.1982655,80491749.993322,,,11184954.776554,,51693522.513779,842576.24945463,126256621.891389,221666.135394314,1702.08052009234,16922556.1264013,8925026.48894888,27991707.6714056,2187,8776019.48196494,,9669419.73483871,26967951.0190635,12610476.22185222,7324167.52887124,,-13934961.9977028,-13934961.9977028,-18012516.6816551,3776284.68778103,17716145.3846085,6833072.94161643,23999951.6868639,178972747.847457,72042106.3405426,,,238656660.971071,,86885777.025884,-4292485.10805011,,,,270602914.975648,130923245.145091,176242947.760197,211525828.20610958,37672833.2813933,39623740.2078195,230037399.86109766,,,,,73825232.8219466,221666.135394314,
2002-06-19,49331737.1982655,80491749.993322,,,11184954.776554,,51693522.513779,842576.24945463,126256621.891389,221666.135394314,1702.08052009234,16922556.1264013,-7721296.5820967,13620757.4724749,2187,8776019.48196494,,9669419.73483871,26967951.0190635,12610476.22185222,7324167.52887124,,-13934961.9977028,-13934961.9977028,-18012516.6816551,3776284.68778103,17716145.3846085,6833072.94161643,23999951.6868639,178972747.847457,72042106.3405426,,,238656660.971071,,86885777.025884,-4292485.10805011,,,,270602914.975648,130923245.145091,176242947.760197,211525828.20610958,37672833.2813933,39623740.2078195,230037399.86109766,,,,,73825232.8219466,221666.135394314,
2003-03-28,57801629.1328169,76930282.0706593,,,12128061.1184583,,44372480.8237294,18638709.238617,132248965.142641,407200.547893444,1702.08052009234,14865751.8420555,-7721296.5820967,13620757.4724749,2101,3257604.38314755,,8826153.31569998,22377136.0287172,7205820.89552238,17329152.2765917,,1220950.1228037,1220950.1228037,3097981.76837332,3522773.37993576,15220830.7198186,9912890.137918,21033048.4602305,182892334.40393,63226843.4725109,,,251139797.751748,,86100438.4092197,-7491838.56036274,,,,250208122.898167,120511165.029284,169312684.772341,195419126.2988855,32946107.6894011,43739202.5316456,215715956.1685243,,,,,73965210.5611185,407200.547893444,
2003-10-13,57801629.1328169,76930282.0706593,,,12128061.1184583,,44372480.8237294,18638709.238617,132248965.142641,407200.547893444,1702.08052009234,14865751.8420555,9511977.18493199,13620757.4724749,2101,3257604.38314755,,8826153.31569998,22377136.0287172,7205820.89552238,17329152.2765917,,1220950.1228037,1220950.1228037,3097981.76837332,3522773.37993576,15220830.7198186,9912890.137918,21033048.4602305,182892334.40393,63226843.4725109,,,251139797.751748,,86100438.4092197,-7491838.56036274,,,,250208122.898167,120511165.029284,169312684.772341,195419126.2988855,32946107.6894011,43739202.5316456,215715956.1685243,,,,,73965210.5611185,407200.547893444,
2004-04-20,60450866.8521013,76248826.8661976,,,13140879.7653959,,59129729.0473613,24849234.4404868,154530119.202547,616859.967527973,1702.08052009234,15655553.4844499,9511977.18493199,13620757.4724749,2132,2819931.28012788,3257020.62854769,10589546.9397002,13608988.3578971,6429443.31869156,8110827.3444678,,3919704.47937775,3919704.47937775,6859482.83891106,4247521.49069261,18991532.1888412,4989868.400186273,21449807.2822927,204160909.732798,63920087.3094786,,,278667724.050697,,91538494.267051,-1546732.30715014,,,,264553263.010837,128234260.015355,186398867.582093,199648314.7017734,37651722.4522674,46015638.6291267,225296999.66017628,,,,,75428226.8636804,616859.967527973,
2004-04-26,60450866.8521013,76248826.8661976,,,13140879.7653959,,59129729.0473613,24849234.4404868,154530119.202547,616859.967527973,1702.08052009234,15655553.4844499,12683012.7559186,27418479.7813949,2132,2819931.28012788,3257020.62854769,10589546.9397002,13608988.3578971,6429443.31869156,8110827.3444678,,3919704.47937775,3919704.47937775,6859482.83891106,4247521.49069261,18991532.1888412,4989868.400186273,21449807.2822927,204160909.732798,63920087.3094786,,,278667724.050697,,91538494.267051,-1546732.30715014,,,,264553263.010837,128234260.015355,186398867.582093,199648314.7017734,37651722.4522674,46015638.6291267,225296999.66017628,,,,,75428226.8636804,616859.967527973,
2005-03-24,119200837.900132,115311649.33497831,,,13140879.7653959,,30280969.15547,26643379.9232615,212048765.893407,616859.967527973,1702.08052009234,24118198.9777241,12683012.7559186,27418479.7813949,2237,2120219.09784834,3710383.4212346,2471468.72839188,10141007.9450086,5684307.4013314005,4658121.3579728,-8449779.84462492,2028342.93694158,2523060.72643952,3614266.82213214,4247521.49069261,18238831.4193907,2532248.3425302,15712236.9944548,131013991.973643,96869276.8821943,,,359675381.238391,,115681980.937403,-722994.712366284,,-4986755.3181393,813457.39387448,315518991.566902,166667596.323061,205640050.30031,141329564.6243746,64442645.9997017,58984495.3021408,250031784.29166004,,,,813457.39387448,56050818.810418,616859.967527973,
