datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt,dr,dc
1991-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-29,336523617.201088,465102228.125503,,,,,66106478.5294155,,374921920.024518,,,,,,6615,,5674333.33793051,,,4609776.90891213,3639297.55966747,,13953116.3580176,13953116.3580176,17577559.6419313,2010278.65200679,64700273.758061,4476088.42712842,7971794.6545097,138134861.659324,79321832.5249971,,,652315616.875199,,165714300.308777,-7204468.83874656,,,,658079075.867653,501450640.894916,563229573.754741,174077257.558135,109743389.268666,27827009.9120152,547177053.090194,,,,,37754617.540768,,
1996-08-02,336523617.201088,465102228.125503,,,,,66106478.5294155,,374921920.024518,,,,,,6615,,5674333.33793051,,,4609776.90891213,3639297.55966747,,13953116.3580176,13953116.3580176,17577559.6419313,2010278.65200679,64700273.758061,4476088.42712842,7971794.6545097,138134861.659324,79321832.5249971,,,652315616.875199,,165714300.308777,-7204468.83874656,,,,658079075.867653,501450640.894916,563229573.754741,174077257.558135,109743389.268666,27827009.9120152,547177053.090194,,,,,37754617.540768,,
1997-02-28,319169661.604106,456652445.4124,,,,,68332216.9523368,,426756275.546253,,,,,,7503,3805767.02490318,5473264.94679718,,,6916376.60479515,3757369.98759227,,17779311.6157616,17779311.6157616,19895582.0654476,4219341.70737821,61965806.6806201,6559998.420960279,8086704.96158618,130566407.203499,73242316.3740616,,,714239076.903708,,162429256.676735,-5433776.80697814,,,,656747796.309015,449428087.661081,556486733.923473,239314550.0411082,111889550.532154,25888015.2306709,543793510.956021,,,,,86278718.3333542,,
1997-03-26,319169661.604106,456652445.4124,,,,,68332216.9523368,,426756275.546253,,,,,,7503,3805767.02490318,5473264.94679718,,,6916376.60479515,3757369.98759227,,17779311.6157616,17779311.6157616,19895582.0654476,4219341.70737821,61965806.6806201,6559998.420960279,8086704.96158618,130566407.203499,73242316.3740616,,,714239076.903708,,162429256.676735,-5433776.80697814,,,,656747796.309015,449428087.661081,556486733.923473,239314550.0411082,111889550.532154,25888015.2306709,543793510.956021,,,,,86278718.3333542,,
1998-03-20,319169661.604106,456652445.4124,,,,,68332216.9523368,,426756275.546253,,,,,,7503,3805767.02490318,5473264.94679718,,,6916376.60479515,3757369.98759227,,17779311.6157616,17779311.6157616,19895582.0654476,4219341.70737821,61965806.6806201,6559998.420960279,8086704.96158618,130566407.203499,73242316.3740616,,,714239076.903708,,162429256.676735,-5433776.80697814,,,,656747796.309015,449428087.661081,556486733.923473,239314550.0411082,111889550.532154,25888015.2306709,543793510.956021,,,,,86278718.3333542,,
1998-12-29,692063246.653117,1000249571.63329,,,,,76857164.3341939,,769176975.691953,5776714.67794562,,,,,15630,4950897.03488053,10539197.007855,,,17490496.97423783,6386055.85146938,,32932485.1348531,32932485.1348531,43688158.6122494,4219341.70737821,140581422.849547,4758473.50639934,27536608.6903598,253858748.772315,135895108.166328,,,1203108067.71107,,234199478.279154,-1274831.55133504,,,,1353430931.68998,968271186.49382,1167389450.23675,390852274.58039,217971760.710574,87071646.6377369,1123705300.4480073,,,,,127897505.263829,5776714.67794562,
1999-03-03,917100632.428004,1271287637.89632,,,,,127997641.698138,,1122258039.76581,4881049.42719505,,,75381788.697488,99925759.569195,16513,13177981.6123399,12215401.1842892,,,27765760.223285,-21296.0271692629,,48197168.6894757,48197168.6894757,62989389.1612457,4219341.70737821,156576910.159288,12262252.4440616,20610295.0944126,274454679.746592,146942587.467914,,,1743169267.11828,,318030610.540338,-6900051.76987157,,,,1709794133.33861,1228359106.32852,1507192249.26111,370874572.358147,345809148.379924,104461272.470668,1358056170.9947572,,,,,109086769.571832,4881049.42719505,
2000-03-08,805587454.283269,1125255097.86818,,,,,133043637.19853,,1044527241.85489,11205446.9462766,,,88057683.264177,111913730.117566,22561,46565273.0194854,10707842.7914002,,,67258871.3700216,86051.8463320075,,52985489.0327778,52985489.0327778,71617584.455969,4219341.70737821,179391909.909874,13745847.1053824,31468786.0651528,323083527.745834,217887016.297266,,,1680577593.32561,,328149362.525553,-5133283.0871662,,,,1772331309.82327,1152982499.31021,1360221534.97004,503137662.73400104,407567733.920749,99056899.28201,1353707784.3411686,,,,,169256498.965812,11205446.9462766,
2001-02-27,805587454.283269,1125255097.86818,,,,,133043637.19853,,1044527241.85489,11205446.9462766,,,146826023.889032,191543450.882536,22561,46565273.0194854,10707842.7914002,,,67258871.3700216,86051.8463320075,,52985489.0327778,52985489.0327778,71617584.455969,4219341.70737821,179391909.909874,13745847.1053824,31468786.0651528,323083527.745834,217887016.297266,,,1680577593.32561,,328149362.525553,-5133283.0871662,,,,1772331309.82327,1152982499.31021,1360221534.97004,503137662.73400104,407567733.920749,99056899.28201,1353707784.3411686,,,,,169256498.965812,11205446.9462766,
2001-02-28,1000045692.81575,1196761097.69445,,,,,205120104.625241,,1267171280.52612,10710313.3256701,,,146826023.889032,191543450.882536,28913,48883550.9583078,15749347.2728129,,,81120496.1573468,-11357.7023602016,,76073890.4086305,76073890.4086305,111214621.511094,4219341.70737821,200149216.89226,17835378.6063033,28405613.6028643,396955483.389834,303243081.21581,,,2148309401.43214,,479931070.93268,-329380.002276327,,,,2103128461.44326,1347398304.0978,1534228722.02233,539210705.451359,513311358.169313,125585900.897536,1575987207.7000012,,,,,200183289.99934,10710313.3256701,
2002-02-27,1152365695.74121,1332965424.03547,,,,,291753048.446696,,1390237952.51494,11434788.4319155,,,146826023.889032,191543450.882536,30804,57246197.9716675,23536412.2821858,,,93757427.2231077,-17145.4469365768,,91379721.1354388,91379721.1354388,136109130.506015,4219341.70737821,248711853.261983,12173267.3249695,25746950.262223,425369965.773001,354913813.274092,,,2401208821.39455,,530982857.215361,-2925135.71485812,,,,2376230966.89491,1527359276.7276,1747229426.55531,617593082.415479,557730366.773812,112754582.428835,1802584726.6648219,,,,,249478499.675004,11434788.4319155,
2002-03-05,1152365695.74121,1332965424.03547,,,,,291753048.446696,,1390237952.51494,11434788.4319155,,,165037186.153229,210353519.27137,30804,57246197.9716675,23536412.2821858,,,93757427.2231077,-17145.4469365768,,91379721.1354388,91379721.1354388,136109130.506015,4219341.70737821,248711853.261983,12173267.3249695,25746950.262223,425369965.773001,354913813.274092,,,2401208821.39455,,530982857.215361,-2925135.71485812,,,,2376230966.89491,1527359276.7276,1747229426.55531,617593082.415479,557730366.773812,112754582.428835,1802584726.6648219,,,,,249478499.675004,11434788.4319155,
2003-02-27,1152365695.74121,1332965424.03547,,,,,291753048.446696,,1390237952.51494,11434788.4319155,,,207732366.376114,279584766.930708,30804,57246197.9716675,23536412.2821858,,,93757427.2231077,-17145.4469365768,,91379721.1354388,91379721.1354388,136109130.506015,4219341.70737821,248711853.261983,12173267.3249695,25746950.262223,425369965.773001,354913813.274092,,,2401208821.39455,,530982857.215361,-2925135.71485812,,,,2376230966.89491,1527359276.7276,1747229426.55531,617593082.415479,557730366.773812,112754582.428835,1802584726.6648219,,,,,249478499.675004,11434788.4319155,
2003-03-27,1438808279.61459,1459013896.5615,,,,,352308610.995655,,1715055085.86813,18918863.2155677,,,207732366.376114,279584766.930708,32555,434442590.307954,30051400.4345362,,,478459340.73304373,-17145.4469365768,,118193053.750236,118193053.750236,163164933.780465,4219341.70737821,318365676.36501,11259583.7899112,44117736.1609673,468005688.267523,392289189.590025,,,2879844109.10637,,599115143.396939,-43412139.0515776,,,,3201916939.2594,2228140806.6314,1938002923.76724,1015222633.1947861,638775173.720008,118175462.686567,2547883798.1296034,,,,,275625255.337238,18918863.2155677,
2004-02-25,3566668117.64188,3612262176.54462,,,,,819787862.308535,,3726545531.53437,95594965.4135149,,,383071643.625461,530826331.938285,99298,733107404.654324,68518690.2445471,,,902049487.646785,-3261250.52546789,,161799197.059897,161799197.059897,199770981.712459,18946413.2883592,942172174.883264,66818271.68263,370962664.883642,1355624154.33023,1209624327.25007,,,6221556574.75489,,1392712595.5093,-183038919.46182,,,,7914342287.67951,5552715403.97468,4779380269.64369,2335565078.813887,1266458632.23541,299542970.334663,6577900715.882347,,,,,654222647.024027,95594965.4135149,
2005-02-28,3885750983.25583,3440720528.31596,,,314146503.070895,,1160369056.14382,750818347.587348,4569747799.01569,95594965.4135149,,,489627063.012031,673013401.802613,106994,714407118.280299,97262224.1549955,373906291.823149,,781606755.8469028,-60759118.6870399,-20588034.1798067,319793353.268164,319793353.268164,440508027.60416,70704359.7353472,769064246.403731,269238142.3593692,446353471.656928,1639370368.20912,1539716536.91175,,,7645427378.2963,,1867116529.5633,-183038919.46182,,,,8763317844.81473,5521445598.28898,4941057529.18367,3428588634.63807,1346643025.20439,269263584.988544,7336276111.419931,,,,,1328973825.98262,95594965.4135149,
