datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
1997-12-31,,,,,,,,,,,,,,
1999-02-25,,,,,,253000000.0,15000000.0,498000000.0,,147000000.0,243000000.0,200000000,,200000000.0
2000-02-21,,,,,,452000000.0,31000000.0,1130000000.0,,315000000.0,382000000.0,200000000,,200000000.0
2001-02-27,,,,,,747000000.0,54000000.0,-1659000000.0,,266000000.0,255000000.0,200000000,,200000000.0
2002-02-27,,,,,,1141000000.0,29000000.0,371000000.0,,375000000.0,198000000.0,200000000,,200000000.0
2003-02-25,,,,,,1040000000.0,11000000.0,-420000000.0,,275000000.0,206000000.0,200000000,,200000000.0
2004-02-24,,,,,,1105000000.0,2000000.0,974000000.0,,275000000.0,206000000.0,200000000,,200000000.0
2005-03-09,,,,,,1184000000.0,7000000.0,1275000000.0,,475000000.0,654000000.0,200000000,,200000000.0
2006-03-02,,,,,,2274000000.0,271000000.0,1767000000.0,,799000000.0,1552000000.0,200000000,,200000000.0
2007-03-01,,,,,,2910000000.0,1239000000.0,2226000000.0,,1022000000.0,934000000.0,200000000,,200000000.0
2008-02-28,,,,,,3082000000.0,345000000.0,1320000000.0,,885000000.0,349000000.0,200000000,,200000000.0
2009-03-05,,,,,,3578000000.0,27000000.0,-915000000.0,,527000000.0,-1483000000.0,200000000,,200000000.0
2010-03-04,,,,,,3381000000.0,-46000000.0,1085000000.0,,617000000.0,707000000.0,200000000,,200000000.0
2011-03-03,,,,,789000000.0,3391000000.0,28000000.0,1463000000.0,,583000000.0,717000000.0,200000000,,200000000.0
2012-03-08,,,,,359000000.0,2640000000.0,39000000.0,225000000.0,,535000000.0,-44000000.0,200000000,,200000000.0
2013-03-07,,,,,359000000.0,1520000000.0,379000000.0,-3102000000.0,,531000000.0,482000000.0,100000000,,100000000.0
2014-03-06,,,,,359000000.0,1476000000.0,-31000000.0,2008000000.0,,517000000.0,594000000.0,100000000,,100000000.0
2015-03-05,,,,,359000000.0,1302000000.0,8000000.0,1569000000.0,,680000000.0,983000000.0,100000000,,100000000.0
2016-03-10,,,,,359000000.0,1955000000.0,15000000.0,936000000.0,,500000000.0,98000000.0,100000000,,100000000.0
2017-03-09,,,,,359000000.0,2045000000.0,15000000.0,703000000.0,,930000000.0,974000000.0,100000000,,100000000.0
2018-03-08,,,,,359000000.0,1876000000.0,-288000000.0,1497000000.0,,651000000.0,728000000.0,100000000,,100000000.0
2019-03-07,,,,,359000000.0,1872000000.0,-596000000.0,1568000000.0,,559000000.0,-35000000.0,100000000,,100000000.0
2020-03-05,,,572000000.0,,359000000.0,1855000000.0,18000000.0,2548000000.0,,1041000000.0,1201000000.0,100000000,,100000000.0
2021-03-04,,,533000000.0,,359000000.0,1799000000.0,1000000.0,2798000000.0,,426000000.0,346000000.0,100000000,,100000000.0
2022-03-02,,,472000000.0,,359000000.0,1741000000.0,-726000000.0,1966000000.0,,228000000.0,465000000.0,100000000,,100000000.0
2023-03-09,,,386000000.0,,359000000.0,2072000000.0,-4144000000.0,-1160000000.0,,89000000.0,-1240000000.0,100000000,,100000000.0
