datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2000-03-03,,,534000.0,,,2899000.0,37000.0,1875000.0,,,,,,
2001-02-27,,,129000.0,,,2657000.0,11000.0,304000.0,,,,,,
2002-02-18,,,762000.0,,,2654000.0,4000.0,2353000.0,,,,,,
2003-02-27,,,1914000.0,,,3316000.0,58000.0,2208000.0,,,,,,
2004-02-10,,,130000.0,,,3158000.0,2200000.0,2416000.0,,,,,,
2005-02-08,,,31000.0,,,5211000.0,3918000.0,3542000.0,,,1292000.0,,,
2006-03-03,,,13000.0,,,6743000.0,204000.0,3710000.0,,,1332000.0,,,
2006-03-31,,,13000.0,,,6743000.0,204000.0,3710000.0,,,1332000.0,,,
2007-03-31,,,13000.0,,,6743000.0,204000.0,3710000.0,,,1332000.0,,,
2008-03-31,,,13000.0,,,6743000.0,204000.0,3710000.0,,,1332000.0,,,
2009-03-31,,,13000.0,,,6743000.0,204000.0,3710000.0,,,1332000.0,,,
2010-03-31,,,13000.0,,,6743000.0,204000.0,3710000.0,,,1332000.0,,,
2011-03-31,,,13000.0,,,6743000.0,204000.0,3710000.0,,,1332000.0,,,
2012-03-31,,,13000.0,,,6743000.0,204000.0,3710000.0,,,1332000.0,,,
2013-03-31,,,13000.0,,,6743000.0,204000.0,3710000.0,,,1332000.0,,,
2014-03-31,,,13000.0,,,6743000.0,204000.0,3710000.0,,,1332000.0,,,
2015-03-31,,,13000.0,,,6743000.0,204000.0,3710000.0,,,1332000.0,,,
2016-03-31,,,13000.0,,,6743000.0,204000.0,3710000.0,,,1332000.0,,,
2017-03-31,,,13000.0,,,6743000.0,204000.0,3710000.0,,,1332000.0,,,
2018-10-24,,,13000.0,,,1394000.0,204000.0,-659000.0,,,1332000.0,,,
2019-09-11,,,13000.0,,,1394000.0,204000.0,-40715000.0,,,1332000.0,,,
