datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
1998-03-31,,,,,,,,,,,,,,
1999-09-23,,,,,,5133849.24,,-821490.39,,,,,,
2000-09-06,,,,,,5194784.4,,-1703949.6,,,,,,
2001-06-28,,,,,,5840597.88,,-2331859.41,,,,,,
2002-06-28,,,,,,5800498.08,,-2106784.68,,,,,,
2003-06-27,,,,,,5223639.72,,-3220865.42,,,,,,
2004-09-14,,,,,,4479850.44,,-2463159.18,,,,,,
2005-08-08,,,,,,4479850.44,,-6731403.56,,,,,,
2006-08-30,,,,,,4479850.44,,-7619624.91,,,,,,
2007-07-02,,,,,,3351315.2,,-1161145.6,,,85370.88,,,
2008-07-02,,,42868.9,,,3727072.6,13964670.26,3278714.34,,,253683.02,,,
2009-06-17,,,42868.9,92844.64,2554274.72,5158811.2,13964670.26,-11324951.84,,,253683.02,,,
2010-06-16,,,42868.9,86285.77,2323129.09,4867571.3,13964670.26,8349959.59,,,-106704.54,,,
2011-06-15,,,42868.9,83587.86,2399096.34,4609808.1,13964670.26,3851903.25,,,2557539.0,,,
2012-08-31,,,42868.9,83587.86,2399096.34,4609808.1,13964670.26,3851903.25,,,2557539.0,,,
2013-08-31,,,42868.9,83587.86,2399096.34,4609808.1,13964670.26,3851903.25,,,2557539.0,,,
2014-08-31,,,42868.9,83587.86,2399096.34,4609808.1,13964670.26,3851903.25,,,2557539.0,,,
2015-08-31,,,42868.9,83587.86,2399096.34,4609808.1,13964670.26,3851903.25,,,2557539.0,,,
2016-09-14,,,42868.9,83587.86,2399096.34,4609808.1,13964670.26,-18269.04,,,2557539.0,,,
2017-08-31,,,42868.9,83587.86,2399096.34,4609808.1,13964670.26,-9281.52,,,2557539.0,,,
2018-08-31,,,42868.9,83587.86,2399096.34,4609808.1,13964670.26,-16974.1,,,2557539.0,,,
2019-08-31,,,42868.9,83587.86,2399096.34,4609808.1,13964670.26,-22211.28,,,2557539.0,,,
2021-05-19,,,42868.9,83587.86,2399096.34,4609808.1,13964670.26,-17952.0,,,2557539.0,,,
2022-07-20,,,42868.9,83587.86,2399096.34,4609808.1,13964670.26,-7997.66,,,2557539.0,,,
