datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt
2001-12-31,14718707.6868906,47307816.7768147,40607301.0346696,,172367097.941495,,95760823.4452871,-22216832.9144095,91185279.4474539,151554743.1961,,102500455.953413,,,2651,,,,,63754740.4387866,134363110.817985,419480.747562297,19953276.056338,19953276.056338,-10492606.7984832,,208405560.709642,50631996.8039003,50704642.2264355,623342057.686891,431630042.535211,,,289711435.232936,,224339868.466956,,-16391.7876489707,-25645324.3174431,-25661716.1050921,718781378.569881,298399082.686891,171484921.733478,319047519.555796,210499611.581798,2039659.9404117,507974793.5102922,,,,-25645324.31744313,158871068.596966
2002-12-31,17588125.5694597,41627676.5411453,27202084.5914307,,112611253.722392,,23960084.9316648,50833924.6640909,108513025.379159,62015011.268093,,117621193.795052,,,2680,,,,,149854337.812122,129102604.757511,475364.419583646,36764140.1187936,36764140.1187936,29222383.3746612,,107296693.829652,56113762.9087135,12336923.7356554,689353578.974684,406250800.028833,,,326401748.013379,,177720787.134537,1217047.45977741,-16391.7876489707,-7464080.47978779,-7464080.47978779,703363227.057263,213329806.031947,90473876.3393115,290158074.66120803,335358501.40707,1571780.998789,367787446.8831092,,,,-7464080.47978779,142120717.115507
2003-12-31,27141792.3018023,34713345.7827777,35278490.4935799,,73013859.3650607,,24353679.0788079,87188995.1761103,114801906.361173,26934275.6508423,,109857137.578042,,,2755,,,,,128060207.874897,29747132.5126635,805652.880197903,-15152014.6719284,-15152014.6719284,-17648812.7871363,,50644620.1201555,54204075.0441748,9866443.50335729,664627335.492991,321965877.989162,,,368908849.740841,,164263450.630227,1217047.45977741,-16495.7592178113,-2485910.91412416,-2502406.67334197,589270748.403817,167162085.439981,84604769.5370479,244804324.926375,294742266.72164,1974212.46318765,294322614.6071387,,,,-2485910.9141241587,117294085.6638
2004-10-01,27141792.3018023,34713345.7827777,35278490.4935799,,73013859.3650607,,24353679.0788079,87188995.1761103,114801906.361173,26934275.6508423,,109857137.578042,,,2755,,,,,128060207.874897,29747132.5126635,805652.880197903,-15152014.6719284,-15152014.6719284,-17648812.7871363,,50644620.1201555,54204075.0441748,9866443.50335729,664627335.492991,321965877.989162,,,368908849.740841,,164263450.630227,1217047.45977741,-16495.7592178113,-2485910.91412416,-2502406.67334197,589270748.403817,167162085.439981,84604769.5370479,244804324.926375,294742266.72164,1974212.46318765,294322614.6071387,,,,-2485910.9141241587,117294085.6638
2005-02-23,19508594.4019109,34527313.1316225,38827862.4670791,,70416945.7891836,,40436338.157653,108062556.274882,146892015.085441,27566297.7521896,,108425884.050959,,,2702,,,,,107858224.309426,29747132.5126635,5561979.95345134,-17460485.7169106,-17460485.7169106,-9672245.14607705,,60651474.1838672,44855016.9106388,8194350.35217737,709992918.907331,293643871.213328,,,432674533.196546,,162466261.346236,1217047.45977741,187091.455870644,7599872.04017884,7786963.49604949,556390833.637533,195606990.531022,110033721.20414,180555067.8569244,274049393.532186,2027675.48845471,282341440.105347,,,,7599872.040178846,78540099.2221474
2005-02-24,19508594.4019109,34527313.1316225,38827862.4670791,,70416945.7891836,,40436338.157653,108062556.274882,146892015.085441,27566297.7521896,,108425884.050959,-4391986.83500858,98854840.965923,2702,,,,,107858224.309426,29747132.5126635,5561979.95345134,-17460485.7169106,-17460485.7169106,-9672245.14607705,,60651474.1838672,44855016.9106388,8194350.35217737,709992918.907331,293643871.213328,,,432674533.196546,,162466261.346236,1217047.45977741,187091.455870644,7599872.04017884,7786963.49604949,556390833.637533,195606990.531022,110033721.20414,180555067.8569244,274049393.532186,2027675.48845471,282341440.105347,,,,7599872.040178846,78540099.2221474
2006-02-23,22177093.450412,40734998.7490227,52833088.2540446,,86544269.1164973,,60969884.2485115,176328230.552715,173111950.959283,30793675.6119565,,71215922.271005,-4391986.83500858,98854840.965923,2702,,,,,114476350.466109,29747132.5126635,5641069.2608408,77367878.1860829,77367878.1860829,86763370.3013171,,62428462.1519216,50674574.6677091,7623113.79082216,846512278.9078,334572401.431407,,,548878520.129909,,193207058.988392,1217047.45977741,187091.455870644,9395492.11523426,9395492.11523426,643115791.772418,236842440.24779,143392465.207193,131216100.31875859,341373274.252721,4583652.69741986,301742517.519697,,,,9395492.11523426,46301287.0632104
2006-02-24,22177093.450412,40734998.7490227,52833088.2540446,,86544269.1164973,,60969884.2485115,176328230.552715,173111950.959283,30793675.6119565,,71215922.271005,91911889.5599655,163901294.219154,2702,,,,,114476350.466109,29747132.5126635,5641069.2608408,77367878.1860829,77367878.1860829,86763370.3013171,,62428462.1519216,50674574.6677091,7623113.79082216,846512278.9078,334572401.431407,,,548878520.129909,,193207058.988392,1217047.45977741,187091.455870644,9395492.11523426,9395492.11523426,643115791.772418,236842440.24779,143392465.207193,131216100.31875859,341373274.252721,4583652.69741986,301742517.519697,,,,9395492.11523426,46301287.0632104
2007-02-14,17761182.8649671,43405018.2173828,62597867.3273782,,82416508.7044402,,16705324.8484058,193568532.855187,184283173.658473,37554193.3885375,,70249509.2651757,121731083.800846,191723463.846404,2760,73328207.4982069,72056983.7386712,,,113087652.89169979,29747132.5126635,6264580.03520897,119889815.113777,119889815.113777,117369336.897698,,51608555.6758166,55061064.927952,6175038.4821021,848978749.038273,306073333.481124,,,600750257.468866,,204145087.905066,1217047.45977741,187091.455870644,-2520478.21607876,-2520478.21607876,574717964.895351,180844312.003651,100495913.594575,421411175.588446,162268267.718589,4320629.58857664,412449697.176762,,,,-2520478.21607876,210705587.794223
2008-02-13,22703139.1105252,64317870.04787345,65493857.9754388,,74420738.985638,,48233333.6224242,243280230.24353,243284774.786651,41195584.229515,,79047083.882606,150761136.087999,231980659.427443,2760,77009730.2435301,92968068.2023174,,,123020083.11940598,29747132.5126635,-1894375.32089086,115479986.921529,115479986.921529,137552832.859224,1601776.65995976,62447266.1833067,33756866.30125586,5167844.68882259,931995951.953098,312514247.207382,,,703945534.448068,,212544785.957122,-171643.897869978,187091.455870644,22072845.9376951,22072845.9376951,601099726.982585,251496414.625685,133410307.014501,633327529.3138139,37634759.9042531,6938468.60473184,563464967.078332,,,,22072845.9376951,294933856.934712
