datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2000-12-31,,,,,,,,-405000.0,,,,,,
2001-11-06,,,,,,,,-1089000.0,,,,,,
2002-11-04,,,,,,,,-1340000.0,,,,,,
2003-10-29,,,,,,,,985000.0,,,,,,
2004-11-02,,,,,,,-133000.0,818000.0,,,,,,
2005-10-19,,,,,,,-7000.0,460000.0,,,,,,
2006-10-18,,,,,,,-7000.0,-404000.0,,,,,,
2007-11-20,,,,,,,-210000.0,2492000.0,,,,,,
2008-11-07,,,,,,,-1118000.0,-2760000.0,,1000.0,1000.0,,,
2009-11-16,,,,,,,-1118000.0,-2041000.0,,1000.0,1000.0,,,
2010-11-19,,,,,,,-25000.0,760000.0,,1000.0,1000.0,,,
2011-11-18,,,,,,,-394000.0,813000.0,,1000.0,1000.0,,,
2012-11-06,,,,,,,-432000.0,595000.0,,1000.0,1000.0,,,
2013-11-12,,,,,,,-504000.0,1001000.0,,1000.0,1000.0,,,
2014-11-12,,,,,,,-486000.0,631000.0,,1000.0,1000.0,,,
2015-11-09,,,,,,,-472000.0,289000.0,,1000.0,1000.0,,,
2016-11-07,,,,,,,-1149000.0,483000.0,,1000.0,1000.0,,,
2017-11-08,,,,,,,-1149000.0,1473000.0,,1000.0,1000.0,,,
2018-11-14,,,,,,,-719000.0,-1438000.0,,1000.0,1000.0,,,
2019-11-05,,,,,,,-719000.0,-857000.0,,1000.0,1000.0,,,
2020-10-29,,,,,,,-719000.0,-228000.0,,1000.0,1000.0,,,
2021-11-16,,,,,,,-719000.0,928000.0,,1000.0,1000.0,,,
2022-11-09,,,,,,,-719000.0,-185000.0,,1000.0,1000.0,,,
