datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt
1998-03-28,0.0,13993000.0,0.0,0.0,13037000.0,52000.0,17940000.0,23273000.0,130059000.0,0.0,0.0,2625000.0,0.0,0.0,842,0.0,0.0,3764000.0,0.0,0.0,558000.0,-1206000.0,9502000.0,9502000.0,13886000.0,92000.0,7586000.0,92000.0,13092000.0,23425000.0,18895000.0,0.0,0.0,180220000.0,0.0,0.0,0.0,2937000.0,1619000.0,4462000.0,63477000.0,34264000.0,44582000.0,1091000.0,15449000.0,5257000.0,47884000.0,0.0,0.0,0.0,1525000.0,528000.0
1999-03-27,0.0,40191000.0,0.0,0.0,16281000.0,187000.0,40978000.0,37997000.0,214801000.0,0.0,0.0,7096000.0,0.0,0.0,2693,3088000.0,0.0,9158000.0,452000.0,3088000.0,1307000.0,-1206000.0,12811000.0,12811000.0,20127000.0,253000.0,15308000.0,253000.0,31124000.0,44970000.0,31553000.0,0.0,0.0,316107000.0,0.0,0.0,347000.0,8943000.0,-1619000.0,7550000.0,159620000.0,96685000.0,124979000.0,12610000.0,28406000.0,36021000.0,131880000.0,0.0,0.0,0.0,-1393000.0,4071000.0
2000-06-23,0.0,72327000.0,0.0,0.0,36662000.0,130000.0,36492000.0,36867000.0,505738000.0,0.0,0.0,10957000.0,0.0,0.0,3756,26933000.0,0.0,9577000.0,929000.0,26933000.0,733000.0,-1206000.0,16327000.0,16327000.0,25104000.0,3649000.0,34536000.0,3649000.0,52317000.0,87370000.0,63190000.0,0.0,0.0,697720000.0,0.0,0.0,-5472000.0,7523000.0,-1619000.0,8831000.0,272867000.0,173820000.0,171160000.0,34876000.0,44190000.0,51842000.0,229447000.0,0.0,0.0,0.0,1308000.0,3310000.0
2001-05-29,0.0,132343000.0,0.0,0.0,73975000.0,130000.0,113891000.0,39057000.0,830126000.0,0.0,0.0,27559000.0,0.0,0.0,5445,231470000.0,0.0,8102000.0,3630000.0,231470000.0,6015000.0,187096000.0,34836000.0,34836000.0,47397000.0,3649000.0,19787000.0,3649000.0,49245000.0,160677000.0,120278000.0,0.0,0.0,1110678000.0,0.0,0.0,-10987000.0,7662000.0,5751000.0,11998000.0,711702000.0,225348000.0,315528000.0,11149000.0,432817000.0,52437000.0,277199000.0,0.0,0.0,0.0,4336000.0,178000.0
2003-03-10,0.0,121530000.0,0.0,0.0,41377000.0,130000.0,88321000.0,20296000.0,834413000.0,0.0,0.0,41071000.0,0.0,0.0,6992,274798000.0,0.0,7982000.0,5369000.0,274798000.0,5711000.0,72000.0,-28262000.0,-28262000.0,-23015000.0,3649000.0,15761000.0,3649000.0,60556000.0,174253000.0,111654000.0,0.0,0.0,1152717000.0,0.0,0.0,-84562000.0,6930000.0,-1008000.0,6162000.0,694229000.0,199669000.0,277647000.0,60071000.0,407255000.0,50088000.0,286202000.0,0.0,0.0,0.0,-768000.0,24713000.0
2003-08-07,0.0,153884000.0,0.0,0.0,39411000.0,130000.0,73253000.0,76167000.0,1453518000.0,0.0,0.0,52562000.0,0.0,0.0,8133,367547000.0,8729000.0,18013000.0,7506000.0,367547000.0,6511000.0,102000.0,22069000.0,22069000.0,34487000.0,3649000.0,47652000.0,3649000.0,54807000.0,231690000.0,133040000.0,0.0,0.0,1841525000.0,0.0,0.0,-43116000.0,4623000.0,3411000.0,12418000.0,818244000.0,275311000.0,306585000.0,73987000.0,455594000.0,56351000.0,362650000.0,0.0,0.0,0.0,7795000.0,29832000.0
2004-06-03,0.0,247638000.0,0.0,0.0,100305000.0,130000.0,83618000.0,95449000.0,1303246000.0,0.0,0.0,67101000.0,0.0,0.0,10183,403191000.0,11369000.0,30106000.0,6978000.0,403191000.0,2120000.0,928000.0,27704000.0,27704000.0,44487000.0,3649000.0,76963000.0,3649000.0,42753000.0,327176000.0,195594000.0,0.0,0.0,1849011000.0,0.0,0.0,-55567000.0,11144000.0,2803000.0,16783000.0,1038042000.0,408231000.0,433360000.0,232106000.0,471843000.0,78298000.0,566199000.0,0.0,0.0,0.0,5639000.0,107916000.0
2005-06-07,0.0,324928000.0,0.0,0.0,125770000.0,130000.0,102044000.0,156972000.0,1630936000.0,0.0,0.0,75607000.0,0.0,0.0,12258,452023000.0,15819000.0,37556000.0,10748000.0,521392000.0,5903000.0,-5314000.0,73906000.0,73906000.0,91939000.0,3649000.0,140033000.0,4570000.0,4753000.0,347621000.0,198220000.0,0.0,0.0,2355093000.0,0.0,0.0,-70588000.0,17611000.0,-48000.0,18033000.0,1281370000.0,626064000.0,551119000.0,268982000.0,547959000.0,95185000.0,733411000.0,0.0,0.0,0.0,422000.0,98494000.0
2006-07-07,0.0,516365000.0,0.0,0.0,194135000.0,130000.0,103326000.0,182626000.0,2063021000.0,0.0,0.0,118710000.0,0.0,0.0,15263,568630000.0,21800000.0,42669000.0,13799000.0,727904000.0,8090000.0,-5167000.0,70541000.0,70541000.0,81001000.0,3649000.0,200296000.0,34938000.0,6689000.0,435076000.0,241744000.0,0.0,0.0,3046403000.0,0.0,0.0,-3650000.0,8384000.0,-11615000.0,10460000.0,1810695000.0,864949000.0,795845000.0,696841000.0,619003000.0,138047000.0,1191692000.0,0.0,0.0,0.0,2076000.0,320054000.0
2007-06-05,0.0,696500000.0,0.0,0.0,309477000.0,130000.0,113400000.0,249786000.0,2731262000.0,0.0,0.0,188869000.0,0.0,0.0,19810,626500000.0,28769000.0,52700000.0,32413000.0,1140100000.0,6054000.0,9053000.0,66963000.0,66963000.0,68361000.0,3649000.0,246400000.0,61900000.0,71600000.0,587800000.0,337400000.0,0.0,0.0,3991478000.0,0.0,0.0,-1058000.0,4892000.0,-17255000.0,1398000.0,2574000000.0,1105200000.0,1018700000.0,1437900000.0,689600000.0,161500000.0,1884400000.0,0.0,0.0,0.0,-3494000.0,707600000.0
