datadate,xad,ob,dm,drc,drlt,gdwlia,scstkc,ni,pstkq,txfed,txt,pstk,dcvt,dcpstk
2004-12-31,,,,,,,-34065515.77,132138296.11,,,,,,
2005-12-31,,,,,,267856611.22,-37969657.0,139272818.08,,,,,,
2007-11-13,,,,,,1584587712.4,2033739124.24,97907525.6,,,,,,
2008-04-07,,,,,,1264863528.45,-1007700000.0,556778938.65,,,,,,
2009-03-25,,,,,,1472824152.15,-1007700000.0,329694533.94,,,,,,
2010-03-24,,,,,,1500979478.56,-1007700000.0,206054892.48,,,,,,
2011-03-23,,,,,,1070779862.07,-1007700000.0,240277523.49,,,,,,
2012-04-26,,,,,,1034863600.05,-1007700000.0,439841893.32,,,,,,
2013-03-20,,,,,,977740691.3,-1007700000.0,454373209.3,,,44892243.9,,,
2014-03-20,,,,,,925487074.38,-1007700000.0,386346540.36,,,38933276.58,,,
2015-03-19,,,,,,929943295.16,-1007700000.0,449865946.22,,,56134594.52,,,
2016-03-17,,,,,,990901108.72,-1007700000.0,599086342.12,,,61737177.76,,,
2017-03-20,,,,,,1099051931.12,-1007700000.0,830301262.56,,,99367440.56,,,
2018-03-15,,,,,,1088199570.48,-1007700000.0,870863237.2,,,32067666.4,,,
2019-03-21,,,,,,1607744151.04,313552.0,1016285526.28,,,175281055.16,,,
2020-03-11,,,1725349401.0,548081665.2,86806157.4,1947130961.4,171605388.6,896627653.2,,,140394330.0,,,
2021-03-18,,,2172316636.74,423997130.1,29169961.08,2142053277.51,171605388.6,619024985.67,,,103266518.52,,,
2022-03-17,,,2495492359.75,600124754.8,48236929.0,2652085722.15,171605388.6,662278400.0,,,135985860.4,,,
2023-03-16,,,3040367447.7,469574399.25,58068855.9,3419851050.0,171605388.6,1014570691.2,,,313926950.7,,,
