datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt,dr,dc
2000-02-22,108568631.992347,103775177.48351,,,39717194.5017874,,6412023.56376819,-5540486.38034339,540353053.723377,,,37102582.951513,,,3573,684779.215548059,,3237138.10986355,8466361.21041237,7096802.779316249,2116590.3026030893,,-29196495.6447309,-29196495.6447309,-27391168.6219224,19858597.2508937,14318110.8705503,19858597.2508937,32433633.7545944,635537364.684557,311699048.386285,,,572164160.918383,,54906842.5557626,5602739.0363023,,,,540664317.003172,200391299.531746,216327979.457228,224234066.7640102,220000886.158804,69660722.0180253,320663430.844368,,,,,84974875.3839182,,
2000-02-23,108568631.992347,103775177.48351,,,39717194.5017874,,6412023.56376819,-5540486.38034339,540353053.723377,,,37102582.951513,-23202893.07167,14071835.4208241,3573,684779.215548059,,3237138.10986355,8466361.21041237,7096802.779316249,2116590.3026030893,,-29196495.6447309,-29196495.6447309,-27391168.6219224,19858597.2508937,14318110.8705503,19858597.2508937,32433633.7545944,635537364.684557,311699048.386285,,,572164160.918383,,54906842.5557626,5602739.0363023,,,,540664317.003172,200391299.531746,216327979.457228,224234066.7640102,220000886.158804,69660722.0180253,320663430.844368,,,,,84974875.3839182,,
2001-04-04,129640329.768691,96568817.0725962,,,21480734.9130824,,21165768.1255005,12283704.7156923,710628066.142177,,,41575615.9608046,-23202893.07167,14071835.4208241,3388,314966.787581853,,3716608.09346587,11023837.5653649,4409535.0261459425,3149667.875818535,,-53292380.4588496,-53292380.4588496,-50709652.8006784,21543728.2705988,16441266.3117727,21543728.2705988,26142243.3692938,656768745.46568,277611726.574646,,,743510598.765723,,52410473.4536204,-23307542.2810571,,,,519380232.722476,231437595.515146,231941542.375277,249138728.97724622,169641111.791586,75277062.2320629,349739120.93089,,,,,89765534.4608282,,
2001-05-11,129640329.768691,96568817.0725962,,,21480734.9130824,,21165768.1255005,12283704.7156923,710628066.142177,,,41575615.9608046,-34915047.299012,18074397.276697,3388,314966.787581853,,3716608.09346587,11023837.5653649,4409535.0261459425,3149667.875818535,,-53292380.4588496,-53292380.4588496,-50709652.8006784,21543728.2705988,16441266.3117727,21543728.2705988,26142243.3692938,656768745.46568,277611726.574646,,,743510598.765723,,52410473.4536204,-23307542.2810571,,,,519380232.722476,231437595.515146,231941542.375277,249138728.97724622,169641111.791586,75277062.2320629,349739120.93089,,,,,89765534.4608282,,
2002-03-22,95708334.1495339,81440872.9487396,,,11267007.9868933,8266554.77299237,46598875.4240533,857272.346828838,630340109.875433,,,40169332.822837,-39132198.0392501,369171.679615567,3213,314966.787581853,,3184154.43107854,11328241.7259525,3674024.34355216,2816751.99672332,42557448.6461459,-52967184.2862104,-52967184.2862104,-50272899.7676054,15247201.0257415,19717263.9770633,15247201.0257415,30739337.0077198,658201461.14737,244506320.063397,,,656180747.758417,,40414267.7790738,-27187780.142286,,,,471622258.23398,198519782.029935,222278472.784906,233055610.8593261,153757918.777658,64172958.5340445,313700445.2002952,2744150,,2744150.0,,82175677.8174501,,
2003-03-05,111475221.991309,90626553.9391649,,,23845664.0846401,7492490.08123937,23519903.6463253,5993992.0649915,649305705.64897,,,40133686.0003779,-39132198.0392501,369171.679615567,2990,314966.787581853,,4886406.57472133,10880398.6397128,1563650.10391083,260608.35065180587,42557448.6461459,-26125987.1528434,-26125987.1528434,-19545626.2988853,19871386.7372001,16548630.2663896,19871386.7372001,29579047.7989798,721233610.428868,241453636.878897,,,686572699.792178,,38504883.8088041,-7687946.34422823,,,,472743548.082373,224514094.086529,228618675.609295,232723257.1320616,131932977.517476,82873455.5072738,336771141.129794,2744150,,2744150.0,,80332524.0884186,,
2003-06-17,111475221.991309,90626553.9391649,,,23845664.0846401,7492490.08123937,23519903.6463253,5993992.0649915,649305705.64897,,,40133686.0003779,-1328486.59094123,369171.679615567,2990,314966.787581853,,4886406.57472133,10880398.6397128,1563650.10391083,260608.35065180587,42557448.6461459,-26125987.1528434,-26125987.1528434,-19545626.2988853,19871386.7372001,16548630.2663896,19871386.7372001,29579047.7989798,721233610.428868,241453636.878897,,,686572699.792178,,38504883.8088041,-7687946.34422823,,,,472743548.082373,224514094.086529,228618675.609295,232723257.1320616,131932977.517476,82873455.5072738,336771141.129794,2744150,,2744150.0,,80332524.0884186,,
2004-02-27,122808007.249569,92000258.0141719,,,26718848.8792116,4582388.3302078,39338041.3577839,15368625.4766969,693139108.655432,,,36588608.3596592,-6351998.70125005,26745257.6894739,2912,314966.787581853,,3877405.51017583,10574742.3004795,704982.820031969,-1832955.3320831181,42557448.6461459,-18047560.1928184,-18047560.1928184,-14945635.7846777,22206958.831007,8177800.71237084,22206958.831007,28199312.8012787,796137098.662102,251326375.341397,,,727683266.836998,,29468281.8773363,-7613814.45634526,,,,507728626.987024,156365189.483091,255062784.287566,386965069.91554797,126262423.067726,90872285.5021208,377518300.12711895,1372080,,1372080.0,,190415859.690635,,
2005-02-08,155836103.691853,100993103.027509,,,32722048.0767927,3887068.34605529,42969773.716393,43111121.6562496,836709129.980883,,,61627701.7774584,-6351998.70125005,26745257.6894739,2912,141347.939856556,,5583243.62433396,14629511.7751535,424043.81956966803,-70673.96992827789,42557448.6461459,-37598552.0018439,-37598552.0018439,-33146091.8963624,24029149.7756145,8763572.27110647,24029149.7756145,28622957.8209526,790983071.437287,223541766.883143,,,863635912.523557,,45372688.6939545,-7613814.45634526,,,,499028901.663571,191031740.716135,275063090.960858,374925410.469514,88625158.2900606,98378166.140163,406092631.207885,1372080,,1372080.0,,183893669.753379,,
2005-05-05,155836103.691853,100993103.027509,,,32722048.0767927,3887068.34605529,42969773.716393,43111121.6562496,836709129.980883,,,61627701.7774584,2178192.37147595,36484722.2222222,2912,141347.939856556,,5583243.62433396,14629511.7751535,424043.81956966803,-70673.96992827789,42557448.6461459,-37598552.0018439,-37598552.0018439,-33146091.8963624,24029149.7756145,8763572.27110647,24029149.7756145,28622957.8209526,790983071.437287,223541766.883143,,,863635912.523557,,45372688.6939545,-7613814.45634526,,,,499028901.663571,191031740.716135,275063090.960858,374925410.469514,88625158.2900606,98378166.140163,406092631.207885,1372080,,1372080.0,,183893669.753379,,
