datadate,ap,rect,xad,ob,capx,dm,che,oancf,cogs,drc,drlt,dp,ebit,ebitda,emp,gdwlia,dvt,txp,xint,intan,nopi,scstkc,ni,ib,pi,aco,lco,ao,lo,ppegt,ppent,pstkq,xrd,revt,fatl,xsga,spi,txfed,txdi,txt,at,lct,act,dlc,ceq,invt,lt,pstk,dcvt,dcpstk,txfo,dltt
1999-09-29,11860.5486937295,6353.8653716408,0.0,0.0,1694.36409910421,0.0,73704.8383110333,-186380.050901464,0.0,4235.91024776054,0.0,13554.9127928337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155457.906092812,-201629.327793402,-201629.327793402,-201629.327793402,0.0,8471.82049552107,0.0,0.0,58879.1524438715,13131.3217680577,0.0,0.0,36428.8281307406,0.0,2541.54614865632,423.591024776054,0.0,0.0,0.0,94884.389549836,20332.3691892506,81753.0677817783,0.0,74975.6113853615,0.0,20332.3691892506,0.0,0.0,0.0,0.0,0.0
2000-09-29,3145.78972166061,6353.8653716408,0.0,0.0,51119.082976985,0.0,239473.242561414,-602025.5079828,0.0,4235.91024776054,0.0,9437.36916498184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822230.788499043,-592981.362533025,-592981.362533025,-592981.362533025,0.0,7864.47430415153,393.223715207577,0.0,95160.1390802336,53871.648983438,0.0,0.0,16908.6197539258,0.0,75105.7296046471,423.591024776054,0.0,0.0,0.0,309860.28758357,11010.2640258121,255595.414884925,0.0,298456.799842551,0.0,11010.2640258121,0.0,0.0,0.0,0.0,0.0
2001-09-28,84479.0039661447,15523.9195322403,0.0,0.0,216612.830682422,0.0,85562.0681195567,-562832.338389827,0.0,4235.91024776054,0.0,30686.8176800098,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,501097.681645337,-759227.97154189,-759227.97154189,-759227.97154189,0.0,4332.25661364844,393.223715207577,0.0,47654.8227501329,3971.23522917774,0.0,0.0,4332.25661364844,0.0,232497.771599133,423.591024776054,0.0,0.0,0.0,105057.222880975,88811.2605797931,101085.987651797,0.0,16245.9623011817,0.0,88811.2605797931,0.0,0.0,0.0,0.0,0.0
2002-09-27,13593.0319673285,9184.48105900578,0.0,0.0,5143.30939304324,0.0,99559.7746796226,-241368.162230672,0.0,4235.91024776054,0.0,1836.89621180115,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,258634.986621603,-222999.20011266,-222999.20011266,-222999.20011266,0.0,5510.68863540346,393.223715207577,0.0,47391.9222644698,6980.20560484439,0.0,99192.3954372624,1836.89621180115,0.0,117928.736797634,423.591024776054,0.0,0.0,0.0,115724.461343473,19103.720602732,108744.255738628,0.0,96620.7407407408,0.0,19103.720602732,0.0,0.0,0.0,0.0,0.0
2003-09-30,24832.1346801347,6920.43097643098,0.0,0.0,5143.30939304324,0.0,37044.6599326599,-264197.62962963,0.0,4235.91024776054,0.0,2849.58922558923,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,191329.562289562,-306941.468013468,-306941.468013468,-306941.468013468,0.0,2442.50505050505,393.223715207577,0.0,52513.8585858586,4885.0101010101,0.0,149399.892255892,4070.84175084175,0.0,135966.114478114,423.591024776054,0.0,0.0,0.0,48850.101010101,27274.6397306397,43965.0909090909,0.0,21575.4612794613,0.0,27274.6397306397,0.0,0.0,0.0,0.0,0.0
2004-09-20,83671.8170710421,17655.5210333392,0.0,0.0,3070.52539710246,0.0,408763.693489265,-475163.805201606,0.0,4235.91024776054,0.0,2302.89404782685,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,982951.942747425,-541180.101239309,-541180.101239309,-541180.101239309,0.0,1919.07837318904,393.223715207577,0.0,52582.7474253797,4989.6037702915,0.0,361170.549834177,5757.23511956711,0.0,143930.877989178,423.591024776054,0.0,0.0,0.0,431408.818292896,85590.8954442311,426419.214522604,0.0,346585.55419794,0.0,85590.8954442311,0.0,0.0,0.0,0.0,0.0
2004-09-28,83671.8170710421,17655.5210333392,0.0,0.0,3070.52539710246,0.0,408763.693489265,-475163.805201606,0.0,4235.91024776054,0.0,2302.89404782685,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,982951.942747425,-541180.101239309,-541180.101239309,-541180.101239309,0.0,1919.07837318904,393.223715207577,0.0,52582.7474253797,4989.6037702915,0.0,361170.549834177,5757.23511956711,0.0,143930.877989178,423.591024776054,0.0,0.0,0.0,431408.818292896,85590.8954442311,426419.214522604,0.0,346585.55419794,0.0,85590.8954442311,0.0,0.0,0.0,0.0,0.0
2005-09-30,42137.5519383982,14045.8506461327,0.0,0.0,17025.2735104639,0.0,257507.261845767,-842751.038767964,0.0,4235.91024776054,0.0,4681.95021537758,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,740173.765867419,-848284.252658865,-848284.252658865,-848284.252658865,0.0,3830.68653985438,393.223715207577,0.0,75336.8352838029,17876.5371859871,0.0,482666.504021652,9789.53226851675,0.0,248143.361415012,423.591024776054,0.0,0.0,0.0,289429.649677887,45968.2384782526,271553.1124919,0.0,243035.779361872,0.0,45968.2384782526,0.0,0.0,0.0,0.0,0.0
2006-09-28,83961.4279882733,19684.7367053846,0.0,0.0,842024.655805841,0.0,1582010.0642001,-558002.026199577,0.0,4235.91024776054,0.0,8034.58641036108,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2727742.08631759,-1465910.29057038,-1465910.29057038,-1465910.29057038,0.0,4017.29320518054,393.223715207577,6025.93980777081,78738.9468215386,14462.2555386499,0.0,842426.385126359,12051.8796155416,0.0,644775.559431477,423.591024776054,0.0,0.0,0.0,1616558.78576465,87978.7211934538,1602096.530226,0.0,1522955.85408394,0.0,94004.6610012246,0.0,0.0,0.0,0.0,0.0
2007-09-27,193439.617790073,51949.9410222249,0.0,0.0,1096861.76288389,0.0,1102774.76430105,-658877.300769681,15204.8607869926,4235.91024776054,0.0,17316.6470074083,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1162327.13571677,-1770521.56719648,-1770521.56719648,-1770521.56719648,0.0,16049.5752751589,393.223715207577,6025.93980777081,109390.52621753,65465.372832885,0.0,1066452.0413099,57018.2279512224,0.0,706181.312106992,423.591024776054,0.0,0.0,0.0,1228637.22303782,209489.193065232,1163171.85020494,0.0,1018725.67272851,0.0,209489.193065232,0.0,0.0,0.0,0.0,0.0
2008-09-30,193439.617790073,23070.398252974,0.0,0.0,1057873.88655824,0.0,765648.842020573,-1362595.39681627,101894.258950635,4235.91024776054,0.0,33644.330785587,-1640337.66614521,-1607411.80601768,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1990302.48261594,-1212157.17487501,-1212157.17487501,-1212157.17487501,0.0,27876.7312223435,393.223715207577,6025.93980777081,3414418.94144015,1588493.04637664,0.0,562340.95741624,38931.2970518936,0.0,1585609.24659502,1049703.12051032,0.0,0.0,0.0,2399321.41830929,412383.36877191,810828.371932648,0.0,1986457.41624045,0.0,412383.36877191,0.0,0.0,0.0,0.0,0.0
2009-06-30,193439.617790073,23070.398252974,0.0,0.0,1057873.88655824,0.0,765648.842020573,-1362595.39681627,101894.258950635,4235.91024776054,0.0,33644.330785587,-1640337.66614521,-1607411.80601768,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1990302.48261594,-1212157.17487501,-1212157.17487501,-1212157.17487501,0.0,27876.7312223435,393.223715207577,6025.93980777081,3414418.94144015,1588493.04637664,0.0,562340.95741624,38931.2970518936,0.0,1585609.24659502,1049703.12051032,0.0,0.0,0.0,2399321.41830929,412383.36877191,810828.371932648,0.0,1986457.41624045,0.0,412383.36877191,0.0,0.0,0.0,0.0,0.0
2009-09-30,193439.617790073,15538.0585986028,0.0,0.0,576245.881802488,0.0,55924.2708249302,-1194142.18873526,101894.258950635,4235.91024776054,0.0,27930.2850873655,-1640337.66614521,-1607411.80601768,6.0,0.0,0.0,0.0,0.0,0.0,0.0,552725.641728917,-1348003.75921653,-1348003.75921653,-1348003.75921653,0.0,9996.10203126764,393.223715207577,6025.93980777081,2331605.49894322,2249603.16193672,0.0,14700.1500459818,8330.08502605637,0.0,1268132.9439667,1049703.12051032,0.0,0.0,0.0,2349853.2852003,886472.948322873,100250.123263581,539005.501686001,1463380.33687743,0.0,886472.948322873,0.0,0.0,0.0,0.0,0.0
